,Unnamed: 0,Authors,Title,Year,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Type,Article Title,Keywords Plus,Publication Date,Publication Year,DOI Link
233,135,"Usman Z.S., Tah J.H.M., Abanda F.H., Nche C.",Integration of an ontology with ifc for efficient knowledge discovery in the construction domain,2018.0,10.1201/9780429506215-54,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079330758&doi=10.1201%2f9780429506215-54&partnerID=40&md5=4ad6d2ad1201101e5ffe93fe7b9f41d4,"In the most recent years, the Semantic Web applied to Building Information Modelling and Industry Foundation Classes are the most widely recognized efforts in the digitalization of products in the architectural, engineering and construction industry. This study performs knowledge discovery of construction products from domain experts to build an ontology. However, ontology developed becomes an isolated conceptualization. In order to get rich domain ontology, novel approach is to retrieve knowledge from domain-specific online product repositories such as the industry foundation classes. This study identifies similarities between the industry foundation classes and ontology likewise their differences with the hope that it would develop an enhanced knowledge conceptualization of the domain. Integration of IFC and ontology will mean that concepts represent well-established standard terms rich in domain knowledge. Other semantic web technologies can then be exploited on the resulting application to perform data querying, consistency checking, data reasoning, knowledge inference and so much more. Thus, the resulting ontology could be standardized and be easily applied for use in practice in the industry. © 2018 Taylor & Francis Group, London.",Industry Foundation Classes (IFC); Ontology; Photovoltaic Systems (PV); Semantic Web (SW); Web Ontology Language (OWL),"Construction industry; Foundations; Photovoltaic cells; Process engineering; Semantic Web; Architectural , engineering and constructions; Building Information Modelling; Construction products; Industry Foundation Classes - IFC; Knowledge conceptualization; Photovoltaic systems; Semantic Web technology; Web ontology language; Ontology",Conference Paper,,,,,,
239,2,"Baghalzadeh Shishehgarkhaneh M., Keivani A., Moehler R.C., Jelodari N., Roshdi Laleh S.","Internet of Things (IoT), Building Information Modeling (BIM), and Digital Twin (DT) in Construction Industry: A Review, Bibliometric, and Network Analysis",2022.0,10.3390/buildings12101503,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140613480&doi=10.3390%2fbuildings12101503&partnerID=40&md5=c35cb99b2eb93b2e36b6c90adcac2bb6,"The present study uses a bibliometric and systematic literature review (SLR) to examine the use of Building Information Modeling (BIM), the Internet of Things (IoT), and Digital Twins (DT) in the construction industry. The network visualization and other approaches based on the Web of Science (WOS) database and the patterns of research interactions were explored in 1879 academic publications using co-occurrence and co-citation investigations. Significant publications, conferences, influential authors, countries, organizations, and funding agencies have been recognized. Our study demonstrates that BIM, IoT, and DT in construction, Heritage BIM (HBIM), Smart Contracts, BIM, and Ontology, and VR and AR in BIM and DT are the main study themes. Finally, several prospective areas for future study are identified, including BIM and Metaverse technology, BIM and Artificial Intelligence (AI), Metaheuristic algorithms for optimization purposes in BIM, and the Circular Economy with BIM and IoT. © 2022 by the authors.",bibliometric; Building Information Modeling (BIM); Digital Twins (DT); Internet of Things (IoT); network analysis; systematic literature review (SLR),,Review,,,,,,
248,181,"Sorli M., Mendikoa I., Pérez J., Soares A., Urosevic L., Stokic D., Moreira J., Corvacho H.",Knowledge-based collaboration in Construction Industry,2016.0,10.1109/ICE.2006.7477062,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978531770&doi=10.1109%2fICE.2006.7477062&partnerID=40&md5=19cc74e1abd94bf48528bd69dcebe96f,"The present paper focuses on the topic of Communities & Networks but it also covers some issues on Collaborative Enterprises, Collaborative Processes & Workspaces, and Business to Business Networks. It is based mainly on the Collective project Know Construct (COLL-CT-2004-500276) starting in March 2005. The project aims to develop a common internet-based platform for SMEs from the construction sector to provide an effective combination of two general functionalities: an innovative decision making support system regarding the products characteristics, applications and other consultancy services for SMEs' customers applying the 'web enabled dialogue', and a system for SMEs to support an advanced form of co-operation through the creation of Knowledge Communities of SMEs in Construction Industry. The system supports the integration, management and reuse of the area specific knowledge via a common knowledge base. The system is intended to be used within the Associations to collect and exchange the business area specific knowledge among the members (SMEs) in a form of essential expertise, reachable anywhere, at any time. © 2006 IEEE.",Construction Industry; Knowledge Communities; Ontology; Semantic Web,Construction industry; Decision making; Industrial management; Internet; Knowledge based systems; Management science; Ontology; Semantic Web; Business to business; Collaborative enterprise; Collaborative process; Construction sectors; Consultancy services; Decision making support system; Knowledge communities; Specific knowledge; Knowledge management,Conference Paper,,,,,,
281,337,"Barresi S., Rezgui Y., Meziane F., Lima C.",Methodology to support semantic resources integration in the construction sector,2006.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953898750&partnerID=40&md5=e1e75a16440f1a8e4c753b2a1d710bb9,"Ontologies, taxonomies, and other semantic resources, are used in a variety of sectors to facilitate knowledge reuse and information exchange between people and applications. In recent years, the need to access multiple semantic resources has led to the development of a variety of projects and tools aiming at integrating existing resources. This paper describes the methodology used during the FUNSIEC project, to develop an open infrastructure for the European Construction sector (OSIECS). This infrastructure aims towards facilitating integration among Construction related semantic resources, providing a base for the development of a new generation of e-services for the domain.",Ontology; Schema matching; Semantic resources,Construction sectors; E-services; Information exchanges; Knowledge reuse; Schema matching; Semantic resources; Construction industry; Integration; Knowledge management; Ontology; Semantics; Information systems,Conference Paper,,,,,,
297,56,"Karlapudi J., Valluru P., Menzel K.",Ontological approach for LOD-sensitive BIM-data management,2021.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124426983&partnerID=40&md5=0d4795a39b7451e22b2d0a9a231c7fbc,"The construction industry is a collaborative environment with the involvement of multiple disciplines and activities throughout the Building Lifecycle Stages. The collaboration requires the iterative and coordinated exchange of information for significant improvement of the building design, construction and management. The successful representation of these information refinements enables the identification of the required level of detail (LOD) for data sharing parameters between the multiple disciplines. Since the last decade, LOD is a promising approach for efficient representation of semantically rich BIM data in different levels. Despite the improvement, there is a lack of efficient implementation in building lifecycle functionalities, because of their fundamental heterogeneity, versatility and adaptability. The proposed approach enables the representation of LOD-sensitive BIM data through the formal definition of ontologies. The paper validates this approach based on the concept of competency questions and their respective SPARQL queries. With the demonstration and validation, the paper provides the conceptual proof for the practical application of the developed approach. The proposed solution can also be easily adaptable and applicable to the present BIM process since the representation of BIM data in different ontologies (BOT, ifcOWL, etc.) are within reach. © 2021 Copyright for this paper by its authors.",BIM; Competency questions; LOD; Ontologies; SPARQL queries,Architectural design; Construction; Construction industry; Information management; Life cycle; BIM; Building life cycle; Collaborative environments; Competency question; Exchange of information; Level-of-detail; Life cycle stages; Multiple disciplines; Ontological approach; Ontology's; Ontology,Conference Paper,,,,,,
302,53,"Karlapudi J., Valluru P., Menzel K.",Ontology Approach for Building Life Cycle Data Management,2021.0,10.1061/9780784483893.091,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132583768&doi=10.1061%2f9780784483893.091&partnerID=40&md5=75cbdac61c79b03844b548170ea14f2c,"The architecture, engineering, and construction industry involves multiple disciplines and activities throughout the building life cycle stages (BLS). To enable collaboration amongst these disciplines iterative and coordinated exchange of information is required. This improves the design process over multiple BLS. Since the last decade, BIM is a well-known approach to achieve collaboration through semantic representation and exchange of domain data. Despite the improvement, there is a lack of efficient implementation and management of building life cycle functionalities in existing BIM solutions, because of their fundamental heterogeneity, complexity, and adaptability. This research focuses on these issues and addresses a clear perception through analysis of BLS from various standards and norms. The paper concentrates on the demonstration of efficient representation of various BLS through the ontological approach and their effective involvement in BIM data management. With the validation and evaluation through SPARQL queries, this paper presents an ontological framework for building life cycle data management. © 2021 Computing in Civil Engineering 2021 - Selected Papers from the ASCE International Conference on Computing in Civil Engineering 2021. All rights reserved.",,Architectural design; Construction industry; Life cycle; Ontology; Semantics; Architecture engineering; Building life cycle; Cycle data; Design-process; Exchange of information; Life cycle stages; Multiple buildings; Multiple disciplines; Ontology's; Semantic representation; Information management,Conference Paper,,,,,,
308,351,"Ruikar D., Anumba C.J., Aziz Z., Carrillo P.M., Bouchlaghem N.M.",Ontology development for Semantic Web based services in construction,2005.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053397534&partnerID=40&md5=95529acc4898a6f61fdbb2ae7e8a3de4,"This paper documents the aims, objectives and the main findings of the WiSeCon project (Wireless and Semantic Web-Based Integration of Construction Services) This project at Loughborough University explored the use of wireless communications and the Semantic Web in the integration of construction services. This paper describes the context and methods for deployment of wireless and Semantic Web based services in the construction sector. It discusses the potential for the use of next generation technologies such as the Semantic Web and how they will support and influence the building design process and its organisation. © 2005 Civil-Comp Press.",Construction services; Roadmap; Scenario development; Semantic Web; Wireless technologies,Building design process; Construction sectors; Construction services; Generation technologies; Loughborough University; Ontology development; Paper documents; Roadmap; Scenario development; Web-based service; Wireless communications; Wireless technologies; Computer aided engineering; Construction industry; Environmental engineering; Ontology; Technical presentations; User interfaces; Web services; Wireless telecommunication systems; Semantic Web,Conference Paper,,,,,,
324,236,"Karshenas S., Niknam M.",Ontology-based building information modeling,2013.0,10.1061/9780784413029.060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887400134&doi=10.1061%2f9780784413029.060&partnerID=40&md5=4f54c6e4d1f9a854d3000aaba5dda8e4,"The World Wide Web has provided a vast distributed information space that is primarily designed for human consumption. The enmeshment of the Web and various business processes has made it imperative to define business information in a format that facilitates machine-to-machine exchange and automated processing. The construction industry is not an exception; construction business processes depend on a diverse set of information sources. For efficient processing of the construction business information, it is necessary to publish the information in a format that allows computer applications to easily discover, query and share the information. Currently, the standard for representing, accessing, and sharing a building model is the Industry Foundation Classes (IFCs) data model. Several researchers have investigated the limitations of IFCs data model for interoperability among heterogeneous software applications. This paper presents the results of an on-going research on an ontology-based approach to building information modeling to facilitate information exchange among different knowledge domain applications. The approach developed in this study is based on a shared building ontology that models building domain element types and element relationships. The information systems to be integrated should be modeled using the shared ontology; each knowledge domain adds its own element properties to the shared building ontology. SWRL rules are used for mapping element properties from one domain to another. An example demonstrates how the developed approach can facilitate project information sharing between design and estimating domains. © 2013 American Society of Civil Engineers.",,Application programs; Architectural design; Construction industry; Information systems; Information theory; Knowledge management; Ontology; Query processing; Building Information Model - BIM; Business information; Construction business; Distributed information; Heterogeneous software applications; Industry Foundation Classes - IFC; Information exchanges; Project informations; Information dissemination,Conference Paper,,,,,,
325,227,"Park M., Lee K.-W., Lee H.-S., Jiayi P., Yu J.",Ontology-based construction knowledge retrieval system,2013.0,10.1007/s12205-013-1155-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886292123&doi=10.1007%2fs12205-013-1155-6&partnerID=40&md5=10cd78de4b0f1b18ecac5afd92a1f213,"Managing knowledge effectively is critical to the competitive power of a company. Knowledge is used as an important resource in many industrial areas, and so it follows that there is a growing interest in knowledge management within the construction industry. Yet because of the unique characteristics of construction knowledge created during projects, there are limitations to its capture and reuse. The knowledge produced during construction projects is project-oriented, experiential, and context specific; due to these characteristics, the reuse of knowledge is difficult. In this research, research team focus on capturing and identifying the characteristics of construction knowledge, then propose a method for applying these characteristics to the development of an ontology-based construction knowledge retrieval system. Moreover, research team developed a system prototype that applies ontology in suggesting related search words during the search process and validated the effectiveness of the prototype in terms of precision and recall rate. By applying the prototype, the precision and recall rate was improved by approximately 10∼30%. © 2013 Korean Society of Civil Engineers and Springer-Verlag Berlin Heidelberg.",construction knowledge; information technology; knowledge retrieval; ontology,Competitive power; Construction knowledge; Construction projects; Industrial area; Knowledge retrieval; Precision and recall; Research teams; System prototype; Construction industry; Information retrieval; Information technology; Knowledge management; Research; Ontology,Article,,,,,,
326,314,"Anumba C.J., Issa R.R.A., Pan J., Mutis I.",Ontology-based information and knowledge management in construction,2008.0,10.1108/14714170810888976,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986131947&doi=10.1108%2f14714170810888976&partnerID=40&md5=d196e3cc7b36a3eff8fec0922164469a,"There is an increasing recognition of the value of effective information and knowledge management (KM) in the construction project delivery process. Many architecture, engineering and construction (AEC) organisations have invested heavily in information technology and KM systems that help in this regard. While these have been largely successful in supporting intra-organisational business processes, interoperability problems still persist at the project organisation level due to the heterogeneity of the systems used by the different organisations involved. Ontologies are seen as an important means of addressing these problems. The purpose of this paper is to explore the role of ontologies in the construction project delivery process, particularly with respect to information and KM. A detailed technical review of the fundamental concepts and related work has been undertaken, with examples and case studies of ontology-based information and KM presented to illustrate the key concepts. The specific issues and technical difficulties in the design and construction context are highlighted, and the approaches adopted in two ontology-based applications for the AEC sector are presented. The paper concludes that there is considerable merit in ontology-based approaches to information and KM, but that significant technical challenges remain. Middleware applications, such as semantic web-based information management system, are contributing in this regard but more needs to be done particularly on integrating or merging ontologies. The value of the paper lies in the detailed exploration of ontology-based information and KM within a design and construction context, and the use of appropriate examples and applications to illustrate the key issues. © 2008, Emerald Group Publishing Limited",Construction industry; Data structures; Generation and dissemination of information; Knowledge management; Semantics,,Article,,,,,,
327,272,"Wang G., He G., Bian L.",Ontology-based interorganizational knowledge management in sustainable construction project,2011.0,10.4028/www.scientific.net/AMR.243-249.6339,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958048907&doi=10.4028%2fwww.scientific.net%2fAMR.243-249.6339&partnerID=40&md5=61b94c1dbbc6b4f71a67fa11ea8fe7b0,"Due to the great negative impact, the construction industry needs to undergo a paradigm shift from traditional construction to sustainable construction. To reach the goal of sustainable development, the construction industry needs to intensify its efforts to move to a knowledge intensive mode. Based on the analysis of e-Cognos and the concept of ontology, this paper proposes that e-Cognos ontology can be applied in the development of sustainable construction process ontology, which is a key part of knowledge management system (KMS). Following this, the application process of ontology-based KMS is analyzed using IDEF0 modeling method. Finally, this paper analyzes interorganizational collaboration model in sustainable project. © (2011) Trans Tech Publications.",IDEF0; Knowledge management; Ontology; Sustainable construction,Application process; IDEF0; Interorganizational collaboration; Key parts; Knowledge management system; Modeling method; Negative impacts; Ontology-based; Paradigm shifts; Sustainable construction; Sustainable project; Building materials; Civil engineering; Construction equipment; Construction industry; Knowledge based systems; Knowledge management; Ontology; Project management,Conference Paper,,,,,,
329,253,"Schwinn M., Kuhn N., Richter S.",Ontology-based knowledge management: Graphical query editor for OWL ontologies,2011.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865141314&partnerID=40&md5=f29b24fe928f9b36905750ae10e8ef50,"The OnToBau research project aims to provide a way to classify, archive and effectively use business knowledge with the assistance of an ontology-based knowledge archive for small and medium companies from construction industry. This archive is intended to pro-actively provide users with information to assist them in their daily business process handling. The system consists of four main parts. The document converters prepare the different resources (EMails, Paperdocuments, PDFs etc.) that should be stored in the knowledge archive for the enclosed inference system. The inference system is the core component and extracts the information from the preprocessed resources. Ontologies provide the necessary domain knowledge. In order to exploit the available knowledge, a personal agent monitors the current activities of the user and tries to infer the intention from his behaviors. At certain points it automatically offers the user helpful information. Again ontologies are used to represent information about the business processes. In addition, the user has the option to search for information in the archive through the graphical user interface. The importance of simple query systems has already been identified in the area of database systems. This paper gives an overview of the OnToBau research project presenting a first approach to visual query for information in the knowledge archive.",Ambient user support; Graphical query language; Knowledge management; Ontology; Visual query system,Business knowledge; Business Process; Core components; Domain knowledge; Graphical query; Graphical query languages; Inference systems; Ontology-based; OWL ontologies; Personal Agent; Query systems; User support; Visual query; Visual query system; Construction industry; Graphical user interfaces; Information systems; Knowledge management; Ontology; Query languages; Research; Management science,Conference Paper,,,,,,
332,226,"Zhang L., Issa R.R.A.",Ontology-based partial building information model extraction,2013.0,10.1061/(ASCE)CP.1943-5487.0000277,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886505825&doi=10.1061%2f%28ASCE%29CP.1943-5487.0000277&partnerID=40&md5=b9a8c8ddfa9c19adfe8fc230f9960bfa,"The current application of building information modeling (BIM) in the construction industry is generally focused on using the complete building information model during the life cycle of the project. With more information being added to the model, the size of the model file and the difficulty to manipulate the model increase. However, different use scenarios may only require access to certain specific information stored in the model. In contrast with the ample research of ontology applications in construction knowledge management, research of ontology in construction modeling has been limited. Hence, the purpose of this study is to use ontology in the extraction of a partial building information model from the original complete model. The building information models covered in this study are in the Industry Foundation Classes (IFC) format, which is a widely supported open BIM standard. An ontology TBox is developed according to the existing IFC schema specifications. For each specific IFC model, an ontology ABox is generated at run time, combining the ontology TBox and the IFC instances in the model. The ABox works as an index in the partial model extraction algorithm. A prototype Java program based on the algorithm was developed to demonstrate and validate the algorithm using both a sample model and an IFC model from a real building. The results indicated that the use of ontology provides a valid way to deal with the technical complexity of IFC models. © 2013 American Society of Civil Engineers.",Building information modeling (BIM); Extraction algorithm; Industry Foundation Classes (IFC); Ontology; Partial model,Building Information Model - BIM; Construction knowledge managements; Extraction algorithms; Industry Foundation Classes - IFC; Ontology applications; Partial modeling; Specific information; Technical complexity; Algorithms; Buildings; Computer software; Construction industry; Extraction; Java programming language; Knowledge management; Ontology; Architectural design,Conference Paper,,,,,,
344,175,"Zhou Z., Goh Y.M., Shen L.",Overview and Analysis of Ontology Studies Supporting Development of the Construction Industry,2016.0,10.1061/(ASCE)CP.1943-5487.0000594,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992217086&doi=10.1061%2f%28ASCE%29CP.1943-5487.0000594&partnerID=40&md5=5ec5f002e31865699146067289d621d8,"Being information-intensive, the construction industry has the feature of multiagents, including multiparticipants from different disciplines, multiprocesses with a long-span timeline, and multidocuments generated by various systems. The multistakeholder context of the construction industry creates problems such as poor information interoperability and low productivity arising from difficulties in information reuse. Many researchers have explored the use of ontology to address these issues. This study aims to review ontology research to explore its trends, gaps, and opportunities in the construction industry. A systematic process employing three-phase search method, objective analysis and subjective analysis, helps to provide enough potential articles related to construction ontology research, and to reduce arbitrariness and subjectivity involved in research topic analysis. As a result, three main research topics aligned with the ontology development lifecycle were derived as follows: information integration based on ontology, ontology building, and ontology application. In addition, research gaps and the corresponding research agenda were identified. This detailed review provides the basis for further studies on the use of ontology in the construction industry. The research trends and gaps can serve as motivation for researchers and practitioners to work on the next generation of ontology studies to support the development of the construction industry. © 2016 American Society of Civil Engineers.",Cluster analysis; Construction industry; Information interoperability; Knowledge representation; Ontology; Semantic web; Word cloud,Cluster analysis; Construction industry; Interoperability; Knowledge representation; Ontology; Semantic Web; Information integration; Information interoperability; Information re use; Ontology applications; Ontology development; Subjective analysis; Systematic process; Word clouds; Information use,Article,,,,,,
348,273,"Rezgui Y., Boddy S., Wetherill M., Cooper G.","Past, present and future of information and knowledge sharing in the construction industry: Towards semantic service-based e-construction?",2011.0,10.1016/j.cad.2009.06.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953733556&doi=10.1016%2fj.cad.2009.06.005&partnerID=40&md5=a6d2e75867dca4fca6102671af5e56dc,"The paper reviews product data technology initiatives in the construction sector and provides a synthesis of related ICT industry needs. A comparison between (a) the data centric characteristics of Product Data Technology (PDT) and (b) ontology with a focus on semantics, is given, highlighting the pros and cons of each approach. The paper advocates the migration from data-centric application integration to ontology-based business process support, and proposes inter-enterprise collaboration architectures and frameworks based on semantic services, underpinned by ontology-based knowledge structures. The paper discusses the main reasons behind the low industry take up of product data technology, and proposes a preliminary roadmap for the wide industry diffusion of the proposed approach. In this respect, the paper stresses the value of adopting alliance-based modes of operation. © 2010 Elsevier Ltd. All rights reserved.",BIM; CAD; e-Process; IFC; Ontology; Product data technology; STEP (ISO 10303); Web service,BIM; CAD; e-Process; IFC; Product data technology; STEP (ISO 10303); Architectural design; Construction industry; Semantics; Technology; Web services; Ontology,Article,,,,,,
362,179,"Pauwels P., De Farias T.M., Zhang C., Roxin A., Beetz J., Roo J.D., Nicolle C.",Querying and reasoning over large scale building data sets: An outline of a performance benchmark,2016.0,10.1145/2928294.2928303,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044624002&doi=10.1145%2f2928294.2928303&partnerID=40&md5=1edaee36a482d8f3c13745c28eb65c5a,"The architectural design and construction domains work on a daily basis with massive amounts of data. Properly managing, exchanging and exploiting these data is an ever ongoing challenge in this domain. This has resulted in large semantic RDF graphs that are to be combined with a significant number of other data sets (building product catalogues, regulation data, geometric point cloud data, simulation data, sensor data), thus making an already huge dataset even larger. Making these big data available at high performance rates and speeds and into the correct (intuitive) formats is therefore an incredibly high challenge in this domain. Yet, hardly any benchmark is available for this industry that (1) gives an overview of the kind of data typically handled in this domain; and (2) that lists the query and reasoning performance results in handling these data. In this article, we therefore present a set of available sample data that explicates the scale of the situation, and we additionally perform a query and reasoning performance benchmark. This results not only in an initial set of quantitative performance results, but also in recommendations in implementing a web-based system relying heavily on large semantic data. As such, we propose an initial benchmark through which new upcoming data management proposals in the architectural design and construction domains can be measured. © 2016 ACM.",Benchmark; Big data; Building information modeling; Built environment; IFC; OWL; Reasoning; Semantic web,Architectural design; Benchmarking; Data handling; Information management; Semantic Web; Building Information Model - BIM; Building products; Built environment; Design and construction; Large scale buildings; Point cloud data; Reasoning; Reasoning performance; Big data,Conference Paper,,,,,,
363,117,"Werbrouck J.M., Senthilvel M., Beetz J., Pauwels P.",Querying heterogeneous linked building data with context-expanded GraphQL queries?,2019.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068806275&partnerID=40&md5=2128318c30b25e467ca0eb415fb1e9fa,"Linked Data in the construction industry is a topic gaining serious interest over the last years. However, this interest remains largely academic and has not sparked much adoption of web technologies in the field. To nourish adoption of Linked Data in practice, access to the data has to be made more easy. SPARQL, the recommended RDF query language, has proven very powerful for retrieving and updating RDF datasets. However, due to its verbosity and complexity, it is often considered a threshold for developers to implement in their tools. In this paper, we compare SPARQL with Linked Data querying languages that extend the GraphQL syntax, in context of querying building datasets: HyperGraphQL and GraphQL-LD. Since it went open source in 2015, GraphQL has been adopted by a large community of developers, partly due to its elegance and conciseness. As a use case, the queries are performed on an RDF-based multi-model that relies on the recent ISO standard ICDD (ISO 21597). ICDD interlinks information on a sub-document identifier level, based on OWL. It is aimed at the industry in that it adds a layer of Linked Data to documentation formats that are still widely used in practice: IFC, spreadsheets, imagery etc. Therefore, it is considered a tuned use case for comparing these different RDF query languages. © 2019 CEUR-WS. All rights reserved.",GraphQL; ICDD; Linked Data; SPARQL,Construction industry; Data handling; ISO Standards; Query languages; Data querying; Document identifiers; GraphQL; ICDD; Open sources; RDF query language; SPARQL; Web technologies; Linked data,Conference Paper,,,,,,
364,333,"Chu H.-J., Chow R.Y.C.",Reaching semantic interoperability through semantic association of domain standards,2007.0,10.1109/FTDCS.2007.29,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547277470&doi=10.1109%2fFTDCS.2007.29&partnerID=40&md5=d5daecfc852c844489f077aa664d65a3,"The vision of semantic interoperability has led much research on ontology matching. Research in this area primarily focuses on discovering similarity between entities of ontologies. The performance of proposed approaches relies on the existence of such similarity relationship and sufficient data for inferring it. However, in reality, many distributed systems do not have such presumptions. This paper addresses this challenge by associating the entities through affinity semantic (to what degree they are related in their application context). Through the analysis of a motivating example in building construction industry, this paper formally defines semantic association based on multiple-perspective domain standards. This paper hypothesizes that the establishment and the use of such standards can practically serve as a framework for reaching semantic interoperability between autonomous information systems. This paper also shows that such framework has the potential to make revolutionary impacts on workflow automation, information retrieval, and ontology matching research areas. © 2007 IEEE.",,Autonomous agents; Distributed computer systems; Information retrieval; Interoperability; Standardization; Domain standards; Ontology matching; Revolutionary impacts; Semantic interoperability; Semantics,Conference Paper,,,,,,
369,44,"Amorocho J.A.P., Hartmann T.",Reno-Inst: An ontology to support renovation projects planning and renovation products installation,2021.0,10.1016/j.aei.2021.101415,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114997784&doi=10.1016%2fj.aei.2021.101415&partnerID=40&md5=a0cc3cd3e472c6384eb1e31254830ee9,"While the use of semantic models has been explored in different areas of the Architecture, Engineering and Construction (AEC) industry to map and formalize knowledge and support different tasks, building renovation seems to be a neglected area in this field. Therefore, this paper presents the Renovation-Installation (Reno-Inst) ontology, which maps knowledge from the renovation domain considering different requirements, constraints, and other elements related to the installation of common renovation products such as windows, thermal insulation panels, and heat radiators. The development of the Reno-Inst ontology relies on an approach combining input from experts and knowledge from related engineering documents. The verification and validation process includes a content evaluation workshop with experts, a verification design stage, and the analysis and implementation of a real case study. The paper provides another example of the power of ontologies as a method for mapping and representing knowledge, gathering, and retrieving relevant information. Particularly, renovation projects encounter diverse challenges that lead to cost and schedule overruns, making their performance typically low. Therefore, the proposed Reno-Inst ontology provides a basis from which new applications can be developed, tested, and deployed to support improvements in the building renovation field, especially in the planning and execution of renovation activities. © 2021 The Authors",Building renovation; Knowledge-based engineering; Ontology; Project planning,"Installation; Semantics; Thermal insulation; Architecture , engineering and construction industries; Building renovation; Cost and schedule; Engineering document; New applications; Planning and execution; Products installations; Verification-and-validation; Ontology",Article,,,,,,
371,87,"He Z.-W., Chen J.-L.",Restricted ontology similarity,2006.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746575089&partnerID=40&md5=7fa5505242dffcf23b9b62208827f6fc,"Resources integrated from heterogeneous resources of the Semantic Web are usually transformed to ontologies which based on the same ontology schema and can be used for analysis and data mining. These ontologies are different from each others in the part of instances of classes and properties. A variety of methods can be used for the similarity of these ontologies. Basically they apply pair-wise comparison of entities from each of the ontologies and select the most similar pair. These entities include class, property, instance, data type and so on. However, this task can be restricted in the comparison of instances and relations. A similarity measure is introduced for the similarity of restricted ontologies, which makes use of the specialty of inference in ontology and is a 2-grade ontology similarity technique. Moreover, the 2-grade ontology similarity technique can resolve the problem of circularities in similarity definition.",Ontology retrieval; Ontology similarity; Restricted ontology; Semantic Web,Data mining; Semantics; World Wide Web; XML; Information index; Ontology retrieval; Ontology similarity; Restricted ontology; Semantic Web; Information retrieval,Article,,,,,,
380,139,"Beach T.H., Rezgui Y.",Semantic encoding of construction regulations,2018.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054937045&partnerID=40&md5=e2aafdd6557ea5aceff801501e6c3367,"In recent years increased attention in the built environment research community has been given to the implementation of automatic compliance checking systems. Specifying, managing and subsequently executing these regulations is a challenging task, with a wide variety of experts involved. These experts range from experts in the regulations themselves, to specialists in BIM data formats and software engineers, all of whom are required to manage the automatic execute of a single regulation set. This paper demonstrates how an ontology can be used to encode construction regulations, acting as the single source for both human and machine readable regulations. The structure of the ontology will be described, along with how regulations can be encoded, and subsequently executed. This will be demonstrated on case studies using a proof-of-concept user interface that has been developed to abstract the generation of the ontological encoding. © 2018 CEUR-WS. All Rights Reserved.",Linked data mapping; Reasoning; Regulatory compliance,Compliance control; Data handling; Encoding (symbols); Linked data; Ontology; Regulatory compliance; Semantics; Signal encoding; User interfaces; Built environment; Case-studies; Compliance checking; Construction regulation; Data mappings; Proof of concept; Reasoning; Single source; Architectural design,Conference Paper,,,,,,
389,373,"Lai Y.-C., Carlsen M., Christiansson P., Svidt K.",Semantic-Web Supported Knowledge Management System: An Approach to Enhance Collaborative Building Design,2003.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642328307&partnerID=40&md5=eb9b39fdffe979c380107796acfeb7bb,"This paper focuses on a lightweight ontology-based knowledge management system, which is a main component of IT-CODE, a Semantic Web based virtual workspace for enhancing the collaboration at an early building design stage. Technologies with respect to de facto standards that are proposed by industry group W3C are implemented to develop this knowledge management system. Resource Description Framework (RDF) associated with its Schema (RDFS) is selected as ontology language of the system. RDF(S) with its embedded reasoning techniques provides a rich set of constructs to facilitate the generation of ontologies so that the annotated information can be machine readable. Initiatives taken in the building industry for the evolution of the Semantic Web will be overviewed in this paper. Potential benefits offered by the RDF(S)-based knowledge management system to the building industry will be explained. Approaches of how the knowledge is represented in RDF-based ontology, is shared and retrieved among actors participating in the early design phase of a building project will also be described and illustrated. The paper will conclude with a description of how the early design phase may benefit from IT-CODE and its innovative knowledge management system.",Collaborative design; Knowledge management system; Ontologies; RDF(S); Semantic-web,Computer supported cooperative work; Information science; Problem solving; Product development; Semantics; Societies and institutions; World Wide Web; Collaborative design; Knowledge management system; Ontologies; Semantic-web; Knowledge based systems,Conference Paper,,,,,,
