,Publication Type,Authors,Article Title,Document Type,Author Keywords,Keywords Plus,Abstract,Publication Date,Publication Year,DOI,DOI Link
4,J,"Temesgen, A; Storsletten, V; Jakobsen, O",Circular Economy - Reducing Symptoms or Radical Change?,Article,Circular economy; Ecological economics; Quality of life; Lakatos,,"In this article, we address why our management of the economy, community and business has led to global warming and we discuss the importance of worldviews, ontology, epistemology and axiology in the search for alternative paths of development. We do this by focusing on the concept of Circular Economy. Circular Economy is often presented as a solution to the problems of a globalized economy in the form of over-exploitation of resources, climate change and pollution of the environment. Within the mainstream economics paradigm, the aim is how to increase the effectiveness of resource extraction and utilization in order to maintain growth. We contrast this with the paradigm of Ecological Economics where the goal of the economy is to achieve and secure a higher quality of life. Circular Economy often side steps the deep ontological and epistemological questions we need to answer if we are to address the complex and interrelated environmental, economic and social problems we face today. This can be a limiting factor in the search for creative and long-term solutions. However, within the Circular Economy discourse, we find strands that critically engage with the foundations of mainstream Economics and so, innovative solutions for the society of the future are a possibility. We argue that to bring about a lasting solution to the interconnected social, economic and environmental problems, Circular Economy must engage with the ontological, epistemological and axiological foundations of mainstream economics. To further this argument, we apply Imre Lakatos' 'research program' model to philosophy of science as our framework of analysis and draw lessons for business and communities.",MAR,2021.0,10.1007/s40926-019-00112-1,0.0
32,J,"Ng, CI",Circularity and Difference-Early Heidegger and the Problem of Phenomenological Concealment,Article,Heidegger; Hermeneutic Phenomenology; Hermeneutic Circle; Ontological Difference,,"The emphasis of the interlacing and interweaving of Being, appearance and concealment is a general characterization of Heidegger's later philosophy. But the problem of radical concealment is also present in the works of early Heidegger, mediated through the problem of ontological difference. The present paper aims at examining the ways in which Heidegger construes and articulates the relation between Being, appearance and concealment within the horizon of the fundamental ontology. Being and Time is often regarded as a classical work of the hermeneutic phenomenology. However, our analysis shows that the prominent idea of hermeneutic circle, with its implicit presuppositions of centricity and totality, can only be a preliminary answer to the problem of the radical concealment. Through a destructive interpretation of the passages on the they and the death in Being and Time, we will show finally that despite the predominance of hermeneutic thinking in the phenomenology of Dasein, its concrete phenomenological analysis has already highlighted certain essential existential phenomena that should have broken the circular movement of Dasein's existence.",JUL,2016.0,,
115,J,"Anumba, CJ; Pan, J; Issa, RRA; Mutis, I",Collaborative project information management in a semantic web environment,Article,Design and development; Construction industry; Information management; Semantics; Worldwide web; Project management,,"Purpose - The advent of web services and the semantic web have opened up opportunities for a new generation of interoperable systems on the web. The purpose of this paper is to show the importance of semantics in design and construction, and how this has long been recognised and addressed to varying extents by researchers. Design/methodology/approach - There is now the potential for designs to be developed through a system of collaborating design services and for input by the construction team members. The potential also extends to the construction phase where the designers can provide more timely responses to problems encountered in the field. Within this environment, there is the need for effective mechanisms for design and construction information management, in addition to an ontology that facilitates the sharing of design and construction information and the underlying semantics. This paper explores these trends in collaborative design and construction, and presents an ontology-based approach to project information management in a semantic web environment. Findings - The findings include a framework for semantic web-based information management (SWIMS), which provides for effective collaborative information management. Examples, based on design and construction information, are presented to illustrate the key concepts. Originality/value - This paper presents an innovative approach to overcoming the limitations of conventional information management approaches in construction. The proposed approach is expected to enhance collaboration, and avoid information loss, overload and misunderstanding,",,2008.0,10.1108/09699980810842089,0.0
90,J,"Aksamija, A",Computational Representations of Architectural Design for Tall Buildings,Article,ontology; architectural design; tall building; complexity,,"Building design process is a significantly complex procedure taking into account many different factors and variables, such as the site context, environment, material availability, cost, and function. One of the most complex forms in the built environment is tall building because of the scale, design considerations, and multidisciplinary nature. This article discusses development of ontological model for understanding, presenting, relating, and managing knowledge influencing architectural design of tall buildings. Ontology is a knowledge-based model that represents certain domain by abstraction of concepts, and a network of relationships and properties describing these concepts. By creating an architectural ontology, the factors, relations, and characteristics it? the design process can be clearly defined and presented. The model incorporates physical systems such as structure, building elements, and geometry, as well as environmental effects, social aspects and other complex attributes. (C) 2009 Wiley Periodicals, Inc. Complexity 15: 45-53, 2009",NOV-DEC,2009.0,10.1002/cplx.20271,0.0
42,J,"Grzybek, H; Xu, S; Gulliver, S; Fillingham, V",Considering the Feasibility of Semantic Model Design in the Built-Environment,Article,Building Information Modeling (BIM); semantic; modeling; feasibility,KNOWLEDGE MANAGEMENT; ONTOLOGY; CONSTRUCTION; INFRASTRUCTURE; TAXONOMY; SYSTEM; DOMAIN; WEB; SUSTAINABILITY; ARCHITECTURE,"Building Information Modeling (BIM) is the process of structuring, capturing, creating, and managing a digital representation of physical and/or functional characteristics of a built space [1]. Current BIM has limited ability to represent dynamic semantics, social information, often failing to consider building activity, behavior and context; thus limiting integration with intelligent, built-environment management systems. Research, such as the development of Semantic Exchange Modules, and/or the linking of IFC with semantic web structures, demonstrates the need for building models to better support complex semantic functionality. To implement model semantics effectively, however, it is critical that model designers consider semantic information constructs. This paper discusses semantic models with relation to determining the most suitable information structure. We demonstrate how semantic rigidity can lead to significant long-term problems that can contribute to model failure. A sufficiently detailed feasibility study is advised to maximize the value from the semantic model. In addition we propose a set of questions, to be used during a model's feasibility study, and guidelines to help assess the most suitable method for managing semantics in a built environment.",DEC,2014.0,10.3390/buildings4040849,0.0
87,C,"Hilbert, F; Scherer, RJ",Context-Specific Multi-Model-Template Retrieval,Proceedings Paper,Context model; Multi-Model; Project Collaboration Ontology,,"Although the construction industry, in contrast to the stationary industry, is characterized by One of a Kind fabrication, there can be found similarities in project, product, process and organizational structures. The focus of this paper is to identify relationships, roles and model types, which are often needed in a specific project context and summarize these similarities by the use of a collaboration ontology providing for Multi-Model logistics. Reference models on the one side and a model to describe the project context on the other side should ensure that all partners retrieve precisely situation-specific selections of the application models which are necessary for their tasks. Furthermore, a pilot scenario is presented, which evaluate this approach on an Azure Cloud collaboration platform. As a result, we obtain an approach, which allows simplified handling and reuse of complex project-, product- and collaboration-models in order to support the collaboration within a virtual Organization in Construction Industry.",,2012.0,,
64,J,"Shashank, A; Schuurman, N; Copley, R; Lear, S",Creation of a rough runnability index using an affordance-based framework,Article,Running; affordance; GIS; built environment; physical activity,PHYSICAL-ACTIVITY; BUILT ENVIRONMENT; WALKING; EXERCISE; BEHAVIOR; ASSOCIATIONS; WALKABILITY; LANDSCAPES; ONTOLOGY; MATTER,"Running is one of the most popular forms of physical activity. To date, no literature explores association between the features of the built environment and running. A limited amount of literature uses walkability as a proxy for runnability, thereby misjudging the differing goals of walking and running: leisure, sport or commute. We create a rough runnability index using an affordance-based framework as a conceptual and methodological attempt to quantify features of the built environment that facilitate or hinder running as a form of leisure or sport activity. Three indices are created in the City of Surrey, British Columbia, Canada using pixelated edges. We find that areas in the downtown core and near high traffic routes show low safety and general runnability, whereas areas near parks and in low traffic, residential areas show higher safety for runners. Representing runnability using pixelated edges allows for sub-block level analysis of runnability as experienced by runners.",JAN,2022.0,10.1177/23998083211003886,0.0
120,J,"Kjaergaard, MB; Ardakanian, O; Carlucci, S; Dong, B; Firth, SK; Gao, N; Huebner, GM; Mahdavi, A; Rahaman, MS; Salim, FD; Sangogboye, FC; Schwee, JH; Wolosiuk, D; Zhu, YM",Current practices and infrastructure for open data based research on occupant-centric design and operation of buildings,Article,Open data; Data publishing; Data use; Occupant behavior; FAIR Data; Ontology; Anonymi; z; ation; Metadata schema,ENERGY PERFORMANCE; BEHAVIOR; ONTOLOGY; MODEL; SIMULATION; BARRIERS; BENEFITS; SCHEMA; TOOL,"Many new tools for improving the design and operation of buildings try to realize the potential of big data. In particular, data is an important element for occupant-centric design and operation as occupants' presence and actions are affected by a high degree of uncertainty and, hence, are hard to model in general. For such research, data handling is an important challenge, and following an open science paradigm based on open data can increase efficiency and transparency of scientific work. This article reviews current practices and infrastructure for open data-driven research on occupant-centric design and operation of buildings. In particular, it covers related work on open data in general and for the built environment in particular, presents survey results for existing scientific practices, reviews technical solutions for handling data and metadata, discusses ethics and privacy protection and analyses principles for the sharing of open data. In summary, this study establishes the status quo and presents an outlook on future work for methods and infrastructures to support the open data community within the built environment.",JUN 15,2020.0,10.1016/j.buildenv.2020.106848,0.0
176,J,"Pedro, A; Pham-Hang, AT; Nguyen, PT; Pham, HC","Data-Driven Construction Safety Information Sharing System Based on Linked Data, Ontologies, and Knowledge Graph Technologies",Article,construction safety; information sharing; knowledge graph; linked data; ontology; semantic web; data-driven; knowledge engineering; knowledge management; accident prevention,HEALTH; MANAGEMENT; INDUSTRY,"Accident, injury, and fatality rates remain disproportionately high in the construction industry. Information from past mishaps provides an opportunity to acquire insights, gather lessons learned, and systematically improve safety outcomes. Advances in data science and industry 4.0 present new unprecedented opportunities for the industry to leverage, share, and reuse safety information more efficiently. However, potential benefits of information sharing are missed due to accident data being inconsistently formatted, non-machine-readable, and inaccessible. Hence, learning opportunities and insights cannot be captured and disseminated to proactively prevent accidents. To address these issues, a novel information sharing system is proposed utilizing linked data, ontologies, and knowledge graph technologies. An ontological approach is developed to semantically model safety information and formalize knowledge pertaining to accident cases. A multi-algorithmic approach is developed for automatically processing and converting accident case data to a resource description framework (RDF), and the SPARQL protocol is deployed to enable query functionalities. Trials and test scenarios utilizing a dataset of 200 real accident cases confirm the effectiveness and efficiency of the system in improving information access, retrieval, and reusability. The proposed development facilitates a new open information sharing paradigm with major implications for industry 4.0 and data-driven applications in construction safety management.",JAN,2022.0,10.3390/ijerph19020794,0.0
48,C,"Cao, H; Wang, X; Chen, J",Design of an extended qualitative cardinal direction relation model based on ontology,Proceedings Paper,spatial relations; cardinal directions; direction relation matrix; ontology,,"Cardinal direction relation is an important spatial relation to determine directions and locations between spatial objects. Since 1987, some corn-based and projection-based direction relation models have been proposed. However, these existing models use different terms and methods to describe and represent direction relation, so it is difficult to share information in application systems. In order to support cardinal direction relation representing and reasoning according to explicit different level of details and improve the information reusing and interoperability, it is necessary to have explicit formalizations of mental concepts that people have about it. In this paper, we use ontology to set up a higher level of abstraction where the more valuable information about the meaning of the direction relation can be handled, and propose an extended qualitative description and reasoning cardinal direction model, which precisely describes cardinal direction relations between objects by separating the reference objects as point, line and area. This model has been implemented based on geo-ontology, and it can support common direction relation applications in spatial reasoning domain.",,2009.0,10.1117/12.813114,0.0
189,B,"Raju, P; Ahmed, V",Design science methodology for developing a learning object repository for construction,Article; Book Chapter,,,"The arrival of new technologies makes learning content out of date and thus often leads to reinvention of the wheel. The concept of learning objects is the basis for a new instructional design paradigm for e-learning that puts the emphasis on reuse as a key characteristic of learning activities. In the last decade, several efforts towards the standardisation of learning technology have resulted in the emergence of specific terminologies that are used to name and classify learning elements. Most of these efforts underline the importance of providing metadata information for content in a standardised format as a crucial step to reusability. Most of the current learning object repositories provide room for metadata, but lack a semantic model that clearly establishes what a learning object is and what its associated metadata such as pedagogy should be. The lack of semantics in learning objects also affects their interoperability, sharability and reusability. The Semantic Web-based solution facilitates the easy integration and identification of meaningful interrelationships, represents and uniquely identifies the digital resources and improves search precision. However, Semantic Web has not been fully applied to e-learning, particularly for developing and delivering reusable learning objects. Therefore, this research brings novelty by developing an ontology for the construction domain in order to share and reuse construction learning objects. Furthermore, it follows design science research methodology and develops an ontology-driven, Semantic Web-based learning object repository for construction by integrating pedagogical concepts within the construction education ontology. Results from the evaluation indicated that the acceptance rate of the repository is low in the academic setting. Therefore, strategies for the acceptance of innovation by potential users and communities have to be developed in order to improve the acceptability of the learning object repository.",,2016.0,,
118,J,"Tserng, HP; Chang, CH",Developing a project knowledge management framework for tunnel construction: lessons learned in Taiwan,Article,experience management (EM); information retrieval (IR); knowledge management (KM); knowledge organization (KO); project management,,"Knowledge, particularly in the form of experience, can provide a competitive advantage in the construction industry. Knowledge organization (KO) systems developed in the library, information, and computer sciences are excellent for delivering knowledge services. However, it is difficult for these systems to judge how suitable (not just relevant) any of the retrieved knowledge will be in practice. This study puts forward a directional experience ontology (DExOntology) framework, which makes use of KO characteristics to set up problem-topic ontology, but augments the retrieved knowledge documents (KwDocs) in the knowledge bank with additional orientation from weighted attributes determined by domain experts, thus bridging the gap between existing KO systems and practical requirements. The goal is a mechanism that delivers knowledge, especially in the domain of practical experience, more efficiently and effectively than simple information retrieval searches. The study finds that the DExOntology framework significantly improves both the relevancy and suitability of the retrieved knowledge, making it a more useful system for construction industry practitioners to use in the field.",APR,2008.0,10.1139/L07-116,0.0
140,C,"Soares, AL; Simoes, D; Silva, M; Madureira, R",Developing enterprise sponsored virtual communities: The case of a SME's knowledge community,Proceedings Paper,enterprise sponsored virtual communities; ontology based information systems; action-research,,"This paper presents a case in the development of a knowledge community support system in the context of an industrial association group in the construction sector. This system is a result of the Know-Construct project which aims at providing association sponsored SME communities of the construction sector with a sophisticated information management platform and community building tools for knowledge sharing. The paper begins by characterizing the so-called construction industry knowledge community. The Know-Construct system concept and the its general architecture are described, focusing on the semantic resources, in particular the ontologies structure. The final part of the paper depicts the approach to the actual introduction of the system in the community. An action-research approach was planned to obtain research results regarding the social acceptance of semantic resources such as the ontologies and technical classifications used in system.",,2006.0,,
94,C,"Fang, Y; Li, JZ; Fang, Y; Lan, TR; Shi, XY",Development of Quality Management System of Construction Engineering Testing Laboratory Based on Ontology,Proceedings Paper,,,"In developing the testing business of construction engineering testing institutions, strict laboratory management is needed first. Currently, because of the research of China's construction engineering testing quality management system or platform, there is a few refine management which is specific to the whole process of testing laboratories, and many problems often occur, such as chaotic measuring management of instruments and equipment, mismanaged consumables and dangerous chemicals, and so forth. To improve the quality of construction engineering laboratory testing, this paper provides an information management system to improve energy efficiency. The systematic research is based on ontology theory, and the purpose is to turn the theory into practice, complement, and refine the laboratory management system in the field of construction engineering testing, and provide a reference for its development direction. This system would give tangible benefits to the testing institutions, which can get them from the quality management information system.",,2021.0,,
199,J,"El Mokhtari, K; Panushev, I; McArthur, JJ",Development of a Cognitive Digital Twin for Building Management and Operations,Article,cognitive digital twin; smart building; data visualization; data streaming; IoT,ENERGY OPTIMIZATION; ENABLING TECHNOLOGIES; INTERNET; BIM; PERFORMANCE,"Cognitive Digital Twins (CDTs) are defined as capable of achieving some elements of cognition, notably memory (encoding and retrieval), perception (creating useful data representations), and reasoning (outlier and event detection). This paper presents the development of a CDT, populated by construction information, facility management data, and data streamed from the Building Automation System (BAS). Advanced machine learning was enabled by access to both real-time and historical data coupled with scalable cloud-based computational resources. Streaming data to the cloud has been implemented in existing architectures; to address security concerns from exposing building equipment to undesirable access, a secure streaming architecture from BACnet equipment to our research cloud is presented. Real-time data is uploaded to a high-performance scalable time-series database, while the ontology is stored on a relational database. Both data sources are integrated with Building Information Models (BIM) to aggregate, explore, and visualize information on demand. This paper presents a case study of a Digital Twin (DT) of an academic building where various capabilities of CDTs are demonstrated through a series of proof-of-concept examples. Drawing from our experience enhancing this implementation with elements of cognition, we present a development framework and reference architecture to guide future whole-building CDT research.",MAY 16,2022.0,10.3389/fbuil.2022.856873,0.0
84,C,"Tibaut, A; Reboij, D",Development of an e-service for semantic interoperability of BIMs,Proceedings Paper,,MODEL,"Focus of the paper is interoperability of heterogeneous information systems in construction where building information models, BIMs, are used. In the paper we introduce a methodology DRAGOn (Disharmony Resolving with Agents and ONtology) that uses a concept of virtual product model with belief that it is possible to preserve the independence and flexibility of proprietary BIMs while demonstrating a certain level of interoperability that results in decreasing semantical and structural difference between product models. The methodology includes definition of structural and semantical disharmony for information models in general and defines conceptualization for structural and semantical disharmony, a disharmony ontology. The disharmony ontology can be formally specified as an OWL ontology. Software agents can use the ontology to resolve structural and semantical conflicts between applications. The agents communicate via shared communication space, a middleware that enables mediation of semantically different BIMs. The mediation incrementally builds local ontologies. The ontologies are used as persistent repositories of concepts (structure and semantics) that are captured from applications during run-time. Extensive applicability of the methodology is expected in construction industry with rich, complex and dispersed data content.",,2009.0,,
26,C,"Usto, K","Dialectical Tectonics - Ontology and tectonic ecology of form, material and form without material",Proceedings Paper,,CIRCULAR ECONOMY,"In a trajectory towards a Circular Economy (CE), this paper develops a onto-epistemological position which is inherently tectonic and ecological advocating the implementation of a Circular Tectonic Ecology (CTE) to follow. While an actualization relatively of a CE and a CTE are problematic due to issues linked to global politics and economy (Laumann, Tambo 2018: 1) (Ritzen, Sandstrom 2017:11), the paper argues for an emphasis on a development of a critical tectonic theory (which is radically self-critical) as transitory stepping stone towards a potential future of a CE. By implementation of Dialectical Materialism (Slavoj Zizek), Speculative Realism (Graham Harman) and ecological theory (Timothy Morton), the paper argues for a tectonic theory which aims at critically dismantling the multitude of transcendental a prioi and axioms linked to architecture. The paper finally develops a circular model, acting as shift in perspective, and argues for a transposing of the design process thinking onto a 1:1 scale reality.",,2019.0,,
105,J,"Bonino, D; De Russis, L",DogOnt as a viable seed for semantic modeling of AEC/FM,Article,Built environment; ontology; smart city; AEC/FM; energy modeling,,"Energy consumption and performance assessment of Smart Cities must consider different levels and various subdomains. A comprehensive energy profile of a city, in fact, should work at the city, district, and building levels. At the same time and for each level, it should take into account both electrical and thermal consumptions, and gather these information from a plethora of different sensors and from various stakeholders (i.e., citizens, utilities, policy makers, and energy providers). Current modeling approaches for this context address each level and domain separately, thus preventing a structured and comprehensive approach to a unified energy representation. Moreover, current approaches make it difficult to keep the consistency between the energetic data through levels, sub-domains, and across stakeholders. Starting from an analysis of ontologies at the state-of-the-art, this paper shows how DogOnt can be used as a foundation towards a shared and unified model for such a context. DogOnt was firstly developed in 2008 and withstands over 8 years of usage without major failures and shortcomings. We discuss successful design choices and adaptations, which kept the model up-to-date and increasingly adopted in such a mid-term time frame for energy representation in Smart Cities.",,2018.0,10.3233/SW-180295,0.0
5,C,"Mboli, JS; Thakker, D; Mishra, JL; Sivarajah, S",Domain Experts and Natural language Processing in the Evaluation of Circular Economy Business Model Ontology,Proceedings Paper,Natural language processing; CE; business model ontology; textual data analytic; CE business model; Ontology; data analysis,,"There are efforts been made globally, to switch from the take-make-dispose linear economy to Circular Economy (CE) due to the effects and wasteful nature of linear economic model. However, there are challenges and barriers that are keeping businesses from this transition despite the benefits. One of such challenge is uncertainty regarding the residual value of used products which often lead to incentives misalignment among others. While research efforts are being made to proffer solutions by proposing circular business models, the question of how reliable the new models are remains unanswered. In this paper, we propose a hybrid model of domain experts and Natural Language Processing (NLP) techniques for evaluating and validating CE Business Model (CEBM) ontology. Textual data on competency questions and comments is collected from domain experts and used in the proposed model. The model identified gaps in the ontology used here, calling for further work on the ontology and the result appear satisfactory to the domain experts who participated.",,2021.0,10.1109/ICSC50631.2021.00069,0.0
21,J,"El-Gohary, NM; El-Diraby, TE",Domain Ontology for Processes in Infrastructure and Construction,Article,Project development; Infrastructure; Construction industry; Process modeling; Information and knowledge management; Knowledge-based computer models; Ontology,KNOWLEDGE; PRINCIPLES; TAXONOMY; DESIGN,"With the increasing demands for domain-wide integrated construction and infrastructure development, there is a need for developing a domain ontology to build a knowledge model that describes the multistakeholder project development process. This paper presents a domain ontology for supporting knowledge-enabled process management and coordination across various stakeholders, disciplines, and projects. The ontological model is composed of concepts, relations, and axioms. Concepts represent the things in the domain of interest; relations establish the interconcept links; and axioms specify the definitions of concepts and relations and constraints on their behavior and interpretation. The ontology models the most fundamental concepts in the domain in a structured, extendable, and flexible format to facilitate future evolution and extension of the ontology for representing application-specific and/or enterprise-specific knowledge. The ontology was evaluated through technical evaluation and user evaluation. User evaluation was conducted through one-to-one expert evaluation interviews.",JUL,2010.0,10.1061/(ASCE)CO.1943-7862.0000178,0.0
71,J,"El-Diraby, TA; Lima, C; Feis, B",Domain taxonomy for construction concepts: Toward a formal ontology for construction knowledge,Article,,,"With the advancement of the semantic web, the construction industry is at a stage where intelligent knowledge management systems can be used. Such systems support more effective collaboration, where virtual teams of skilled users, not software, exchange ideas, decisions, and best practice. To achieve that, there is a need to create consistent semantic representation of construction knowledge. Existing representations, in the form of classification systems and product data models, lack effective modeling of concept semantics-a fundamental requirement for human-based exchange of knowledge. Toward this objective, this paper presents a domain taxonomy that was developed as part of the e-COGNOS project. The taxonomy was developed as a first step in the establishment of domain ontology for construction. The taxonomy was developed to be process-centered and to allow for utilization of already existing classification systems (BS6100, Master Format, and UniClass, for example). The taxonomy uses seven major domains to classify construction concepts: Process, Product, Project, Actor, Resource, Technical Topics, and Systems. The taxonomy was developed and validated through extensive interaction with domain experts. The taxonomy was used to develop a prototype ontology for the construction domain including semantic relationships and axioms. The ontology was used to support several applications in semantic knowledge management as part of the e-COGNOS portal, including semantic indexing and retrieval of information and ontology-based collaborative project development.",OCT,2005.0,10.1061/(ASCE)0887-3801(2005)19:4(394),0.0
47,S,"O'Boyle, B; McDonough, T",EPISTEMOLOGICAL PROBLEMS AND ONTOLOGICAL SOLUTIONS: A CRITICAL REALIST RETROSPECTIVE ON ALTHUSSER,Article; Book Chapter,Marxism; philosophy; science; ontology; epistemology; ideology,,"This chapter undertakes one re-evaluation of Louis Althusser's philosophical legacy for modern Marxism. While Althusser self-consciously undertook to defend the scientific character of Marxism and so permanently establish it on a firm footing, many of his closest followers eventually exited the Marxian paradigm for a post-structuralism post-Marxism. We will argue that this development was rooted in Althusser's initial procedure as he attempted to ground Marxism's scientificity in an epistemological argument whose main referent was Marxism itself. This initiated a circularity which was ultimately to prove fatal to Althusser's project. Less remarked upon, however, is a further legacy of the Althusserian oeuvre, the critical realist conception of Marxism initiated by Roy Bhaskar. Bhaskar found part of his inspiration in Althusser's successful posing of the question of Marx's science. On the one hand, Althusser's work can legitimately be seen as a bridge into the post-modern challenge to Marxism. On the other hand, it can be seen as clearing the ground and establishing some of the foundation for critical realism's successful recuperation of the scientific character of Marxism.",,2014.0,10.1108/S0161-723020140000029007,0.0
0,J,"Pauwels, P; Terkaj, W",EXPRESS to OWL for construction industry: Towards a recommendable and usable ifcOWL ontology,Article,Industry Foundation Classes (IFC); Web Ontology Language (OWL); Building; Construction; Information technology; Resource Description Framework (RDF); Semantic web,REPRESENTATION; MODEL,"An increasing number of information management and information exchange applications in construction industry is relying on semantic web technologies or tools from the Linked Open Data (LOD) domain to support data interoperability, flexible data exchange, distributed data management and the development of reusable tools. These goals tend to be overlapped with the purposes of the Industry Foundation Classes (IFC), which is a standard for the construction industry defined through an EXPRESS schema. A connecting point between semantic web technologies and the IFC standard would be represented by an agreed Web Ontology Language (OWL) ontology for IFC (termed ifcOWL) that allows to (1) keep on using the well-established IFC standard for representing construction data, (2) exploit the enablers of semantic web technologies in terms of data distribution, extensibility of the data model, querying, and reasoning, and (3) re-use general purpose software implementations for data storage, consistency checking and knowledge inference. Therefore, in this paper we will look into existing efforts in obtaining an ifcOWL ontology from the EXPRESS schemas of IFC and analyse which features would be required in a usable and recommendable ifcOWL ontology. In making this analysis, we present our implementations of an EXPRESS-to-OWL converter and the key features of the resulting ifcOWL ontology. (C) 2015 Elsevier B.V. All rights reserved.",MAR,2016.0,10.1016/j.autcon.2015.12.003,0.0
21,J,"Miller, JTM","Easy Ontology, Regress, and Holism",Article; Early Access,,,"In this paper, I distinguish between two possible versions of Amie Thomasson's easy ontology project that differ in virtue of positing atomic or holistic application conditions, and evaluate the strengths of a holistic version over a non-holistic version. In particular, I argue that neither of the recently identified regress or circularity problems are troublesome for the supporter of easy ontology if they adopt a holistic account of application conditions. This is not intended to be a defence of easy ontology from all possible objections, but rather to compare holistic and non-holistic versions of the view. This discussion is also significant in that it serves to highlight two distinct forms of easy ontology, which, I argue, need to be distinguished when assessing the merits of the easy approach in future work.",,,10.1007/s10670-021-00432-7,0.0
177,C,"Peltomaa, I; Kiviniemi, M; Vare, J",Ecosystem and platform review for construction information sharing,Proceedings Paper,,OWL,"Emerging digitalization is radically changing industrial world. Disruptive technologies give companies great challenges, but also huge opportunities to develop their businesses. One perspective for gaining business benefit from digitalization wave is to utilize ecosystem-based thinking. This paper presents a development of an ecosystem and platform analysis for AEC/FM industry information sharing. The objective of this paper is to identify and classify existing information sharing ecosystems and platforms applicable to AEC/FM industry. Web of Building Data initiative is introduced as one of the construction industry approaches for information sharing. Presented work is a part of a project where the objective is to provide information sharing method and technology for AEC/FM industry. As a part of the project an information sharing platform on the basis of the Web of Building Data is developed. Ecosystem analysis is used as a base for conceptualize an open ecosystem to be formed around platform.",,2016.0,,
188,J,"Christie, S",Empson the Space Man: Literary Modernism Makes the Scalar Turn,Article,William Empson; spacetravel; scale; John Donne; cosmology,,"In my essay, I document how the literary modernist critic and poet, William Empson (1906-1984), modeled his theoretical positions in the decades following the Second World War upon precedents found in the English Renaissance poetry of John Donne. After 1955, Empson emerged as a leading skeptic of literary high modernism by means of the novel analogy argued in his essay, Donne the Space Man (1957): namely, that literary depictions of space in Donne's early poetry, athwart high Church doctrine, paralleled contemporary skepticism, in Empson's own time, about interpretive orthodoxies within Eliotic criticism and among the American New Critics. With its focus upon what he calls space travel, Empson's exegesis in Donne the Space Man (1957) pioneered what today one may call the scalar turn in literary modernist criticism. In Empson's case, a scalar criticism endorsed Donne's search for a more generous plurality of critical worlds and embraced cosmological scale irreducible to the more dogmatic worldview of Christian-inspired theorizations then prevailing. Re-reading the Donne the Space Man essay today - and when applying approaches inspired by the phenomenology of the contemporary built environment, object-oriented ontology, and unseen lifeworlds - allows for a more meaningful treatment of Empson's criticism in its historical context, and when using scale as an heuristic to broaden our understandings of cosmologies, near and far, vastly different from our own.",JAN 2,2017.0,10.1080/25723618.2017.1339506,0.0
190,C,"Parisi, F; Mangini, AM; Fanti, MP",Enabling Technologies for Smart Construction Engineering: a Review,Proceedings Paper,,IOT; BIM; ANALYTICS; FRAMEWORK; ONTOLOGY,"Data-driven knowledge extraction is becoming one the greatest source of information to study and manage complex systems. Today, new challenges can be provided thanks to Information and Communication Technologies and IoT paradigm that are allowing big mass of data to be stored, processed and analyzed. In this paper an insight on data driven knowledge extraction potentiality in the field of smart construction engineering is given. In particular, the main technologies for supporting the decision-management phase in Architecture, Engineering and Construction Industry (AEC Industry) are analysed. To this aim, such technologies are classified in four fields and the main contributions presented in the related literature are singled out and discussed. Finally, some examples of the current applications in the AEC industry are presented and the gap for future development in this field is enlightened.",,2020.0,,
183,J,"Galis, V",Enacting disability: how can science and technology studies inform disability studies?,Article,actor-network theory; postmodernism; body; materiality; social constructivism; medical model; social model; research in the wild; hybrid forums,PEOPLE,"This paper aims to discuss how science and technology studies (STS) can inform disability studies and challenge dominant approaches, such as the medical and the social models, in the ordering and representation of disability. Disability studies and STS have followed somewhat parallel paths in the history of ideas. From a positivist approach to their research objects to a strong social constructivism, both disciplines have moved to postmodern conceptualisations of science, technology and disability. In the same manner, this paper brings the conceptual vocabulary of actor-network theory (ANT) to the field of disability studies. ANT enables the ordering of disability as a simultaneous biological, material and semiotic phenomenon. The focus of the analysis shifts from merely defining disability as an impairment, handicap, or social construction (epistemology) to how disability is experienced and enacted in everyday practices, in policy-making, in the body, and in the built environment (ontology). This adoption of an ontological approach to disability allows the analysis to not only discuss how disability is done, but also to follow how disability groups and carriers of disability expertise and experience intervene in policy-making by developing 'research in the wild' and confronting scientific experts in different fora (ontological politics).",,2011.0,10.1080/09687599.2011.618737,0.0
