,Item Type,Author,Title,Publication Title,ISSN,DOI,Abstract Note,Date,Notes,Use in Thesis,Priority,Use for Thesis
38,journalArticle,"Sanchez, Benjamin; Rausch, Christopher; Haas, Carl; Saari, Rebecca",A selective disassembly multi-objective optimization approach for adaptive reuse of building components,"Resources, Conservation and Recycling",09213449,10.1016/j.resconrec.2019.104605,"Adaptive reuse of buildings plays a key role in the transition from a resource-based economy and towards a Circular Economy (CE) in the construction industry. Adaptive reuse has the potential to maximize the residual utility and value of existing assets through green design methods such as selective disassembly planning. Studies in the ﬁeld of selective disassembly are scarce and there is no evidence of established methodologies for the optimization of the environmental and ﬁnancial beneﬁts. A multi-objective analysis is key to obtaining several eﬀective selective disassembly plans for the adaptive reuse of an existing asset through the combination of diﬀerent deconstruction methods. The analysis is carried out in terms of the physical, environmental, and economic constraints of the deconstruction methods per building component. The Sequential Disassembly Planning for Buildings (SDPB) method is used in order to generate the optimized disassembly plans for retrieving target components. At the end, a weighted multi-objective optimization analysis is incorporated to generate the set of noninferior solutions that minimizes environmental impacts and building cost. The results show that diﬀerent complete disassembly plans exist for all the possible combinations. The possible combinations are driven by the deconstruction methods per component, as well as the dismantling interdependence. The method described in this study can be used to improve the project outcomes according to speciﬁc goals and constraints (e.g. environmental, economic, technical). The results of this study improve the decision-making process for adaptive reuse building projects by adding comprehensive quantitative analysis towards sustainable management and conservation of resources.",2020-03,,,2.0,"Look in Conclusion if information for disassembly and reuse present. Otherwise discard, since focus lies on disassembly optimization."
39,journalArticle,"Rakhshan, Kambiz; Morel, Jean-Claude; Daneshkhah, Alireza",A probabilistic predictive model for assessing the economic reusability of load-bearing building components: Developing a Circular Economy framework,Sustainable Production and Consumption,23525509,10.1016/j.spc.2021.01.031,"The reuse of load-bearing building components has the potential to promote the circular economy in the building sector. One recent aspect of the efforts to improve reuse rates in buildings is estimating the reusability of the structural elements. This study develops a probabilistic predictive model using advanced supervised machine learning methods to evaluate the economic reusability of the load-bearing building elements. The results of sensitivity analysis and visualization techniques used in this study reveal that the most important economic factor is the need to purchase reused elements early in a project, which could have cash flow implications. The other most important factors are the potential financial risks, the procurement process, and the labour cost. This study unveils that the relationship between variables is not linear, and none of the identified factors could alone determine if an element is reusable or not. This study concludes that the complex interdependencies of factors affecting reuse cause a high level of uncertainty about the feasibility of reusing the load-bearing building structural components from an economic aspect. Nonetheless, this paper reveals that by using the probability theory foundations and combining it with advanced supervised machine learning methods, it is possible to develop tools that could reliably estimate the economic reusability of these elements based on affecting variables. Therefore, the authors suggest utilizing the approach developed in this research to promote the circularity of materials in different subsectors of the construction industry.",2021-07,,,2.0,Reuse and Reuasability of Load-Bearing elements. Especially look at method and set of information used.
40,journalArticle,"Rakhshan, Kambiz; Morel, Jean-Claude; Daneshkhah, Alireza",Predicting the technical reusability of load-bearing building components: A probabilistic approach towards developing a Circular Economy framework,Journal of Building Engineering,23527102,10.1016/j.jobe.2021.102791,"The construction sector is the largest consumer of raw materials and accounts for 25%–40% of the total CO2 emissions globally. Besides, construction activities produce the highest amount of waste among all other sectors. According to the waste hierarchies, reuse is preferred to recycling; however, most of the recovery of construction and demolition wastes happens in the form of recycling and not reuse. Part of the recent efforts to promote the reuse rates includes estimating the reusability of the load-bearing building components to assist the stakeholders in making sound judgements of the reuse potentials at the end-of-life of a building and alleviate the uncertainties and perceived risks. This study aims to develop a probabilistic model using advanced supervised machine learning techniques (including random forest, K-Nearest Neighbours algorithm, Gaussian process, and support vector machine) to predict the reuse potential of structural elements at the end-of-life of a building. For this purpose, using an online questionnaire, this paper seeks the experts’ opinions with actual reuse experience in the building sector to assess the identified barriers by the authors in an earlier study. Furthermore, the results of the survey are used to develop an easy-to-understand learner for assessing the technical reusability of the structural elements at the end-of-life of a building. The results indicate that the most significant factors affecting the reuse of building structural components are design-related including, matching the design of the new building with the strength of the recovered element.",2021-10,,,2.0,Other approach to reusability of load bearing elements - set of information can be used
41,journalArticle,"Rakhshan, Kambiz; Morel, Jean-Claude; Alaka, Hafiz; Charef, Rabia",Components reuse in the building sector – A systematic review,Waste Management & Research: The Journal for a Sustainable Circular Economy,"0734-242X, 1096-3669",10.1177/0734242X20910463,"Widespread reuse of building components can promote the circularity of materials in the building sector. However, the reuse of building components is not yet a mainstream practise. Although there have been several studies on the factors affecting the reuse of building components, there is no single study that has tried to harmonize the circumstances affecting this intervention. Through a systematic literature review targeting peer-reviewed journal articles, this study intends to identify and stratify factors affecting the reuse of components of the superstructure of a building and eventually delineate correlations between these factors. Factors identified throughout this study are classified into six major categories and 23 sub-categories. Then the inter-dependencies between the barriers are studied by developing the correlation indices between the sub-categories. Results indicate that addressing the economic, social and regulatory barriers should be prioritized. Although the impact of barriers under perception, risk, compliance and market subcategories are very pronounced, the highest inter-dependency among the sub-categories is found between perception and risk. It suggests that the perception of the stakeholders about building components reuse is affected by the potential risks associated with this intervention.",2020-04,,,1.0,Reuse of load bearing elements - Barriers and factors explored (systematic literature review)
42,journalArticle,"Bertin, Ingrid; Feraille, Adélaïde; Laratte, Bertrand; Roy, Robert Le","Design for Reuse (DfReu) applied to buildings; anticipate disassembly for the End-of-Life (EoL), in order to preserve resources.",,,,"The construction and building industry is the principal emitter of GHG in France with 116 million tons of CO2 equivalent, i.e. 33% of total GHG, according to CITEPA, 2015; and the biggest consumer of material. These emissions have two distinct causes: energy consumption or functional energy (electricity, heating, ventilation, etc.) and energy used during its construction, known as embodied energy (production of materials, transport, site, etc.). The research work presented aims at setting up an infinite cycle of use of materials by their reuse and answering in particular to the problems of circular economy. Structural work and foundations represent the majority of the embodied energy of a building. The research effort is therefore focused on the structural elements.",,,,3.0,Look at conclusion. Reuse of building elements
43,journalArticle,"Kanters, Jouri",Design for Deconstruction in the Design Process: State of the Art,Buildings,2075-5309,10.3390/buildings8110150,"Stricter building regulations have resulted in the construction of buildings with a low energy use during the operation phase. It has now become increasingly important to also look at the embodied energy, because it might, over the lifespan of the building, equal the energy used for operating the building. One way to decrease the embodied energy is to reuse building materials and components or to prepare the building for deconstruction; a term called design for deconstruction (DfD). While design for deconstruction has showed environmental, social, and economic benefits, hardly any building designed and built today is designed for deconstruction. The aim of this literature review is to understand the state-of-art of design for deconstruction and how it affects the design process. In most of the literature, general construction principles are specified that promote the design for deconstruction and focus on (a) the overall building design, (b) materials and connections, (c) construction and deconstruction phase, and (d) communication, competence, and knowledge. Furthermore, the reuse potential of specific building materials is discussed, as well as the available tools for DfD. Additionally, the current barriers for DfD as specified by the literature show lack of competence, regulations, and other related elements.",2018-11-06,,,3.0,"Look at part ""reuse potential"" otherwise discard"
44,journalArticle,"Straub, Ad",Dutch standard for condition assessment of buildings,Structural Survey,0263-080X,10.1108/02630800910941665,"Purpose – This paper aims to provide insight into the use of a standard for condition assessment. Design/methodology/approach – The paper is based on a literature review, an analysis of the development, content and practical use of the Dutch Standard for Condition Assessment of Buildings, and the ﬁndings of several research projects about condition assessment and maintenance planning by Dutch housing associations.",2009-04-03,,,3.0,"standardization of condition assessment of buildings. Tbh - only use if still applicable in Thesis: e.g. look at this when ""standardizing"" in RDF or in the ontology (?)"
45,journalArticle,"Iacovidou, Eleni; Purnell, Phil","Mining the physical infrastructure: Opportunities, barriers and interventions in promoting structural components reuse",Science of The Total Environment,00489697,10.1016/j.scitotenv.2016.03.098,"Construction is the most resource intensive sector in the world. It consumes more than half of the total global resources; it is responsible for more than a third of the total global energy use and associated emissions; and generates the greatest and most voluminous waste stream globally. Reuse is considered to be a material and carbon saving practice highly recommended in the construction sector as it can address both waste and carbon emission regulatory targets. This practice offers the possibility to conserve resources through the reclamation of structural components and the carbon embedded in them, as well as opportunities for the development of new business models and the creation of environmental, economic, technical and social value. This paper focuses on the identiﬁcation and analysis of existing interventions that can promote the reuse of construction components, and outlines the barriers and opportunities arising from this practice as depicted from the global literature. The main conclusions that derive from this study are that the combination of incentives that promote reuse of construction components and recycling of the rest of the construction materials with the provision of specialised education, skills and training would transform the way construction sector currently operates and create opportunities for new business development. Moreover, a typology system developed based on the properties and lifetime of construction components is required in order to provide transparency and guidance in the way construction components are used and reused, in order to make them readily available to designers and contractors. Smart technologies carry the potential to aid the development and uptake of this system by enabling efﬁcient tracking, storage and archiving, while providing information relevant to the environmental and economic savings that can be regained, enabling also better decision-making during construction and deconstruction works. However, further research is required in order to investigate the opportunities and constraints of the use of these technologies.",2016-07,,,1.0,"Introduction - Reuse of structural building elements. Can help to link reuse, reusability and reuse of structural elements to Big Data (?)"
46,journalArticle,"Akanbi, Lukman A.; Oyedele, Lukumon O.; Omoteso, Kamil; Bilal, Muhammad; Akinade, Olugbenga O.; Ajayi, Anuoluwapo O.; Davila Delgado, Juan Manuel; Owolabi, Hakeem A.",Disassembly and deconstruction analytics system (D-DAS) for construction in a circular economy,Journal of Cleaner Production,09596526,10.1016/j.jclepro.2019.03.172,"Despite the relevance of building information modelling for simulating building performance at various life cycle stages, Its use for assessing the end-of-life impacts is not a common practice. Even though the global sustainability and circular economy agendas require that buildings must have minimal impact on the environment across the entire lifecycle. In this study therefore, a disassembly and deconstruction analytics system is developed to provide buildings’ end-of-life performance assessment from the design stage. The system architecture builds on the existing building information modelling capabilities in managing building design and construction process. The architecture is made up of four different layers namely (i) Data storage layer, (ii) Semantic layer, (iii) Analytics and functional models layer and (iv) Application layer. The four layers are logically connected to function as a single system. Three key functionalities of the disassembly and deconstruction analytics system namely (i) Building Whole Life Performance Analytics (ii) Building Element Deconstruction Analytics and (iii) Design for Deconstruction Advisor are implemented as plug-in in Revit 2017. Three scenarios of a case study building design were used to test and evaluate the performance of the system. The results show that building information modelling software capabilities can be extended to provide a platform for assessing the performance of building designs in respect of the circular economy principle of keeping the embodied energy of materials perpetually in an economy. The disassembly and deconstruction analytics system would ensure that buildings are designed with design for disassembly and deconstruction principles that guarantee efﬁcient materials recovery in mind. The disassembly and deconstruction analytics tool could also serve as a decision support platform that government and planners can use to evaluate the level of compliance of building designs to circular economy and sustainability requirements.",2019-06,,,3.0,"Look at Data storage layer. Otherwise discard, since the paper is more for newly built buildings"
47,journalArticle,"Akanbi, Lukman; Oyedele, Lukumon; Davila Delgado, Juan Manuel; Bilal, Muhammad; Akinade, Olugbenga; Ajayi, Anuoluwapo; Mohammed-Yakub, Naimah",Reusability analytics tool for end-of-life assessment of building materials in a circular economy,"World Journal of Science, Technology and Sustainable Development",2042-5945,10.1108/WJSTSD-05-2018-0041,"Purpose – In a circular economy, the goal is to keep materials values in the economy for as long as possible. For the construction industry to support the goal of the circular economy, there is the need for materials reuse. However, there is little or no information about the amount and quality of reusable materials obtainable when buildings are deconstructed. The purpose of this paper, therefore, is to develop a reusability analytics tool for assessing end-of-life status of building materials.",2019-01-07,,,1.0,Reusability - Tool and information
48,document,,Evaluating reuse potential Material profiles - re-use vision for project workflow,,,,No Abstract,,,,2.0,Reusability
49,document,,A guide for identifying the reuse potential of construction products,,,,No Abstract,2020,,,2.0,Reusability 
50,journalArticle,"Charef, Rabia; Emmitt, Stephen",Uses of building information modelling for overcoming barriers to a circular economy,Journal of Cleaner Production,09596526,10.1016/j.jclepro.2020.124854,"The current linear economy approach of the construction industry is partly responsible for the environmental impact of the sector. The urgent need to move towards a more circular approach is becoming a priority and concurrently the use of building information modelling (BIM) is now mandated in many countries. However, the use of BIM for the management of a building’ end-of-life is still quite rare. A literature review was conducted to explore the state of the art of BIM uses in the building industry, which included academic sources and non-academic studies. This was followed by 20 semi-structured interviews with experts in the ﬁeld of architecture and circular economy or BIM. The aim was to explore what would be the BIM uses that may help practitioners to adopt a circular economy approach. Analysis of the data identiﬁed 35 BIM uses that may foster the implementation of a circular economy approach. 28 of these were extracted from the literature, of which 19 were reported by the interviewees as having potential for helping with the management of the building’s end-of-life and recovered materials. Seven new BIM uses were identiﬁed from analysis of the interview data, which may provide guidance and support for the adoption of the circular economy approach.",2021-02,,,3.0,Overview BIM - literature review
51,journalArticle,"Akbarnezhad, A.; Ong, K.C.G.; Chandra, L.R.",Economic and environmental assessment of deconstruction strategies using building information modeling,Automation in Construction,09265805,10.1016/j.autcon.2013.10.017,"Choosing the most sustainable deconstruction strategy requires assessment of the effects of various contributing factors including prices and energy embodiment of the materials and components, the travelling distances, energy use and cost associated with the recycling processes, inﬂation rate, costs of designing the components for reuse-ability, costs of disassembly and re-assembly. Furthermore, a typical building comprises thousands of different components with various characteristics which may affect their reusability and recyclability. These lead to an enormous amount of information that needs to be stored and made available for analysis prior to and during the deconstruction stage. The present study proposes a framework for evaluating and comparing the effects of various alternative deconstruction strategies on cost, energy use and carbon footprint of construction using the information provided by a typical building information model. The results of a case study are presented to illustrate the potential applications of the proposed method.",2014-01,,,2.0,Look into conclusion - used for existing or new building?
52,journalArticle,"Akbarieh, Arghavan; Jayasinghe, Laddu Bhagya; Waldmann, Danièle; Teferle, Felix Norman",BIM-Based End-of-Lifecycle Decision Making and Digital Deconstruction: Literature Review,Sustainability,2071-1050,10.3390/su12072670,"This article is the second part of a two-part study, which explored the extent to which Building Information Modelling (BIM) is used for End-of-Lifecycle (EoL) scenario selection to minimise the Construction and Demolition Waste (CDW). The conventional literature review presented here is based on the conceptual landscape that was obtained from the bibliometric and scientometric analysis in the ﬁrst part of the study. Seven main academic research directions concerning the BIM-based EoL domain were found, including social and cultural factors, BIM-based Design for Deconstruction (DfD), BIM-based deconstruction, BIM-based EoL within LCA, BIM-aided waste management, Material and Component Banks (M/C Banks), oﬀ-site construction, interoperability and Industry Foundation Classes (IFC). The analysis highlights research gaps in the path of raw materials to reusable materials, i.e., from the deconstruction to M/C banks to DfD-based designs and then again to deconstruction. BIM-based EoL is suﬀering from a lack of a global framework. The existing solutions are based on local waste management policies and case-speciﬁc sustainability criteria selection. Another drawback of these ad hoc but well-developed BIM-based EoL prototypes is their use of speciﬁc proprietary BIM tools to support their framework. This disconnection between BIM tools and EoL tools is reportedly hindering the BIM-based EoL, while no IFC classes support the EoL phase information exchange.",2020-03-28,,,2.0,Look at Material and Components Banks - information stored? Link to BIM? Look at conclusion and add to list of Papers about BIM to read! 
53,journalArticle,"Jayasinghe, Laddu Bhagya; Waldmann, Daniele",Development of a BIM-Based Web Tool as a Material and Component Bank for a Sustainable Construction Industry,Sustainability,2071-1050,10.3390/su12051766,"The construction industry consumes an enormous amount of global resources and produces more waste than any other sector. The need to move toward sustainable development in construction requires signiﬁcant changes in construction and demolition (C&D) waste management. The estimation of waste, recycling materials and reusable components could be vital in waste management, achieving huge eﬃciency in the construction industry. Moreover, a typical building comprises of an extensive amount of materials and components with various characteristics. This study proposes a Building Information Modelling (BIM)-based system to allow the circular economy by storing information of the materials and components of buildings and by eﬀectively managing the recycling of materials and reuse of components. A tool which serves as a Material and Component (M&C) bank was developed with PHP and MYSQL by making use of a web browser able to extract the materials and component information of a building through the BIM model. This information is vital for several uses such as quantiﬁcation of C&D waste and assessing for the design for deconstruction. It can also be used to obtain the information of the reusable condition of the components and instructions for the reconstruction.",2020-02-27,,,1.0,"look at way of storing information (methodology), PHP and MySQL"
54,journalArticle,"Bertin, Ingrid; Mesnil, Romain; Jaeger, Jean-Marc; Feraille, Adélaïde; Le Roy, Robert",A BIM-Based Framework and Databank for Reusing Load-Bearing Structural Elements,Sustainability,2071-1050,10.3390/su12083147,"In a context of intense environmental pressure where the construction sector has the greatest impact on several indicators, the reuse of load-bearing elements is the most promising by avoiding the production of waste, preserving natural resources and reducing greenhouse gas emissions by decreasing embodied energy. This study proposes a methodology based on a chain of tools to enable structural engineers to anticipate future reuse. This methodology describes the design of reversible assemblies, the addition of complementary information in the building information modeling (BIM), reinforced traceability, and the development of a material bank. At the same time, controlling the environmental impacts of reuse is planned by carrying out a life cycle assessment (LCA) at all stages of the project. Two scenarios for reuse design are applied with the toolchain proposed. A. “design from a stock” scenario, which leads to 100% of elements being reused, using only elements from stock. B. “design with a stock” scenario, which seeks to integrate as many reused elements available in the stock as possible. The case study of a high-rise building deconstructed to rebuild a medium-rise building demonstrated that the developed toolchain allowed the inclusion of all reuse elements in a new structural calculation model.",2020-04-14,,,2.0,Integration of MP in BIM (?) - look at method and is it for new or existing buildings? 
55,journalArticle,"Xing, Ke; Kim, Ki Pyung; Ness, David",Cloud-BIM Enabled Cyber-Physical Data and Service Platforms for Building Component Reuse,Sustainability,2071-1050,10.3390/su122410329,"While the Circular Economy in the built environment is often viewed in terms of recycling, more value can be obtained from buildings and physical components by their reuse, aided by stewardship and remanufacture, to ensure optimum performance capability. The use of cyber-physical information for online identiﬁcation, examination and exchange of reusable components may improve their life-cycle management and circularity. To this end, a bi-directional data exchange system is established between physical building components and their virtual Building Information Modeling (BIM) counterparts, so that their life-cycle information—including history of ownership, maintenance record, technical speciﬁcations and physical condition—can be tracked, monitored and managed. The resultant prototype Cloud-based BIM platform is then adapted to support an ongoing product-service relationship between suppliers/providers and users/clients. A case study from a major new hospital, focusing upon an example of internal framed glazed systems, is presented for ”proof of concept” and to demonstrate the application of the proposed method. The result of the case study shows that, informed by the life-cycle data from the Cloud-BIM platform, a “lease with reuse” service option is able to deliver a lower total cost and less carbon intensity for each unit of frame-glazed module. This leads to a higher level of eco-eﬃciency, coupled with decreased consumption of material resources and reduced generation of waste. The research is expected to serve as a step forward in the era of Industry 4.0 and illuminate a more sophisticated way to manage building assets.",2020-12-10,,,2.0,Look at connection cloud based and which information are stored - does this correlate with the information needed for reusability and MPs?
56,journalArticle,"Sanchez, Benjamin; Rausch, Christopher; Haas, Carl; Hartmann, Timo",A framework for BIM-based disassembly models to support reuse of building components,"Resources, Conservation and Recycling",09213449,10.1016/j.resconrec.2021.105825,"Reuse of building components and materials is essential in order to reduce global building waste and resource depletion. Reuse can also improve residual utility for building components and materials. Selective disassembly enables such reuse. Implementation of selective disassembly planning for buildings requires accurate and correct analytical disassembly models for building archetypes, which can be provided using Building Information Modeling (BIM). However, appropriate level-of-detail (LoD) for the required BIM-based parametric disassembly models and a methodology for automatically extracting the corresponding parameters from a BIM are unknown. These knowledge gaps are addressed by developing such a methodology for the appropriate LoD. This study aims to describe and validate a methodology for determining parameters for BIM-based disassembly models to support the reuse of building components towards a circular economy in the construction industry. Taking building structures as an example, disassembly model principles for typical building parts are proposed. Then, a frame­ work of disassembly parametric models is determined and applied for BIM. Based on this framework, a method for automatically determining the necessary parameters is developed, and the critical attributes are suggested. Finally, the disassembly parameters of BIM elements are defined and demonstrated for four case studies in order to validate the consistency and effectiveness of this method. The results indicate useful disassembly models are properly produced within a reasonable amount of time.",2021-12,,,3.0,Look at conclusion.
57,journalArticle,"Sattler, Léa; Lamouri, Samir; Pellerin, Robert; Maigne, Thomas",Interoperability aims in Building Information Modeling exchanges: a literature review,IFAC-PapersOnLine,24058963,10.1016/j.ifacol.2019.11.180,"Lack of interoperability has been identified as an obstacle to collaboration in BIM (Building Information Modeling). This paper reviews the practical context in which interoperability issues are raised in the literature. More precisely, the following questions are addressed: what exactly is expected from a given BIM data exchange? What is interoperability needed for? This review shows that the strong need in interoperability between different AEC trades is being addressed in the literature: an integrative BIM approach is emerging. However, some gaps persist in more basic and fundamental usages, like checking and querying BIM data.",2019,,,3.0,Link to BIM from other sources?
58,conferencePaper,"Zhang, Hong-Chao; Kuo, Tsai",Graph-based approach to disassembly model for end-of-life product recycling,,,10.1109/IEMT.1996.559739,"Manufacturing industries are beginning to face one of the consequences resulting from the rapid development which has occurred during the last decade. The most evident effect is that landfill capacity is being used up. Therefore, a systematic approach to recycling is both urgent and imperative. It has been also recognized that appropriate disassembly of used products is necessary in order to make recycling economically and environmentally viable in the current state of the art reprocessing technology. This paper proposes a graph-based heuristic approach to the disassembly model. The model is embedded on a graph representation and object-oriented modeling, which is obtained by generating disassembly sequences. Information exchange within the disassembly model is done through three phases: (1) disassembly analysis, (2) database and data management, and (3) recycling cost minimization. With graph representation, the problem of identifying the optimal disassembly and recycling strategy is transformed into a graph search problem. By solving the graph search problem, one can determine the termination of disassembly, generate the disassembly sequence, calculate the disassembly cost, select recycling plans, monitor the material flow, and evaluate environmental compatibility of the product. In addition, this paper illustrates the prototype using personal computer disassembly as an example",1996-11-14,,,1.0,Look at database and data management
59,journalArticle,"Zhao, Qin; Li, Yuchao; Hei, Xinhong; Yang, Mingsong",A Graph-Based Method for IFC Data Merging,Advances in Civil Engineering,1687-8086,10.1155/2020/8782740,"Collaborative work in the construction industry has always been one of the problems solved by BIM (Building Information Modeling) technology. The integration of IFC (Industry Foundation Classes) data as a general building information standard is one of the indispensable functions in collaborative work. The most practical approach of merging IFC data depends on GUID (Global Universal Identifier) comparison at present. However, GUID is not stable in current applications and often changes when exported. The intact representation of relationships between IFC entities is an essential prerequisite for proper association of IFC entities in IFC mergence. This paper proposes a graph-based method for IFC data merging. The IFC data are represented as a graphical data structure, which completely preserves the relationship between IFC entities. IFC mergence is accomplished by associating other data with an isomorphic graph that is obtained by mining the IFC graph. The feasibility of the method is proven by a program, and the method can ignore the impacts of GUID and other factors.",2020-07-26,,,3.0,Look at conclusion. Pro for using GraphBased DB? 
60,journalArticle,"Volk, Rebekka; Stengel, Julian; Schultmann, Frank",Building Information Modeling (BIM) for existing buildings — Literature review and future needs,Automation in Construction,09265805,10.1016/j.autcon.2013.10.023,"While BIM processes are established for new buildings, the majority of existing buildings is not maintained, refurbished or deconstructed with BIM yet. Promising beneﬁts of efﬁcient resource management motivate research to overcome uncertainties of building condition and deﬁcient documentation prevalent in existing buildings.",2014-03,,,3.0,BIM for existing buildings - look at conclusion otherwise discard
61,thesis,"Nahar, Ahmed",Applying graph theory concepts for analyzing BIM models based on IFC standards,,,,"Labeled property graph models are a suitable way for representing and describing the vast amount of information inside Building Information Models (BIMs). Where graph models can be automatically generated based on data extracted from Industry Foundation Classes (IFC) models. The aim of this master thesis is to study the potential of using graph databases and the concepts of graph theory to manage, visualize and analyze the information inside BIMs. This can be done through for example through applying data retrieval queries, applying pathfinding algorithms and analyzing the complex relationships between the BIM model entities. The IFC data model is used in the present study to build the graph database; therefore, a brief background on IFC data schema architecture is presented to build-up basic understanding on how IFC models are encoded. This is followed by an introduction to graph theory concepts and graph databases, with the aim to investigate the capabilities of graph models in representing complex and rich datasets such as BIM models. The research proposes a generic approach to create two kinds of graph models: (1) IFC Meta Graph (IMG) model based on the IFC EXPRESS schema and (2) IFC Objects Graph (IOG) model based on STEP physical file format. The IFC EXPRESS schema is used as data source to generate the IMG model to graphically represent the IFC classes and the relationships. The IMG model expresses the classes and their attributes as nodes, and the relationships between them as edges. While, the IFC objects model files are used to build the IOG models, where IFC data are extracted through an IFC data model server and then imported into graph database management system (www.neo4j.com). In both cases of graph modeling, there is a need for a third-party system to enable the data transmission process from the IFC schema/models to Neo4j database. Therefore, the IFC data model server www.ifcwebserver.org has been used to generate the graph query statements scripts and extract the IFC data in form of comma-separated values (CSV) data files for exportation into the Neo4j graph database. This is following by application of graph queries and filters to visualize and analyze building information and to explore the capabilities of graph database in answering realistic questions in building projects particularly. And secondly, to provide a tool for a comparison study of different IFC standard releases or different IFC model versions, when a single graph database is used to storage various IFC models. Finally, the graph model is used for indoor navigation applications in buildings using spatial and geometric information extracted from the IFC model.",2017,,,1.0,Understanding of IFC and Graph-Databases / Graph-Theory. Also look at 'using spatial and geographical information' - how to locate objects in buildings
62,journalArticle,"Honic, Meliha; Kovacic, Iva; Aschenbrenner, Philipp; Ragossnig, Arne",Material Passports for the end-of-life stage of buildings: Challenges and potentials,Journal of Cleaner Production,09596526,10.1016/j.jclepro.2021.128702,"Concerns about the increasing global consumption of non-renewable resources as well as shortages of primary raw materials and reduction of space available for final disposal of waste are raising important issues for the society. Additionally, the unsustainable treatment of resources belongs to the main concerns of the EU, resulting in the development of strategies for maximizing recycling rates in order to minimize environmental impacts and energy consumption caused by extraction of primary materials.",2021-10,,,3.0,"Look at conclusion, otherwise discard"
63,book,"Heinrich, Matthias; Lang, Werner",Materials passports - best practice,,,,No Abstract,2019,,,3.0,tbd
64,journalArticle,"Luscuere, Lars; Zanatta, Rafaela; Mulhall, Douglas; Boström, Jan; Elfström, Lisa",Report development: EPEA Nederland BV and SundaHus i Linköping AB,,,,No Abstract,2020,,,2.0,tbd
65,journalArticle,"Ostermeyer, York; Nägeli, Claudio; Heeren, Niko; Wallbaum, Holger",Building Inventory and Refurbishment Scenario Database Development for Switzerland: Building Inventory and Refurbishment Database,Journal of Industrial Ecology,10881980,10.1111/jiec.12616,No Abstract,2018-08,,,2.0,tbd
66,journalArticle,"Luscuere, Lars Marten",Materials Passports: Optimising value recovery from materials,Proceedings of the Institution of Civil Engineers - Waste and Resource Management,"1747-6526, 1747-6534",10.1680/jwarm.16.00016,"To understand the circular value potential of materials, products and systems, one requires a reliable set of information. Materials Passports aim to provide this information. This paper explores the need for passports as well as their goals and functions. The types of information a Materials Passports should be able to contain are discussed, and how they relate to existing tools in the marketplace. The focus of Materials Passports on putting the Circular Economy into practice by value creation through recovery and how this encourages innovation is described.",2017-02,,,3.0,"Overview MPs, look at conclusion, otherwise discard"
67,conferencePaper,"Kedir, Firehiwot; Bucher, David F.; Hall, Daniel M.",A Proposed Material Passport Ontology to Enable Circularity for Industrialized Construction,,,10.35490/EC3.2021.159,"There is a need to collect, store, and share product data to enable circularity in industrialized construction supply chains. To do this, the concept of a Material Passport (MP) has been proposed, but exactly how MPs should be created and managed is less understood, especially in consideration of industrialized construction product platforms. This paper proposes a knowledge and process representation framework called the Material Passport Ontology (MPO). The MPO outlines key components of MPs and their interrelationships. Finally, the paper discusses several implementation challenges and possibilities.",2021-07-26,,,2.0,Ontologies and Material Passports
68,journalArticle,"Luscuere, Lars","Materials Passports: Providing Insights in the Circularity of Materials, Products and Systems - Lars Luscuere",,,,No Abstract,2016,,,2.0,tbd
69,document,,Orms - Material Passports,,,,No Abstract,,,,2.0,tbd
70,document,,MP_Madaster.pdf,,,,No Abstract,,,,2.0,tbd
71,document,,Product Circularity Data Sheet (PCDS),,,,Circularity Dataset Standardization – An initiative of the Ministry of the Economy of Luxembourg,,,,2.0,tbd
