,Authors,Article Title,Document Type,Author Keywords,Abstract,DOI,DOI Link
97,"Mustafa, MH; Ali, M; Ismail, KM; Hashim, KSHY; Suhaimi, MSM",BIM Backed Decision Support System in the Management of Heritage Building,Article,,"Historical buildings are always at risk to great danger strike by fire, flood and other potential disasters affecting the building conditions. Thus positive and continuous actions need to be taken to preserve the heritage buildings or else a country might lose its cultural heritage value. In managing historic buildings, managers are often faced with complex decision-making process due to limited or unavailability of reliable information. The absence of such information influenced the way decision making and problem-solving made by the managers. This paper aims to highlight the potentials of Building Information Modelling (BIM) as a decision support system for cultural heritage management. An embedded case study was conducted on Istana Balai Besar Kota Bharu, focusing on the changes of the historical building's layout to demonstrate the ontology. A measured drawing dated back in 1976 was used together with the terrestrial laser scanning activity performed presently on the physical building in creating a model in BIM environment. The result gives an overview about tracking information on changes within a historical building as part of cultural heritage management. This paper finds that by modelling the data captured by the 3D laser scanner and utilizing the existing data, BIM is capable of helping managers to retrieve, analyze and store important information in a more efficient and productive process. This exploration is substantial as a precursor to a much broader study on BIM for cultural heritage in the Malaysian context. As BIM is set to drive the construction industry, the finding made would be a catalyst for creating awareness to support the development of BIM for cultural heritage management in Malaysia. (C) 2019 Penerbit UTM Press. All rights reserved",10.11113/ijbes.v6.n2.357,0.0
87,"Collinge, WH; Farghaly, K; Mosleh, MH; Manu, P; Cheung, CM; Osorio-Sandoval, CA",BIM-based construction safety risk library,Article,,"This paper presents a digital tool and Safety Risk library to assist designers in their health and safety work in BIM digital environments. Addressing an industry need for improved knowledge sharing and collaboration, the BIM Safety Risk library tool aligns with a Prevention through Design (PtD) approach that links safety risks to treatments via different risk scenarios. Motivated by continuing sub-optimal health and safety management processes, the research employs a conceptual framework rooted in construction guidance: structuring data via a 7-stage ontology to improve designer knowledge of issues and give access to an expanding safety knowledge base (the BIM Safety Risk Library). The tool facilitates tacit and explicit knowledge sharing in visual environments, enabling the construction industry to benefit from their health and safety data while providing an interactive learning tool for designers. The structuring of data also opens up possibilities for other digital advances (e.g. via automatic rule checking).",10.1016/j.autcon.2022.104391,0.0
168,"Farghaly, K; Abanda, FH; Vidalakis, C; Wood, G",BIM-linked data integration for asset management,Article,,"Purpose The purpose of this paper is to investigate the transfer of information from the building information modelling (BIM) models to either conventional or advanced asset management platforms using Linked Data. To achieve this aim, a process for generating Linked Data in the asset management context and its integration with BIM data is presented. Design/methodology/approach The research design employs a participatory action research (PAR) approach. The PAR approach utilized two qualitative data collection methods, namely; focus group and interviews to identify and evaluate the required standards for the mapping of different domains. Also prototyping which is an approach of Software Development Methodology is utilized to develop the ontologies and Linked Data. Findings The proposed process offers a comprehensive description of the required standards and classifications in construction domain, related vocabularies and object-oriented links to ensure the effective data integration between different domains. Also the proposed process demonstrates the different stages, tools, best practices and guidelines to develop Linked Data, armed with a comprehensive use case Linked Data generation about building assets that consume energy. Originality/value The Linked Data generation and publications in the domain of AECO is still in its infancy and it also needs methodological guidelines to support its evolution towards maturity in its processes and applications. This research concentrates on the Linked Data applications with BIM to link across domains where few studies have been conducted.",10.1108/BEPAM-11-2018-0136,0.0
166,"Zhang, C; Beetz, J; de Vries, B",BimSPARQL: Domain-specific functional SPARQL extensions for querying RDF building data,Article,,"In this paper, we propose to extend SPARQL functions for querying Industry Foundation Classes (IFC) building data. The official IFC documentation and BIM requirement checking use cases are used to drive the development of the proposed functionality. By extending these functions, we aim to (1) simplify writing queries and (2) retrieve useful information implied in 3D geometry data according to requirement checking use cases. Extended functions are modelled as RDF vocabularies and classified into groups for further extensions. We combine declarative rules with procedural programming to implement extended functions. Realistic requirement checking scenarios are used to evaluate and demonstrate the effectiveness of this approach and indicate query performance. Compared with query techniques developed in the conventional Building Information Modeling domain, we show the added value of such approach by providing an application example of querying building and regulatory data, where spatial and logic reasoning can be applied and data from multiple sources are required. Based on the implementation and evaluation work, we discuss the advantages and applicability of this approach, current issues and future challenges.",10.3233/SW-180297,0.0
50,"Azizkhani, M",Biomimicry versus machinery: the notion of functionality in design,Proceedings Paper,,"The range and diversity of approaches in the design of the built environment have reached a productive disarray at the beginning of the twenty-first century. Among these approaches, technology and biomimicry seem to be two pivotal notions. Assessing the technology-based and biomimetic architectural designs reveals the limitations of both notions in producing designed and built structures that fulfil the users and designers' functional demands. Such an argument is undergirded by our perception of the term 'function' in regards to 'biomimicry' and 'technology' as historical and philosophical themes. In this paper, I will first evaluate the process and products of biomimetic and technology-based architectures on their theoretical and historical grounds in response to the functional demands of users and designers. Second, within the framework of the Actor Network Theory (ANT) and in connection to the object-oriented ontology, I will examine the functionality of biomimetic and technological design approaches.",,
43,"Wagner, A; Sprenger, W; Maurer, C; Kuhn, TE; Ruppel, U",Building product ontology: Core ontology for Linked Building Product Data,Article,,"The digitalisation of the Architecture, Engineering and Construction domain introduced new methods for digital collaboration, i.e. Building Information Modelling (BIM). While this method focuses on building data, the dis-tribution of digital product models is still problematic, complicating uniform product searches and automated product data processing. Existing schemas, such as a subpart of the Industry Foundation Classes or the German VDI 3805, rely on rigid or template-driven schemas, that do not support the description of innovative or multi-functional products or impose a large schema overhead and complexity on manufacturers. Therefore, this article combines flexible and modular product descriptions with Semantic Web technologies and Linked Data. By applying Web-based technologies, the searchability of product data and the applicability of distributed data are expected to be enhanced. More precisely, this article proposes a concept for Linked Building Product Data and introduces the generic Building Product Ontology as a potential core schema of the concept. To demonstrate the feasibility of Linked Building Product Data and the Building Product Ontology, the authors apply both the concept and the data schema to innovative and multi-functional example products that cannot be described with the existing ap-proaches for product descriptions. The evaluation demonstrates the flexibility, modularity and overall suitability of the presented concepts, meeting all collected requirements for digital product descriptions. Hence, Linked Building Product Data may solve existing issues with rigid product description schemas. At the same time, this approach complements the current research trend of Linked Building Data.",10.1016/j.autcon.2021.103927,0.0
0,"Sauter, EM; Lemmens, RLG; Pauwels, P",CEO & CAMO ontologies: A circulation medium for materials in the construction industry,Proceedings Paper,,"This paper evaluates the potential of semantic technologies to facilitate building material circulation in the construction industry within the Circular Economy (CE) context. It suggests building material passports as a data source for the materials to be circulated and then integrates them by means of Linked Data. A common language is proposed to combine and re-use the material data in the CE with the creation of two ontologies: Circular Exchange Ontology (CEO) and the Circular Materials and Activities Ontology (CAMO). The ontologies annotate materials under a CE classification scheme and describe the elements required for material exchange to occur: actors, the activities they perform and the referents of these activities (resources, products, tools and waste). An evaluation of the ontologies is made by means of use case-driven SPARQL queries. Further, a wide-scale evaluation addresses how a decentralized data ecosystem can enable users to publish information and dynamically interact with different repositories to exchange materials. Results indicate that these ontologies can foster a circulation medium between diverse construction industry resources. Future work contemplates validation of both ontologies in a real-world-setting with computer scientists and companies in the construction sector in the Benelux area.",,
150,"Celiker, A; Cavusoglu, BT; Ongul, Z",COMPARATIVE STUDY OF COURTYARD HOUSING USING FENG SHUI,Article,,"Cosmology is of essence for the life of traditional man not only to live in a meaningful universe, but to bound himself with the universe to achieve well-being as well. Architecture is a way of creating spaces through generic forms and symbols to attain this unity of man and the universe. This article interprets the courtyard house which is a well known archetype of spiritual and celestial qualities and has symbolic generic forms through the perspective of theory and practice of feng shui which is an ancient Chinese philosophy, based on the understanding of physical configuration of geographical settings and application of its principles to the built environment. The courtyard houses represented for this article are chosen on a linear axis starting from Cyprus, passing through Syria, Iraq, Iran, Afghanistan, Pakistan, India, and ending at China. In this article, principles of feng shui are selected and formulated to create an evaluation model showing entrance-courtyard relation, building shape, water element, room arrangement, and door alignment and circulation. Based on this evaluation model, the essential aspects of well-being have been revealed through the elements of architecture. In that sense, this article presents the opportunities and possibilies of an ideal plan layout by bringing an awareness to the cosmology and feng shui to achieve well-being.",,
121,"Farghaly, K; Soman, RK; Collinge, W; Mosleh, MH; Manu, P; Cheung, CM",CONSTRUCTION SAFETY ONTOLOGY DEVELOPMENT AND ALIGNMENT WITH INDUSTRY FOUNDATION CLASSES (IFC),Article,,"A pronounced gap often exists between expected and actual safety performance in the construction industry. The multifaceted causes of this performance gap are resulting from the misalignment between design assumptions and actual construction processes that take place on-site. In general, critical factors are rooted in the lack of interoperability around the building and work-environment information due to its heterogeneous nature. To overcome the interoperability challenge in safety management, this paper represents the development of an ontological model consisting of terms and relationships between these terms, creating a conceptual information model for construction safety management and linking that ontology to IfcOWL. The developed ontology, named Safety and Health Exchange (SHE), comprises eight concepts and their relationships required to identify and manage safety risks in the design and planning stages. The main concepts of the developed ontology are identified based on reviewing accident cases from 165 Reporting of Injuries, Diseases and Dangerous Occurrences Regulations (RIDDOR) and 31 Press Releases from the database of the Health and Safety Executive (HSE) in the United Kingdom. Consequently, a semantic mapping between the developed ontology and IfcOWL (the most popular ontology and schema for interoperability in the AEC sector) is proposed. Then several SPARQL queries were developed and implemented to evaluate the semantic consistency of the developed ontology and the cross-mapping. The proposed ontology and cross-mapping gained recognition for its innovation in utilising OpenBIM and won the BuildingSMART professional research award 2020. This work could facilitate developing a knowledge-based system in the BIM environment to assist designers in addressing health and safety issues during the design and planning phases in the construction sector.",10.36680/j.itcon.2022.005,0.0
155,"Pupeikis, D; Navickas, AA; Klumbyte, E; Seduikyte, L",Comparative Study of Construction Information Classification Systems: CCI versus Uniclass 2015,Article,,"By classifying BIM data, the intention is to enable different construction actors to find the data they need using software and machines. The importance of classification is growing as building projects become more international, generating more data that rely on automated processes, which help in making better decisions and operating devices. Different classification systems have been developed around the world. Each national construction information classification system (NCICS) aims to classify information on the built environment and thus meet national needs and ensure compliance with the principles of regional and international building information systems. The research purpose of this paper is to present a comparative assessment of two construction information classification systems, CCI and Uniclass 2015. The following methods were used: the expert assessment of NCICS alternatives; the assessment of NCICS alternatives; and a strengths, weaknesses, opportunities, and threats (SWOT) analysis of NCICS alternatives. We concluded that in the initial phase of NCICS development, CCI ontologies should be adopted as a base consisting of construction entities, spaces, and elements, with the gradual addition of complexes of buildings and infrastructure, along with roles and phases of the building life cycle (BLC). An explanatory NCICS development note should be drawn outlining the principles of classification and identification; the ontological structure; development and updating possibilities; methods of integrating existing national and international classification systems; and methods of integrating data of construction products, time, cost, or other individual characteristics.",10.3390/buildings12050656,0.0
80,"Lim, J; Jung, DG; Park, C; Kim, DY",Computer Vision Process Development regarding Worker's Safety Harness and Hook to Prevent Fall Accidents: Focused on System Scaffolds in South Korea,Article,,"In South Korea, industrial accidents continue to increase in frequency, with construction accidents accounting for more than a third of all industrial accidents. Specifically, by preventing fall accidents, the death rate from accidents can be reduced by 50%. Fall protection is required to prevent fall accidents, and investigating the reinforcement of the worker's safety harness and hook fastening becomes imperative. This requires automation of computer vision confirmation of the safety harness and hook fastening. As the accident risk can be reduced by an effective safety culture in the system, it is necessary to monitor safety on site through a construction safety automation system. Therefore, the objective of this study is to develop a computer vision process for safety harness and hook for preventing fall accidents in South Korea's construction industry. This study focuses on system scaffolds that are widely used at construction sites. The application of this methodology to sample sites and field cases established its applicability. The proposed computer vision application methodology will serve as the foundation for visualization research in the construction industry, and image recognition will help reduce the safety accident rate. Accidents caused by failure to use a safety harness and hook can be reduced in South Korea as well as globally. Additionally, this methodology is applicable to roof construction, tower crane installation and dismantling work, as well as steel tower installation and dismantling.",10.1155/2022/4678479,0.0
7,"Grzybek, H; Xu, S; Gulliver, S; Fillingham, V",Considering the Feasibility of Semantic Model Design in the Built-Environment,Article,,"Building Information Modeling (BIM) is the process of structuring, capturing, creating, and managing a digital representation of physical and/or functional characteristics of a built space [1]. Current BIM has limited ability to represent dynamic semantics, social information, often failing to consider building activity, behavior and context; thus limiting integration with intelligent, built-environment management systems. Research, such as the development of Semantic Exchange Modules, and/or the linking of IFC with semantic web structures, demonstrates the need for building models to better support complex semantic functionality. To implement model semantics effectively, however, it is critical that model designers consider semantic information constructs. This paper discusses semantic models with relation to determining the most suitable information structure. We demonstrate how semantic rigidity can lead to significant long-term problems that can contribute to model failure. A sufficiently detailed feasibility study is advised to maximize the value from the semantic model. In addition we propose a set of questions, to be used during a model's feasibility study, and guidelines to help assess the most suitable method for managing semantics in a built environment.",10.3390/buildings4040849,0.0
65,"Kjaergaard, MB; Ardakanian, O; Carlucci, S; Dong, B; Firth, SK; Gao, N; Huebner, GM; Mahdavi, A; Rahaman, MS; Salim, FD; Sangogboye, FC; Schwee, JH; Wolosiuk, D; Zhu, YM",Current practices and infrastructure for open data based research on occupant-centric design and operation of buildings,Article,,"Many new tools for improving the design and operation of buildings try to realize the potential of big data. In particular, data is an important element for occupant-centric design and operation as occupants' presence and actions are affected by a high degree of uncertainty and, hence, are hard to model in general. For such research, data handling is an important challenge, and following an open science paradigm based on open data can increase efficiency and transparency of scientific work. This article reviews current practices and infrastructure for open data-driven research on occupant-centric design and operation of buildings. In particular, it covers related work on open data in general and for the built environment in particular, presents survey results for existing scientific practices, reviews technical solutions for handling data and metadata, discusses ethics and privacy protection and analyses principles for the sharing of open data. In summary, this study establishes the status quo and presents an outlook on future work for methods and infrastructures to support the open data community within the built environment.",10.1016/j.buildenv.2020.106848,0.0
55,"Tserng, HP; Chang, CH",Developing a project knowledge management framework for tunnel construction: lessons learned in Taiwan,Article,,"Knowledge, particularly in the form of experience, can provide a competitive advantage in the construction industry. Knowledge organization (KO) systems developed in the library, information, and computer sciences are excellent for delivering knowledge services. However, it is difficult for these systems to judge how suitable (not just relevant) any of the retrieved knowledge will be in practice. This study puts forward a directional experience ontology (DExOntology) framework, which makes use of KO characteristics to set up problem-topic ontology, but augments the retrieved knowledge documents (KwDocs) in the knowledge bank with additional orientation from weighted attributes determined by domain experts, thus bridging the gap between existing KO systems and practical requirements. The goal is a mechanism that delivers knowledge, especially in the domain of practical experience, more efficiently and effectively than simple information retrieval searches. The study finds that the DExOntology framework significantly improves both the relevancy and suitability of the retrieved knowledge, making it a more useful system for construction industry practitioners to use in the field.",10.1139/L07-116,0.0
76,"Soares, AL; Simoes, D; Silva, M; Madureira, R",Developing enterprise sponsored virtual communities: The case of a SME's knowledge community,Proceedings Paper,,"This paper presents a case in the development of a knowledge community support system in the context of an industrial association group in the construction sector. This system is a result of the Know-Construct project which aims at providing association sponsored SME communities of the construction sector with a sophisticated information management platform and community building tools for knowledge sharing. The paper begins by characterizing the so-called construction industry knowledge community. The Know-Construct system concept and the its general architecture are described, focusing on the semantic resources, in particular the ontologies structure. The final part of the paper depicts the approach to the actual introduction of the system in the community. An action-research approach was planned to obtain research results regarding the social acceptance of semantic resources such as the ontologies and technical classifications used in system.",,
163,"Fang, Y; Li, JZ; Fang, Y; Lan, TR; Shi, XY",Development of Quality Management System of Construction Engineering Testing Laboratory Based on Ontology,Proceedings Paper,,"In developing the testing business of construction engineering testing institutions, strict laboratory management is needed first. Currently, because of the research of China's construction engineering testing quality management system or platform, there is a few refine management which is specific to the whole process of testing laboratories, and many problems often occur, such as chaotic measuring management of instruments and equipment, mismanaged consumables and dangerous chemicals, and so forth. To improve the quality of construction engineering laboratory testing, this paper provides an information management system to improve energy efficiency. The systematic research is based on ontology theory, and the purpose is to turn the theory into practice, complement, and refine the laboratory management system in the field of construction engineering testing, and provide a reference for its development direction. This system would give tangible benefits to the testing institutions, which can get them from the quality management information system.",,
165,"El Mokhtari, K; Panushev, I; McArthur, JJ",Development of a Cognitive Digital Twin for Building Management and Operations,Article,,"Cognitive Digital Twins (CDTs) are defined as capable of achieving some elements of cognition, notably memory (encoding and retrieval), perception (creating useful data representations), and reasoning (outlier and event detection). This paper presents the development of a CDT, populated by construction information, facility management data, and data streamed from the Building Automation System (BAS). Advanced machine learning was enabled by access to both real-time and historical data coupled with scalable cloud-based computational resources. Streaming data to the cloud has been implemented in existing architectures; to address security concerns from exposing building equipment to undesirable access, a secure streaming architecture from BACnet equipment to our research cloud is presented. Real-time data is uploaded to a high-performance scalable time-series database, while the ontology is stored on a relational database. Both data sources are integrated with Building Information Models (BIM) to aggregate, explore, and visualize information on demand. This paper presents a case study of a Digital Twin (DT) of an academic building where various capabilities of CDTs are demonstrated through a series of proof-of-concept examples. Drawing from our experience enhancing this implementation with elements of cognition, we present a development framework and reference architecture to guide future whole-building CDT research.",10.3389/fbuil.2022.856873,0.0
157,"Serror, MH; Inoue, J; Hori, M; Fujino, Y",Distributed object-based software environment for urban system integrated simulation under urban-scale hazard - Part I: Infrastructure,Article,,"In this paper, a distributed object-based software environment (DOSE) has been developed to facilitate the integrated simulation of an urban system under the risk of urban-scale hazards such as earthquakes. It is understood that individual simulation participants perform their simulation services in separate environments, bartering service exchange relationships to get what they need to resolve their part of the problem. This is the communication gap between the scientists on one side and the end users who need to understand knowledge and employ it on the other side. The authors envision a distributed simulation service software environment running in parallel with the activities of simulation participants. DOSE has lent itself to integrate interdisciplinary participants through an infrastructure that has three basic building blocks, namely: modularity, scalability, and interoperability. The modular, object-based, design of DOSE architecture is described in terms of key functionalities of four distinct layers, namely: resource, core, domain, and interface layers. DOSE scalability in terms of urban system size and participant third-party application complexity is enabled through the interface layer. A message passing model is developed using the Message Passing Interface standard and a control room is provided to schedule the interaction /communication among model processes. DOSE interoperability with the vulnerability analysis third-party applications is enabled through the Industry Foundation Classes (IFC) standard. An adopted analogy between DOSE and construction industry is employed to provide interpretation and implementation for DOSE interoperability. While interfacing lFC object model to solve DOSE interoperability questions, an extension model for the structural view of IFC is proposed and accepted by the International Alliance for Interoperability. The DOSE application for real-world urban systems is beyond the scope of this paper and is presented in an accompanying paper work. Copyright (c) 2007 John Wiley & Sons, Ltd.",10.1002/eqe.706,0.0
34,"Bonino, D; De Russis, L",DogOnt as a viable seed for semantic modeling of AEC/FM,Article,,"Energy consumption and performance assessment of Smart Cities must consider different levels and various subdomains. A comprehensive energy profile of a city, in fact, should work at the city, district, and building levels. At the same time and for each level, it should take into account both electrical and thermal consumptions, and gather these information from a plethora of different sensors and from various stakeholders (i.e., citizens, utilities, policy makers, and energy providers). Current modeling approaches for this context address each level and domain separately, thus preventing a structured and comprehensive approach to a unified energy representation. Moreover, current approaches make it difficult to keep the consistency between the energetic data through levels, sub-domains, and across stakeholders. Starting from an analysis of ontologies at the state-of-the-art, this paper shows how DogOnt can be used as a foundation towards a shared and unified model for such a context. DogOnt was firstly developed in 2008 and withstands over 8 years of usage without major failures and shortcomings. We discuss successful design choices and adaptations, which kept the model up-to-date and increasingly adopted in such a mid-term time frame for energy representation in Smart Cities.",10.3233/SW-180295,0.0
47,"El-Gohary, NM; El-Diraby, TE",Domain Ontology for Processes in Infrastructure and Construction,Article,,"With the increasing demands for domain-wide integrated construction and infrastructure development, there is a need for developing a domain ontology to build a knowledge model that describes the multistakeholder project development process. This paper presents a domain ontology for supporting knowledge-enabled process management and coordination across various stakeholders, disciplines, and projects. The ontological model is composed of concepts, relations, and axioms. Concepts represent the things in the domain of interest; relations establish the interconcept links; and axioms specify the definitions of concepts and relations and constraints on their behavior and interpretation. The ontology models the most fundamental concepts in the domain in a structured, extendable, and flexible format to facilitate future evolution and extension of the ontology for representing application-specific and/or enterprise-specific knowledge. The ontology was evaluated through technical evaluation and user evaluation. User evaluation was conducted through one-to-one expert evaluation interviews.",10.1061/(ASCE)CO.1943-7862.0000178,0.0
111,"El-Diraby, TA; Lima, C; Feis, B",Domain taxonomy for construction concepts: Toward a formal ontology for construction knowledge,Article,,"With the advancement of the semantic web, the construction industry is at a stage where intelligent knowledge management systems can be used. Such systems support more effective collaboration, where virtual teams of skilled users, not software, exchange ideas, decisions, and best practice. To achieve that, there is a need to create consistent semantic representation of construction knowledge. Existing representations, in the form of classification systems and product data models, lack effective modeling of concept semantics-a fundamental requirement for human-based exchange of knowledge. Toward this objective, this paper presents a domain taxonomy that was developed as part of the e-COGNOS project. The taxonomy was developed as a first step in the establishment of domain ontology for construction. The taxonomy was developed to be process-centered and to allow for utilization of already existing classification systems (BS6100, Master Format, and UniClass, for example). The taxonomy uses seven major domains to classify construction concepts: Process, Product, Project, Actor, Resource, Technical Topics, and Systems. The taxonomy was developed and validated through extensive interaction with domain experts. The taxonomy was used to develop a prototype ontology for the construction domain including semantic relationships and axioms. The ontology was used to support several applications in semantic knowledge management as part of the e-COGNOS portal, including semantic indexing and retrieval of information and ontology-based collaborative project development.",10.1061/(ASCE)0887-3801(2005)19:4(394),0.0
11,"Pauwels, P; Terkaj, W",EXPRESS to OWL for construction industry: Towards a recommendable and usable ifcOWL ontology,Article,,"An increasing number of information management and information exchange applications in construction industry is relying on semantic web technologies or tools from the Linked Open Data (LOD) domain to support data interoperability, flexible data exchange, distributed data management and the development of reusable tools. These goals tend to be overlapped with the purposes of the Industry Foundation Classes (IFC), which is a standard for the construction industry defined through an EXPRESS schema. A connecting point between semantic web technologies and the IFC standard would be represented by an agreed Web Ontology Language (OWL) ontology for IFC (termed ifcOWL) that allows to (1) keep on using the well-established IFC standard for representing construction data, (2) exploit the enablers of semantic web technologies in terms of data distribution, extensibility of the data model, querying, and reasoning, and (3) re-use general purpose software implementations for data storage, consistency checking and knowledge inference. Therefore, in this paper we will look into existing efforts in obtaining an ifcOWL ontology from the EXPRESS schemas of IFC and analyse which features would be required in a usable and recommendable ifcOWL ontology. In making this analysis, we present our implementations of an EXPRESS-to-OWL converter and the key features of the resulting ifcOWL ontology. (C) 2015 Elsevier B.V. All rights reserved.",10.1016/j.autcon.2015.12.003,0.0
152,"Christie, S",Empson the Space Man: Literary Modernism Makes the Scalar Turn,Article,,"In my essay, I document how the literary modernist critic and poet, William Empson (1906-1984), modeled his theoretical positions in the decades following the Second World War upon precedents found in the English Renaissance poetry of John Donne. After 1955, Empson emerged as a leading skeptic of literary high modernism by means of the novel analogy argued in his essay, Donne the Space Man (1957): namely, that literary depictions of space in Donne's early poetry, athwart high Church doctrine, paralleled contemporary skepticism, in Empson's own time, about interpretive orthodoxies within Eliotic criticism and among the American New Critics. With its focus upon what he calls space travel, Empson's exegesis in Donne the Space Man (1957) pioneered what today one may call the scalar turn in literary modernist criticism. In Empson's case, a scalar criticism endorsed Donne's search for a more generous plurality of critical worlds and embraced cosmological scale irreducible to the more dogmatic worldview of Christian-inspired theorizations then prevailing. Re-reading the Donne the Space Man essay today - and when applying approaches inspired by the phenomenology of the contemporary built environment, object-oriented ontology, and unseen lifeworlds - allows for a more meaningful treatment of Empson's criticism in its historical context, and when using scale as an heuristic to broaden our understandings of cosmologies, near and far, vastly different from our own.",10.1080/25723618.2017.1339506,0.0
102,"Parisi, F; Mangini, AM; Fanti, MP",Enabling Technologies for Smart Construction Engineering: a Review,Proceedings Paper,,"Data-driven knowledge extraction is becoming one the greatest source of information to study and manage complex systems. Today, new challenges can be provided thanks to Information and Communication Technologies and IoT paradigm that are allowing big mass of data to be stored, processed and analyzed. In this paper an insight on data driven knowledge extraction potentiality in the field of smart construction engineering is given. In particular, the main technologies for supporting the decision-management phase in Architecture, Engineering and Construction Industry (AEC Industry) are analysed. To this aim, such technologies are classified in four fields and the main contributions presented in the related literature are singled out and discussed. Finally, some examples of the current applications in the AEC industry are presented and the gap for future development in this field is enlightened.",,
10,"Liu, H; Liu, YS; Pauwels, P; Guo, HL; Gu, M",Enhanced Explicit Semantic Analysis for Product Model Retrieval in Construction Industry,Article,,"With the rapidly growing number of online product models in construction industry, there is an urgent need for developing effective domain-specific information retrieval methods. Explicit semantic analysis (ESA) is a method that automatically extracts concept-based features from human knowledge repositories for semantic retrieval. This avoids the requirement of constructing and maintaining an explicitly formalized ontology. However, since domain-specific knowledge repositories are relatively small, the available terminologies are insufficient and concepts have coarse granularity. In this paper, we propose an enhanced ESA method for product model retrieval in construction industry. The major enhancements for the original ESA method consist of two parts. First, a novel concept expansion algorithm is proposed to solve the problem caused by insufficient terminologies. Second, a reranking algorithm is developed to solve the problem caused by coarse granularity of concepts. Experimental results show that our method significantly improves the performance of product model retrieval and outperforms the state-of-the-art methods. Our method is also applicable to product retrieval in other engineering domain if a specific knowledge repository is provided in that domain.",10.1109/TII.2017.2708727,0.0
103,"Pauwels, P; Krijnen, T; Terkaj, W; Beetz, J",Enhancing the ifcOWL ontology with an alternative representation for geometric data,Article,,"Over the past few years, several suggestions have been made of how to convert an EXPRESS schema into an OWL ontology. The conversion from EXPRESS to OWL is of particular use to the architectural design and construction industry, because one of the key data models in this domain, namely the Industry Foundation Classes (IFC), is represented using the EXPRESS information modelling language. These conversion efforts have by now resulted in a recommended ifcOWL ontology that stays semantically close to the EXPRESS schema. Two major improvements could be made in addition to this ifcOWL basis. First, the ontology could be split into diverse modules, making it easier to use subsets of the entire ontology. Second, geometric aggregated data (e.g. lists of coordinates) could be serialised into alternative, less complex semantic structures. The purpose of both improvements is to make ifcOWL data smaller in size and complexity. In this article, we focus entirely on the second topic, namely the optimization of geometric data in the semantic representation. We outline and discuss the diverse available options in optimizing the data representations used. We quantify the impact of these measures on the ifcOWL ontology and instance model size. We conclude with an explicit recommendation and give an indication of how this recommendation might be implemented in combination with the already available ifcOWL ontology. (C) 2017 Elsevier B.V. All rights reserved.",10.1016/j.autcon.2017.03.001,0.0
31,"Giron, CL","Enterprise Architecture Model oriented to Architecture, Engineering and Construction Industry Integration of Geospatial Concepts in a Specific Framework",Proceedings Paper,,"A model is presented to integrate the geographical dimension - specific ontology - in the architecture descriptions of organizations dedicated to the Architecture, Engineering and Construction (AEC) industry, housing construction subsector. For this, the fundamental concepts and properties of a representative company are studied and the affected geographical elements that are considered in accordance with the strategic direction of the organization in the business layers, information systems and technology are determined. The discipline of integration of the geographical component required the evaluation of the needs of the organization's value chain using an adaptation of the Architecture Description Method (ADM), proposed by The Open Group, to generate a Specific Model of Geospatial Enterprise Architecture.",,
17,"Kamsu-Foguem, B; Abanda, FH",Experience modeling with graphs encoded knowledge for construction industry,Article,,"The Architecture, Engineering and Construction (AEC) industry is becoming increasingly knowledge intensive. Knowledge management has been hailed as an enabler for tapping this knowledge to improve efficiency in the AEC industry. In this study, the main concepts and benefits of knowledge management, relationships between knowledge management and continuous improvement have been examined. Furthermore, emphasis has been laid on knowledge management through experience feedback processes which constitute valuable assets for the AEC industry. This is done through the employment of ontologies and graph-based reasoning operations in eliciting and visualizing knowledge concepts in the AEC domain. The proposed approach which consists of two main aspects provides the opportunity to examine the conceptual and ontological knowledge models with associated reasoning. In the first, the concepts of knowledge management, their significance and application in the AEC field are discussed. The second deals with a methodological framework for the modeling and reasoning in the domain ontology. To facilitate automation, an ontology graph-based editor, Conceptual Graphs User Interface (CoGui) was used to model knowledge and encoded reasoning in the knowledge base. CoGui encodes knowledge as conceptual graphs and reasoning as graph operations that can be visualized in a logically precise way, based on domain ontologies. It emerged that CoGui could be very useful in acquiring information that can be used in collaboration with others to continuously improve information sharing and re-use. A French AEC company located in the Southwest region was employed as a case study in illustrating knowledge modeling through the experience feedback process. For each phase of experience feedback, actions that were implemented in the company are discussed. (C) 2015 Elsevier B.V. All rights reserved.",10.1016/j.compind.2015.02.004,0.0
64,"Locatelli, M; Seghezzi, E; Pellegrini, L; Tagliabue, LC; Di Giuda, GM",Exploring Natural Language Processing in Construction and Integration with Building Information Modeling: A Scientometric Analysis,Article,,"The European Union (EU) aims to increase the efficiency and productivity of the construction industry. The EU suggests pairing Building Information Modeling with other digitalization technologies to seize the full potential of the digital transition. Meanwhile, industrial applications of Natural Language Processing (NLP) have emerged. The growth of NLP is affecting the construction industry. However, the potential of NLP and the combination of an NLP and BIM approach is still unexplored. The study tries to address this lack by applying a scientometric analysis to explore the state of the art of NLP in the AECO sector, and the combined applications of NLP and BIM. Science mapping is used to analyze 254 bibliographic records from Scopus Database analyzing the structure and dynamics of the domain by drawing a picture of the body of knowledge. NLP in AECO, and its pairing with BIM domain and applications, are investigated by representing: Conceptual, Intellectual, and Social structure. The highest number of NLP applications in AECO are in the fields of Project, Safety, and Risk Management. Attempts at combining NLP and BIM mainly concern the Automated Compliance Checking and semantic BIM enrichment goals. Artificial intelligence, learning algorithms, and ontologies emerge as the most widespread and promising technological drivers.",10.3390/buildings11120583,0.0
