,Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type
6,"Stepien M., Jodehl A., Vonthron A., König M., Thewes M.",An approach for cross-data querying and spatial reasoning of tunnel alignments,2022,Advanced Engineering Informatics,10.1016/j.aei.2022.101728,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139592570&doi=10.1016%2fj.aei.2022.101728&partnerID=40&md5=6acd8d8dc7cf9a34319a03615a130b84,"In mechanized tunneling projects, finding a low-risk and cost-effective alignment is an important task. Several alignment variants are usually created and each one is intensely scrutinized. Variants often have individual advantages and disadvantages and can lead to different constructive designs of a tunnel. In order to find the best alignment possible the variants have to be analyzed and evaluated based on requirements and evaluation criteria, such as safety, cost, built environment and operational requirements. To perform this evaluation and to enable comprehensive decision making, a holistic planning environment is examined that includes documents and models of different domains. In general, these domain specific data differ schematically and semantically, which consequently makes it challenging to combine and compare such diverse data. For this purpose, information from different sources must be linked and evaluated in a structured way. In particular, spatial relationships have to be investigated. Therefore, in this paper, ontology databases are utilized to merge BIM and GIS at data level to create an integrated model of the entire tunneling project. Relevant information for decision-making can then be derived, such as the location of private and public buildings that are in a certain vicinity of the planned alignment. On the one hand, the implementation of queries is a popular and frequently used approach to check for semantic properties. On the other hand, using a query language to derive information from geometric data can be challenging, due to the necessity of processing geometric data prior to and during query execution. Additionally, geometric definitions can differ in the considered coordinate reference system, the dimension or the structure. To handle geometry information by employing query languages, representations are methodically transformed to well-known text literals. A simplified and uniform geometric representation can be utilized for spatial reasoning, for example by adopting GeoSPARQL methods. © 2022 The Author(s)",Alignment planning; BIM; GIS; Mechanized tunneling; Querying; Spatial reasoning,Architectural design; Cost effectiveness; Data handling; Geographic information systems; Geometry; Query languages; Semantics; Tunnels; Alignment planning; BIM; Data querying; Decisions makings; Geometric data; Mechanized tunneling; Querying; Spatial reasoning; Tunnel alignments; Tunneling project; Decision making,Article
61,"Mirarchi C., Lucky M.N., Ciuffreda S., Signorini M., Lupica Spagnolo S., Bolognesi C., Daniotti B., Pavan A.",An approach for standardization of semantic models for building renovation processes,2020,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",10.5194/isprs-archives-XLIII-B4-2020-69-2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091582854&doi=10.5194%2fisprs-archives-XLIII-B4-2020-69-2020&partnerID=40&md5=1e39a96d62a06233f97cc95774a4c14f,"The design and maintenance of buildings and infrastructures relies on digital tools such as Computer-Aided Design (CAD), Building Information Modelling (BIM) methods, Geographic Information System (GIS) datasets and other kinds of digital representation of knowledge. The innovations in digital technologies in Architecture, Engineering, Construction and Operations (AECO) sector are not just related to the enhancement of consolidated processes, but they open new collaboration methods and integration with other Information and Communication Technologies (ICT) such as Internet of Things (IoT), additive manufacturing, automation, augmented reality and artificial intelligence. As domain-specific software solutions are expanding their features over different sources and datasets, the need for integration and standardization of information storage and exchange arises. Semantic Web technologies are one of the emerging solutions for solving such issues, as they offer the possibility to combine data from diverse data models and multiple domains using the web. Among the ontologies developed in the last decade for the construction sector, one specific reference should be made on the ifcOWL, an IFC-based ontology representing the most used data schema industry. Nonetheless, from the standardization point of view, so far ontologies have not been considered among the standard methods for information exchange in the AEC, unlike in other sectors (e.g. ISO 15926 was firstly developed for the integration of life cycle data for process plants of oil and gas facilities). This paper aims at showing a standardization and harmonization perspective for ontologies in the AECO industry, starting from the results achieved in the BIM4EEB project. © 2020 Authors.",BIM; linked data; Ontologies; Semantic modelling; Standardization,3D printers; Artificial intelligence; Augmented reality; Computer aided design; Construction industry; Digital devices; Digital storage; Integration; Internet of things; Life cycle; Ontology; Standardization; Building Information Modelling; Construction sectors; Digital representations; Digital technologies; Information and Communication Technologies; Information exchanges; Internet of Things (IOT); Semantic Web technology; Architectural design,Conference Paper
73,"Huyeng T.-J., Thiele C.-D., Wagner A., Shi M., Hoffmann A., Sprenger W., Rüppel U.",An approach to process geometric and semantic information as open graph-based description using a microservice architecture on the example of structural data,2020,"EG-ICE 2020 Workshop on Intelligent Computing in Engineering, Proceedings",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091040726&partnerID=40&md5=d35410dc8f00b94edc71bea47b83d554,"The advancing digitalization in the building industry highlights weak points in the digital infrastructure. Due to heterogeneous software landscapes, cross-application data exchange, in particular, is a frequently criticized process for which no satisfying solution exists, so far. To overcome interoperability difficulties, open and application-independent data formats are necessary and the communication between software applications needs to be standardized. For the first aspect, the current research project SCOPE investigates the extent to which Semantic Web can be used as an alternative to conventional approaches. The ontologies developed and applied in the research project focus on geometry descriptions, the linking of geometric and non-geometric contents and the abstract description of building products. The second, overarching aspect is addressed by defining an underlying architecture. Hence, a microservice structure is proposed that allows the data to be extended and enriched with the help of the aforementioned ontologies. © EG-ICE 2020 Workshop on Intelligent Computing in Engineering, Proceedings. All rights reserved.",,Application programs; Construction industry; Electronic data interchange; Geometry; Graphic methods; Ontology; Open Data; Application data; Building industry; Building products; Conventional approach; Digital infrastructures; Heterogeneous software; Semantic information; Software applications; Intelligent computing,Conference Paper
127,"Gračanin D., Handosa M., Elmongui H.G., Matković K.",An approach to user interactions with IoT-enabled spaces,2017,"Proceedings of the 14th International Conference on Telecommunications, ConTEL 2017",10.23919/ConTEL.2017.8000050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028536130&doi=10.23919%2fConTEL.2017.8000050&partnerID=40&md5=206a371077d8460fec6fa38ed93e3edc,"IoT-enabled built environments have potential to improve the lives of individuals, groups, and the broader community. Internet of Things (IoT), a collection of networked and interacting embedded devices, provides the necessary infrastructure and enabling technologies to design, develop and deploy smart built environments. We describe an approach to supporting user interaction with IoT-enabled smart built environments. This approach takes advantages of affordances and embodied cognition in a physical space to model user interaction with built spaces. The corresponding implementation leverages standard protocols (MQTT) and IoT-Lite ontology to represent IoT resources, entities and services. A proof-of-concept light-control application demonstrates the approach. © 2017 University of Zagreb, Faculty of Electrical Engineering and Computing.",Human computer interaction; Internet of Things; Smart homes,Automation; Human computer interaction; Intelligent buildings; Built environment; Embodied cognition; Enabling technologies; Internet of Things (IOT); Proof of concept; Smart homes; Standard protocols; User interaction; Internet of things,Conference Paper
199,"Costa R., Lima C.",An architecture to support semantic enrichment of knowledge sources in collaborative engineering projects,2013,Communications in Computer and Information Science,10.1007/978-3-642-29764-9_19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873918728&doi=10.1007%2f978-3-642-29764-9_19&partnerID=40&md5=5c42007c6718d207fa02a6582eaa1db4,"This work brings a contribution focused on collaborative engineering projects where knowledge plays a key role in the process, aiming to support collaborative work carried out by project teams, through an ontology-based platform and a set of knowledge-enabled services. We introduce the conceptual approach, the technical architectural (and its respective implementation) supporting a modular set of semantic services based on individual collaboration in a project-based environment (for Building & Construction sector). The approach presented here enables the semantic enrichment of knowledge sources, based on project context. The main elements defined by the architecture are an ontology (to encapsulate human knowledge), a set of web services to support the management of the ontology and adequate handling of knowledge providing search/indexing capabilities (through statistical/semantically calculus), providing a systematic procedure for formally documenting and updating organizational knowledge. Results achieved so far and future goals pursued here are also presented. © 2013 Springer-Verlag Berlin Heidelberg.",Collaboration; Knowledge management; Ontology; Semantic reasoning; Semantic services,Architecture; Calculations; Construction industry; Ontology; Semantics; Service industry; Web services; Collaboration; Collaborative engineering; Conceptual approaches; Construction sectors; Organizational knowledge; Semantic enrichment; Semantic reasoning; Semantic service; Knowledge management,Conference Paper
137,Zeb J.,An eco asset ontology towards effective eco asset management,2017,Built Environment Project and Asset Management,10.1108/BEPAM-11-2016-0061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029704376&doi=10.1108%2fBEPAM-11-2016-0061&partnerID=40&md5=b14fc965e91fa7ed00a4a374c2dc0a25,"Purpose: The purpose of this paper is to develop an ontology of eco or natural assets to represent eco asset knowledge at two levels: eco asset metal model and eco asset ontology (EA_Onto). The three objectives of this paper are to: define eco assets explicitly to reach a common understanding of the terms; evaluate the ontology; and discuss a potential area of application. Design/methodology/approach: A seven-step methodology was used to develop the proposed ontology: define the scope; develop the eco asset meta model (EA_MM), define taxonomy, code ontology, capture ontology, evaluate ontology and document ontology. Findings: The EA_MM was developed to represent eco asset domain knowledge, which was further extended to develop the EA_Onto, explicitly defining the eco asset knowledge in asset management. As a part of evaluation, it was found that the knowledge representation is consistent, concise, clear, complete and correct. Practical implications: Theoretically, the proposed ontology is a significant contribution to the body of knowledge in asset management. Practically, the knowledge representation provides a common understanding of eco assets for asset management experts. In addition, it will be used in applications for effective eco asset management. Originality/value: The current literature lacks explicit declaration of eco assets, how they are related to built environment for effective integration and how asset management functions are to be applied to accomplish effective eco asset management. Presently, eco assets are managed on an ad hoc basis, which need to be explicitly defined through developing an EA_Onto for implementation in applications for effective eco asset management. © 2017, © Emerald Publishing Limited.",Asset management; Eco asset; Eco asset knowledge management; Eco asset management; Eco asset ontology; Natural asset,,Article
105,"Alexopoulos K., Sipsas K., Xanthakis E., Makris S., Mourtzis D.",An industrial Internet of things based platform for context-aware information services in manufacturing,2018,International Journal of Computer Integrated Manufacturing,10.1080/0951192X.2018.1500716,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050917823&doi=10.1080%2f0951192X.2018.1500716&partnerID=40&md5=64c0aa28e0b267fc6eb7f416a574935c,"In a manufacturing shop floor, context-aware intelligent service systems can be used to provide information services to shop floor personnel, according to their situation. This article presents an industrial Internet of things (IIoT) context-aware information system that provides decision support for mobile or static operators and supervisors. The system uniquely combines key IIoT concepts such as multi-layered, service-oriented architecture, which integrates several subsystems, such as sensor data acquisition together with concepts for developing context-aware systems such as context modelling and contextual data information provision. The proposed solution is relevant for several manufacturing environments. However, in dynamic, semi-structured manufacturing environments that the workstations are not fixed but dynamically change over time and in which the workers are mobile and not static to some predefined workstations, the utilisation of context-aware information delivery is considered as even more relevant. For that reason, a case study with a medium-sized shipyard has been selected and conducted. Industrial requirements were gathered and led to use cases for a customised implementation of the proposed solution into a shipyard. The proposed solution includes a number of context-aware apps that support the users in carrying out production tasks. The study provided insights into the suitability of the solution presented in the shipyard environment and brought to light further aspects that would improve the proposed context-aware system. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",Cloud computing; cyber physical systems; Industry 4.0; information technology; ontologies; ship-building industry,Cloud computing; Construction industry; Cyber Physical System; Data acquisition; Decision support systems; Embedded systems; Floors; Industry 4.0; Information services; Information technology; Internet of things; Manufacture; Ontology; Ships; Shipyards; User interfaces; Building industry; Context modelling; Context-aware informations; Context-aware systems; Data informations; Industrial requirements; Intelligent service systems; Manufacturing environments; Service oriented architecture (SOA),Article
220,"Bouzidi K.R., Faron-Zucker C., Fies B., Le Thanh N.",An ontological approach for modeling technical standards for compliance checking,2011,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10.1007/978-3-642-23580-1_19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052721480&doi=10.1007%2f978-3-642-23580-1_19&partnerID=40&md5=b06a4170c1c77a416c1190aea4db0656,"This paper gives an overview of a formal semantic-based approach of modeling some regulations in the photovoltaic field to help the delivering of technical assessments at the French scientific center on Building Industry (CSTB). Starting from regulatory texts, we first explicit SBVR rules and then formalize them into ontology-based rules in the SPARQL language. These are exploited in the modeling of the compliance checking process required for the delivering of technical assessments. © 2011 Springer-Verlag.",Building Industry; E-Government; E-regulations; Knowledge Management; Ontology; Semantic Web,Building industry; Compliance checking; e-Government; E-regulations; Ontological approach; Ontology-based; Scientific center; Technical assessment; Technical standards; Construction industry; Knowledge management; Regulatory compliance; Semantic Web; Semantics; User interfaces; Ontology,Conference Paper
258,"Fuertes A., Casals M., Gangolells M., Forcada N., Roca X.",An ontology for Environmental and Health and Safety risks' evaluation for construction,2008,Frontiers in Artificial Intelligence and Applications,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875936464&partnerID=40&md5=675825f0a3c40a081ba11fc57fd2d830,"The present research project establishes the basis of a decision making tool, based on an ontology, to integrally analyze Environmental and Health and Safety risks along the planning and execution phases of a construction project and to define technical solutions and preventive measures. The ontology will allow the classification of all the terms (aspects, impacts, risks, and procedures) related to the Health and Safety Evaluation and to the Environmental Evaluation as well as the relationships that exist among them. On the other hand, each class will be enriched with different properties that will be used by the decision-making tool to identify the main significant Environmental and Health and Safety aspects in each Construction process, and moreover, to evaluate their impact in a specific construction project in order to provide procedures. Therefore, both designers and contractors will asses the environmental and the health and safety risks related to each designed solution or constructive process, facilitating them the choice of the designed solution with fewer impact/risk. As a consequence the construction sector will increase its competitivity by optimizing the resources dedicated to the different management systems of a construction company. © 2008 The authors and IOS Press. All rights reserved.",construction; environment; health and safety; ontology; risks' evaluation,Construction; Construction industry; Decision making; Health; Ontology; Risk assessment; Construction companies; Construction process; Construction projects; environment; Environmental evaluation; Health and safety; Health and safety aspects; Planning and execution; Health risks,Conference Paper
308,"Staub-French S., Fischer M., Kunz J., Paulson B.",An ontology for relating features with activities to calculate costs,2003,Journal of Computing in Civil Engineering,10.1061/(ASCE)0887-3801(2003)17:4(243),https://www.scopus.com/inward/record.uri?eid=2-s2.0-14644389944&doi=10.1061%2f%28ASCE%290887-3801%282003%2917%3a4%28243%29&partnerID=40&md5=e23117687bce41ecaff8b3b6ceaaf3df,"It is the cost estimator's task to determine how the building design influences construction costs. Estimators must recognize the design conditions that effect construction costs and adjust the project's activities, resources, and resource productivity rates accordingly to create a cost estimate for a particular design. Current tools and methodologies help estimators to establish relationships between product and cost information to calculate quantities automatically. However, they do not provide a common vocabulary to represent estimators' rationale for relating product and cost information. This paper presents the ontology we formalized to represent estimators' rationale for relating features of building product models to construction activities and associated construction resources to calculate construction costs. A software prototype that implements the ontology enables estimators to generate activities that know what feature requires their execution, what resources are being used and why, and how much the activities' execution costs. Validation studies of use of the prototype system provide evidence that the ontology enabled estimators to generate and maintain construction cost estimates more completely, consistently, and expeditiously than traditional tools. © ASCE.",Artificial intelligence; Building design; Computer models; Construction costs; Cost estimates; Information management,Building design; Computer models; Construction costs; Cost estimates; Ontology; Artificial intelligence; Buildings; Costs; Feedback; Information management; Productivity; Structural design; Construction industry,Article
298,Glaeser A.,An ontology for the ethnographic analysis of social processes: Extending the extended-case method,2005,Social Analysis,10.3167/015597705780275138,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36148982544&doi=10.3167%2f015597705780275138&partnerID=40&md5=3f98e2cc8d55e54daf7ab6b5ea67495c,"The central concern of this article is the relationship between ethnography and social theory. With the help of 'consequent processualism', a social ontology that centers on the co-constitution of people, cultural forms, social relations, and the built environment, this essay makes an argument for what should be at the core of social theorizing: the principles underpinning the dynamics of processes in the nexus between actions and reactions, igniting social formation in webbed flows of effects across time and space. The article shows how consequent processualism is able to implode time-honored, reifying conceptual dichotomies, such as micro-macro, event-structure, agency-social structure, to open new vistas on the social. Building on consequent processualism, the essay argues on the one hand for the significance of theory for the practice of ethnography in identifying and delimiting fruitful field sites. Conversely, it advocates ethnography as the method of choice for developing social theory.",Consequent processualism; Ethnographic methods; Field-site choice; Social ontology; Social theory,,Article
307,"Katranuschkov P., Gehre A., Scherer R.J.",An ontology framework to access IFC model data,2003,Electronic Journal of Information Technology in Construction,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942699959&partnerID=40&md5=9215876983f434209a06f8b517075da7,"In the last decade several research and development projects have shown that product data technology (PDT) can successfully and beneficially replace the traditional document-centred approach to project realisation. Today, with the development of the IFC project model by the IAI, the product modelling paradigm is being rapidly introduced in commercial software as well. However, actual PDT application in the AEC domain is still limited to CAD data exchange and some basic project-centred data management facilities. There is a great need of human-centred product model services supporting the engineer with additional knowledge about the models, providing customisable user-friendly capabilities for management and modification of the data, and enabling structured access to the information on the project(s) he is working on. These issues have motivated the development of an ontology framework that can serve as advanced user gateway to product model data. The suggested approach draws upon recent ICT achievements, especially regarding IFC environments. In this paper we present the rationale, the principal design, and the technical structure of the ontology framework based on the XML schema specification. Further on, we explain its software realisation, provide examples of its current application and outline possibilities for its further development and envisaged broader usage. Reported is research work performed in conjunction with the EU ISTforCE project (IST-1999-11508).",Engineering Data Browser; IFC; Model-Based eWork; Ontology; XML Schema,Computer aided design; Information management; Information technology; Mathematical models; Product development; Project management; XML; Data exchange; Data management; Engineering data browsers; Ontology; Construction industry,Article
207,"Kohli D., Sliuzas R., Kerle N., Stein A.",An ontology of slums for image-based classification,2012,"Computers, Environment and Urban Systems",10.1016/j.compenvurbsys.2011.11.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858073527&doi=10.1016%2fj.compenvurbsys.2011.11.001&partnerID=40&md5=709b5eb28ee9758e6deb69326c098be9,"Information about rapidly changing slum areas may support the development of appropriate interventions by concerned authorities. Often, however, traditional data collection methods lack information on the spatial distribution of slum-dwellers. Remote sensing based methods could be used for a rapid inventory of the location and physical composition of slums. (Semi-)automatic detection of slums in image data is challenging, owing to the high variability in appearance and definitions across different contexts. This paper develops an ontological framework to conceptualize slums using input from 50 domain-experts covering 16 different countries. This generic slum ontology (GSO) comprises concepts identified at three levels that refer to the morphology of the built environment: the environs level, the settlement level and the object level. It serves as a comprehensive basis for image-based classification of slums, in particular, using object-oriented image analysis (OOA) techniques. This is demonstrated by with an example of local adaptation of GSO and OOA parameterization for a study area in Kisumu, Kenya. At the object level, building and road characteristics are major components of the ontology. At the settlement level, texture measures can be potentially used to represent the contrast between planned and unplanned settlements. At the environs level, factors which extend beyond the site itself are important indicators, e.g. hazards due to floods plains and marshy conditions. The GSO provides a comprehensive framework that includes all potentially relevant indicators that can be used for image-based slum identification. These characteristics may be different for other study areas, but show the applicability of the developed framework. © 2011 Elsevier Ltd.",Classification; Informal settlement; Object-oriented image analysis (OOA); Ontology; Slums,Automatic Detection; Built environment; Data collection method; High variability; Image data; Image-based; Image-based classification; Informal settlements; Local adaptation; Object-oriented image analysis; Ontological frameworks; Physical composition; Slums; Study areas; Classification (of information); Image analysis; Ontology; Remote sensing; Housing; image analysis; image classification; informal settlement; parameterization; remote sensing; spatial distribution; Kenya; Kisumu; Nyanza,Article
111,"Bilgin G., Dikmen I., Birgonul M.T.",An ontology-based approach for delay analysis in construction,2018,KSCE Journal of Civil Engineering,10.1007/s12205-017-0651-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018485144&doi=10.1007%2fs12205-017-0651-5&partnerID=40&md5=312fa03b2b568606ff826980365522c7,"Delay is a common problem of the construction sector and it is one of the major reasons of claims between project participants. Systematic and reliable delay analysis is critical for successful management of claims. In this study, a delay analysis ontology is proposed that may facilitate development of databases, information sharing as well as retrieval for delay analysis within construction companies. A detailed literature review on construction delays has been carried out during the development of the ontology and it is evaluated by using five case studies. The delay analysis ontology may be used for different purposes especially to support decision-making during risk and claim management processes. It may enable companies to create their own databases, corporate memories and develop decision support systems for better analysis of delays. © 2018, Korean Society of Civil Engineers and Springer-Verlag GmbH Germany, part of Springer Nature.",construction sector; delay; delay analysis; ontology; ontology evaluation; taxonomy,Artificial intelligence; Construction industry; Decision making; Decision support systems; Risk assessment; Taxonomies; Construction companies; Construction delays; Construction sectors; delay; Delay analysis; Ontology evaluations; Project participants; Successful management; Ontology,Article
236,"Yurchyshyna A., Zarli A.",An ontology-based approach for formalisation and semantic organisation of conformance requirements in construction,2009,Automation in Construction,10.1016/j.autcon.2009.07.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349424709&doi=10.1016%2fj.autcon.2009.07.008&partnerID=40&md5=ffbab6a00f3ef8692e1d044e93184d0e,"This paper presents an ontology-based method for the formalisation and application of construction conformance requirements for effective code checking. This research continues our work on the development of a generic model automating the conformance checking of construction projects against building codes. We start from the analysis of the related research on the formalisation and organisation of building codes that allows us to formulate our approach for semantic annotation and scheduling of conformance requirements for conformance checking task. Our approach comprises 5 main steps: formalisation, semantic annotation, classification, context-based scheduling and semantic search of conformance requirements. They are implemented as corresponding key components of the C3R (Conformance Checking in Construction - Reasoning) prototype that we have developed to model the conformance checking process in construction. Finally, we discuss the ongoing work and perspectives of our research: the validation of our model by construction practices and the enrichment of our approach by usage-based knowledge. Crown Copyright © 2009.",Formalisation of conformance requirements; Ontological approach for conformance checking; Semantic annotation and organisation of building codes,"Classification ,; Conformance checking; Construction practice; Construction projects; Context-based; Formalisation; Formalisation of conformance requirements; Generic models; Key component; Ontological approach for conformance checking; Ontology-based; Semantic annotation and organisation of building codes; Semantic annotations; Semantic search; Construction industry; Model checking; Ontology; Research; Scheduling; Semantics; Building codes",Article
274,"Paul Christopher Charlesraj V., Kalidindi S.N.",An ontology-based knowledge management framework for performance improvement of construction project managers,2006,"2006 Proceedings of the 23rd International Symposium on Robotics and Automation in Construction, ISARC 2006",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861568497&partnerID=40&md5=0d62cd275f681669e2fbaa927295928c,"'Knowledge Management' (KM) is a promising business management concept that is gaining wide acceptance and is being implemented in various sectors to achieve improved level of performance and competence. Project management competence is one of the most significant criteria upon which the project performance is dependent on. Further, effective project management relies on the project manager's competency and authority. Construction Project Managers (CPManagers) play a key role in the success of a construction project. Assessment and improvement of the Skill, Knowledge, and Competency (SKC) levels of CPManagers will be valuable to CPManagers as well as the organisation. Selection and allocation of suitable CPManagers to projects is a challenging issue. An ontology-based KM framework for performance improvement of CPManagers has been proposed. Ontology of SKC of CPManagers, Construction Projects, and KM Tools constitute the knowledge component. Various elements of competence that are required for CPManagers have been identified.",Knowledge management; Ontology; Performance improvement; Project manager,Assessment and improvement; Business management; Construction project managers; Construction projects; Knowledge components; Knowledge management framework; Ontology-based; Performance improvements; Project management competence; Project managers; Project performance; Construction industry; Knowledge management; Management science; Managers; Ontology; Robotics; Project management,Conference Paper
205,"Simeone D., Fioravanti A.",An ontology-based system to support agent-based simulation of building use,2012,Electronic Journal of Information Technology in Construction,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867839909&partnerID=40&md5=34a719628aee60eeb7f3b1b62fc36479,"The prediction and evaluation of future building response to its intended use and users is a complex task that designers have to face during the design process. As matter of fact, few methods exist that can help designers in such task, despite its importance in the definition of the building quality; norms and regulations, personal designer's experience, post-occupancy evaluation have shown their limit to provide predictive models of the complex phenomenon of human behaviour in built environments. With the increasing of computing power, virtual simulation techniques have been introduced in building design to control, manage and predict complex systems of building performances such as its energy or structural behaviour, but not to representation of buildings while-in-use. The Agent-Based Modelling and Simulation (ABMS) paradigm has been applied in building design to simulation of specific aspects of human behaviour and in specific occurrences (for instance in fire egress simulations), while a more extensive representation of users actions, behaviours, and activities is still missing. In order to overcome this lack, in this paper we propose to support agent-based simulation with a knowledge base, developed by means of ontologies and able to provide a structured system of data about human-building interaction, useful as start hypotheses for Agent-based Simulation. For its development, we rely on the general template of building knowledge management already proposed by the research group (Carrara et al., 2009), extending it to representation of the whole system users-built environment. The proposed general template, configured by the meaning - properties - rules structure, allows the formalization of users/agents entities, whose parameter, attributes and behavioural rules can encode several 'aspects' of real users and their interactions with the other entities (building components, furniture, other people) in a built environment. Currently, a first application has been developed dealing with the virtually testing of a small hospital ward, in order to evaluate the reliability and the potentiality of such approach. COPYRIGHT: © 2012 The authors.",Agent-Based Modelling; Building performances prediction; Human behaviour simulation; Ontology-based systems,Agent based simulation; Agent-based modelling; Building performance; Building quality; Built environment; Complex task; Computing power; Design process; Hospital wards; Human behaviours; In-buildings; Knowledge base; Ontology-based systems; Post occupancy evaluation; Predictive models; Research groups; Still missing; Structural behaviour; Structured systems; Virtual simulations; Architectural design; Computational methods; Forecasting; Knowledge based systems; Knowledge management; Quality control; Social sciences; Buildings,Article
161,"Das M., Cheng J.C.P., Law K.H.",An ontology-based web service framework for construction supply chain collaboration and management,2015,"Engineering, Construction and Architectural Management",10.1108/ECAM-07-2014-0089,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942112325&doi=10.1108%2fECAM-07-2014-0089&partnerID=40&md5=85358bfe3d24642ce2270dfb669b4023,"Purpose - The purpose of this paper is to present a framework for integrating construction supply chain in order to resolve the data heterogeneity and data sharing problems in the construction industry. Design/methodology/approach - Standardized web service technology is used in the proposed framework for data specification, transfer, and integration. Open standard SAWSDL is used to annotate web service descriptions with pointers to concepts defined in ontologies. NoSQL database Cassandra is used for distributed data storage among construction supply chain stakeholders. Findings - Ontology can be used to support heterogeneous data transfer and integration through web services. Distributed data storage facilitates data sharing and enhances data control. Practical implications - This paper presents examples of two ontologies for expressing construction supply chain information - ontology for material and ontology for purchase order. An example scenario is presented to demonstrate the proposed web service framework for material procurement process involving three parties, namely, project manager, contractor, and material supplier. Originality/value - The use of web services is not new to construction supply chains (CSCs). However, it still faces problems in channelizing information along CSCs due to data heterogeneity. Trust issue is also a barrier to information sharing for integrating supply chains in a centralized collaboration system. In this paper, the authors present a web service framework, which facilitates storage and sharing of information on a distributed manner mediated through ontology-based web services. Security is enhanced with access control. A data model for the distributed databases is also presented for data storage and retrieval. © Emerald Group Publishing Limited.",Collaboration; Construction supply chain; Data mediation; Ontology; Semantic web services; Supply chain integration,Access control; Construction industry; Data integration; Data Sharing; Data transfer; Digital storage; Information dissemination; Integration; Ontology; Purchasing; Semantic Web; Storage (materials); Storage as a service (STaaS); Supply chains; Web services; Websites; Collaboration; Construction supply chain; Data mediation; Design/methodology/approach; Distributed data storages; Supply-chain integration; Web service description; Web service technology; Distributed database systems,Article
76,"Di Martino B., Mirarchi C., Ciuffreda S., Pavan A.",Analysis of Existing Open Standard Framework and Ontologies in the Construction Sector for the Development of Inference Engines,2020,Advances in Intelligent Systems and Computing,10.1007/978-3-030-22354-0_77,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068437624&doi=10.1007%2f978-3-030-22354-0_77&partnerID=40&md5=f1b93ed42a255dbd8152cadb3d74b008,"The definition of shared dictionaries able to facilitate communication in the construction sector has been an open issue long since. The advent of ICT highlighted the existing issues imposing new challenges to allow the communication between systems. Nowadays, the digital transformation in the construction sector is led by Building Information Modelling. Several efforts have been spent both in research and industry developing open standards like the industry foundation classes and related ontologies to empower interoperability. However, this paper highlights the obstacles limiting use and exchange of information at the state of the art. © 2020, Springer Nature Switzerland AG.",,Industrial research; Ontology; Building Information Modelling; Construction sectors; Digital transformation; Exchange of information; Industry Foundation Classes - IFC; Open Standards; State of the art; Construction industry,Conference Paper
135,"Pruvost H., Scherer R.J.",Analysis of Risk in Building Life Cycle Coupling BIM-based Energy Simulation and Semantic Modeling,2017,Procedia Engineering,10.1016/j.proeng.2017.08.068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030476329&doi=10.1016%2fj.proeng.2017.08.068&partnerID=40&md5=69d0ad66f477601583bd4427d5dc859f,"Building Information Modeling (BIM) is being increasingly accepted by the building industry as an innovative method for integrating many different data related to a building. Part of this data concerns performance metrics expressed among others in terms of cost, energy consumption or system reliability. Such performance values are the focus of project stakeholders who try to optimize them already in building design phase. These values are computed by simulation software that reuses a subpart of the BIM data as input. This provides a better view of building performances but less on threats and underperformances in the building life cycle. Moreover, despite the existence of different risk analysis methods, these are still quite difficult to integrate into a BIM design process. This research aims at closing this gap by first, integrating risk information as well as related uncertainty sources into the BIM process. Second, a method is developed for simulating uncertainty and computing risk metrics. Finally, the evaluation of risk levels is supported by the use of semantic web technologies through a risk ontology. © 2017 The Authors.",Building Information Modeling; Decision Making; Ontology; Risk; Uncertainty,Computer software; Construction industry; Decision making; Energy utilization; Information theory; Life cycle; Ontology; Risk analysis; Risk assessment; Risks; Uncertainty analysis; Building Information Model - BIM; Building performance; Project stakeholders; Risk analysis methods; Semantic Web technology; Simulation software; Uncertainty; Uncertainty sources; Architectural design,Conference Paper
