,Authors,Article Title,Document Type,Author Keywords,Abstract,DOI,DOI Link
67,"Allan, K; Phillips, AR",Comparative Cradle-to-Grave Life Cycle Assessment of Low and Mid-Rise Mass Timber Buildings with Equivalent Structural Steel Alternatives,Article,,"The objective of this paper was to quantify and compare the environmental impacts associated with alternative designs of typical North American low and mid-rise buildings. Two scenarios were considered: a traditional structural steel frame or an all-wood mass timber design, utilizing engineered wood products for both gravity and lateral load resistance. The boundary of the quantitative analysis was cradle-to-grave with considerations taken to discuss end-of-life and material reuse scenarios. The TRACI methodology was followed to conduct a Life Cycle Impact Assessment (LCIA) analysis that translates building quantities to environmental impact indicators using the Athena Impact Estimator for Buildings Life Cycle analysis software tool and Athena's Life Cycle Inventory database. The results of the analysis show that mass timber buildings have an advantage with respect to several environmental impact categories, including eutrophication potential, human health particulate, and global warming potential where a 31% to 41% reduction was found from mass timber to steel designs, neglecting potential carbon sequestration benefits from the timber products. However, it was also found that the steel buildings have a lower impact with respect to the environmental impact categories of smog potential, acidification potential, and ozone depletion potential, where a 48% to 58% reduction was found from the steel to the mass timber building designs.",10.3390/su13063401,0.0
107,"Lee, S; Yu, JH",Comparative Study of BIM Acceptance between Korea and the United States,Article,,"Substantial research has been performed on data standards and exchanges in the AEC/FM (Architecture, Engineering, Construction and Facilities Management) industry over the past several years. The growing popularity of Building Information Modeling (BIM) technology is based heavily on the perception that it can facilitate the sharing and reuse of information during a project's lifecycle. Although many researchers and practitioners are in agreement about the potential applicability and benefit of BIM in construction, it is still unclear why BIM is adopted, and what factors enhance the implementation of BIM. Thus, BIM acceptance and use remains a central concern of BIM research and practice. BIM was accepted in the United States earlier than in Korea, and BIM users are expected to have a higher maturity and positive perception about utilizing BIM depending on a lengthier utilization period. This means that the mechanism for achieving acceptance of BIM in Korea differs from the mechanism in the United States. Therefore, Korea's BIM acceptance model was compared to that in the United States using structural equation modeling. The key components, including the BIM acceptance model, were identified through a literature review of the Technology Acceptance Model (TAM) and related theories and was consolidated by interviews and pilot studies with professionals in the construction industry. Based on these components, a questionnaire was designed and sent out to workers in construction organizations (such as contractors, architects, construction managers, engineers, and facility managers) in Korea and the United States. A total 164 completed questionnaires were retrieved. Structural equation modeling for hypothesis testing was conducted using commercially-available software. The results from this study can serve as a foundation for research looking into the organizational context to further BIM acceptance in the construction industry. The comparison of the mechanism and subsequent results will serve as a guideline for developing an acceptance strategy that is suitable for Korea. (C) 2015 American Society of Civil Engineers.",10.1061/(ASCE)CO.1943-7862.0001076,0.0
99,"Hasik, V; Escott, E; Bates, R; Carlisle, S; Faircloth, B; Bilec, MM",Comparative whole-building life cycle assessment of renovation and new construction,Article,,"Renovation of existing buildings has been identified as a major strategy for reducing the environmental impacts associated with building construction. From the perspective of embodied impacts, repurposing existing structures can reduce the amount of new materials that have to be extracted, manufactured, and installed. While the literature on energy efficiency retrofitting is relatively abundant, a smaller number of studies investigate the differences in whole-building embodied impacts of major renovations. This study presents an approach for conducting a whole-building life cycle assessment (LCA) on building renovation projects, suggests an approach for conducting comparative assessments between renovation and new construction, and demonstrates the approach on an adaptive reuse case study. The approach consists of comparing the full life cycle impacts of the existing building to the sum of the life cycle impacts of the components added in the renovation and the maintenance and replacement needs of the existing/reused components. The case study showed 53-75% reductions across 6 different environmental impact categories when the renovation was compared to a new construction scenario. The reuse of the structural and envelope components provided the majority of the reductions, as most of the renovation was of the interior components and finishes. The presented work can be used as a model for consistent LCAs on other renovation projects and to show designers, policy makers, and building owners the environmental benefits of adaptive reuse over new construction as a result of reduced need for new building materials.",10.1016/j.buildenv.2019.106218,0.0
139,"Krohnert, H; Itten, R; Stucki, M",Comparing flexible and conventional monolithic building design: Life cycle environmental impact and potential for material circulation,Article,,"Due to severe sustainability problems caused by the built environment, calls for adopting circular economy principles in building design, such as flexibility and reversibility, are increasing. However, there is still a lack of quantitative studies on the corresponding environmental benefits in this regard. In the present study, a life cycle assessment of a multi-storey residential reference building is carried out, comparing a flexible, reversible building design using a load-bearing steel structure and wooden ceiling elements to a conventional, monolithic design based on reinforced concrete. The assessment is carried out on a whole building level, including construction, operation, maintenance, and the end-of-life phase. Both building designs show similar results for a regular life cycle of 60 years without major refurbishment (13 and 14.5 kg CO2-eq/m(2) per operational year). When longer building lifetimes are considered, the environmental impact of the reference building per operational year decreases significantly. In this context, flexible building design is advantageous as it facilitates the refurbishment of buildings, while monolithic building design often leads to premature demolition due to low adaptability. Further advantages of reversible building design include the increased potential of materials to be recirculated at the end-of-life stage of a building and in the potential reuse of structural elements. This study shows that 14% of the embodied greenhouse gas emissions of the flexible building can be avoided if the foundation, load-bearing structure and ceiling elements are kept in place for a subsequent building. Such direct reuse leads to a substantially higher environmental value retention than recycling of the same materials.",10.1016/j.buildenv.2022.109409,0.0
80,"Griffin, CT; Reed, B; Hsu, S",Comparing the embodied energy of structural systems in buildings,Proceedings Paper,,"There are a number of factors that typically influence the selection of a structural system including code, cost, construction schedule and site constraints. As sustainability increasingly becomes an important goal during the design process, the role of structure in the overall sustainability of a building will need to be considered in terms of embodied energy, building longevity, reuse and deconstruction. The structure of a typical office building contributes roughly one-third to one-quarter of the total embodied energy and double the amount contributed by interior finishes. Consequently, the structure of a building should be a primary target for reducing the embodied energy of a building. While there has been much research on the embodied energy of structural materials, there has been less research into comparing the embodied energy of structural systems. Life-cycle analysis (LCA) tools exist to calculate the embodied energy of a proposed structural system during the early stages of the design process. However, the over simplified nature of these tools can provide misleading conclusions about which structural materials and systems will have the lowest environmental impact. To allow architects and engineers to consider issues of sustainability in the design and selection of a structural system, a transparent and easily understood metric for comparing the embodied energy of structural systems is required. In order to better understand the relationship between structural systems and embodied energy, this paper examines the embodied energy of materials used in typical steel and reinforced concrete structural systems by calculating the amount of material needed for different systems and the embodied energy of selected bay sizes. This method accounts for the varying size and amount of material needed for different spans and columns sizes. By using bay sizes, alternative structural systems are more easily compared to one another. Finally, a 4-story laboratory building, in design at the University of Oregon in Eugene, Oregon, was used as a case study to test the use of bay sizes as a comparative tool. Using schematic plans furnished by the architects to identify the bay sizes used in the building, a one-way concrete slab and beam or one-way joist slab proved to be the structural systems with the lowest embodied energy (both approximately 5,000 GJ).",,
241,"Unver, H; Alptekin, O; Kalkan, M",Comparison of the building adaptability assessment models: a semi-systematic review,Review; Early Access,,"Purpose Adaptability studies in the literature include repetitive models and completely independent new model proposals. As a result of the evaluation of these studies, the lack of analysis studies based on a certain algorithm was determined. In this context, in this study, existing models are evaluated in order to contribute to future studies in the context of adaptability. This study is presented as a guide for new studies in the context of adaptability. Design/methodology/approach In the study, first of all, the change of the concept of adaptability in the historical process was investigated by literature review from 1958 to the present. Then, a comparative analysis of the existing adaptability models used in architecture between the years 2007-2020 was made in the context of the main and sub-criteria obtained in the literature research. Findings In the study, the concept of adaptability, the definition of building adaptability and the analysis of adaptability models were examined and findings were obtained under three main headings. The definition of adaptability takes place in the literature on a multidisciplinary scale. In the definition of adaptability, it should cover not only structural but also functional, economic, technological and performance-oriented strategies applied to structures. Although the theories examined within the scope of building adaptability are seen as a guide for future studies, they should be supported by examples that can be applied in a global context. In the study, 7 adaptability models determined by a semi-systematic literature review were analyzed. The matrices of the models based on the adaptability sub-criteria are discussed in the context of scenario, physical life, openness, physical use, barriers and obsolescence. The data obtained is a guide for the models to be used in the future within the scope of adaptability. Originality/value This study presents a semi-systematic analysis of the studies in the literature on the adaptability of structures. In this context, the study serves as a guide for adaptability models to be designed in the future.",10.1108/IJBPA-01-2022-0013,0.0
264,"Andreasen, MM",Conceptual design capture - Keynote paper,Proceedings Paper,,"This paper present a basic theory of mechanical systems design, the so-called domain theory. By a strict distinction between structural characteristics and behavioural properties, each domain becomes a strong view for synthesis of the artefact. The functional reasoning in each domain and between the domains seems to be ruled by the Function/Means-Law (Hubka's law). Different enhancing viewpoints of the Function/Means-Law are presented.",,
46,"Wu, YM; Kimura, F",Conceptual design of product structure for parts reuse,Proceedings Paper,,End-of-life products are taken back constrainedly by the laws and disassembled to a mass of reusable parts. Design for reusing these taken-back parts into new products has more constraints than conventional design. A new method based on the set theory and constraint digraph is proposed to model design for taken-back parts reuse and to get all feasible designs. The eco-cost which considers product cost and eco-efficiency of parts reuse concurrently is applied to get an optimal design. A structural design of stamping mold is examined as a case for the validity of the proposed method.,10.1007/978-1-84628-935-4_7,0.0
61,"Wang, JG; Jiang, N",Conservation and adaptive-reuse of historical industrial building in China in the post-industrial era,Article,,"The conservation and adaptive-reuse of historical industrial building is one of the most important issues to be solved in today's urban development and construction in China. In this paper, the necessity and academic meaning of the conservation and adaptive-reuse of historical industrial building were discussed by reviewing its development rend both at home and abroad, and the basic contents of the implementation of the conservation and adaptive-reuse of historical industrial building in China with specific cases provided were analyzed. It is the central task for China to put forward the restructuring and design methods, assessment principles and relevant core technical specifications based on the empirical researches on the historical industrial building and site.",10.1007/s11709-007-0064-5,0.0
4,"Keller, P; McConnell, J; Schumacher, T; Thostenson, ET",Construction Stress Monitoring Using a Wireless Sensor Network to Evaluate Reuse Potential of Structural Steel,Article,,"Stresses in structural steel members of steel-framed buildings during construction are difficult to predict with certainty using conventional engineering methods. In order to inform current design practices and provide information to partially evaluate if a steel member can be reused after its service life, construction-induced strains in a typical building were recorded. Specifically, two columns and three Beams of a four-story steel-framed building were instrumented prior to delivery to the construction site using a wireless sensor network. Data were recorded for 48 days, while the structure was erected and the concrete deck poured, up to fireproofing the building. The data were analyzed considering dead load force effects during various construction phases, impacts, and temperatures. The analysis revealed high variations in temperature throughout the structure and consequently significant temperature-induced stresses as well as greater magnitudes of flexural stress in columns than expected. As a result, the recorded stresses differed by 1-120 MPa (0-18 ksi) compared to the theoretically predicted stresses. Yet, the maximum measured stress [160 MPa (23.2 ksi)] was only 46% of the nominal yield strength. Measured stresses were also used to calculate member forces, and the combined member forces resulted in a maximum of 55% of the yield limit. Thus, the results validated current design practices and the possibility of reusing structural steel.",10.1061/(ASCE)ST.1943-541X.0002384,0.0
87,"Kolaventi, S; Tadepalli, T; Mom, H; Kumar, MVNS",Construction waste in India: a structural equation model for identification of causes,Article,,"Construction industries are bulk generators of waste globally; improper management leads to environmental catastrophes. This paper identifies the significant factors through exploratory factor analysis and presents a novel approach to determining the causal relationships of various factors that lead to waste generation at construction sites by structural equation modelling. The analysis identifies maintaining and managing a site waste-management plan (SMP) as the top factor, with a path coefficient of 0.96. The impacts on waste generation of factors such as the operation stage (0.91), ordering and purchasing stage (0.84), hauling and handling stage (0.76), material handling stage (0.73), documentation (0.60) and culture (0.46) are quantified. Appropriate documentation provides the framework for SMP, on the basis of which other mitigation measures may be enforced, thus reinforcing the analysis results of SMP variables. Standardised documentation procedures for SMP need to be initiated and incentivised within existing green building performance rating frameworks, such as Green Rating for Integrated Habitat Assessment and Leadership in Energy and Environmental Design-India.",10.1680/jensu.19.00047,0.0
20,"Bertin, I; Lebrun, F; Braham, N; Le Roy, R","Construction, deconstruction, reuse of the structural elements: the circular economy to reach zero carbon",Proceedings Paper,,"The research work presented aims at setting up an infinite cycle of use of materials by their reuse and answering in particular to the problems of circular economy. Structural work and foundations represent the majority of the embodied energy of a building. The research effort is therefore focused on the structural elements. Reuse is here defined as the reuse of an element without transformation, unlike recycling which induces a new industrial cycle. It is therefore about reducing the consumption of materials and lowering GHG emissions. Today, it is impossible in France to reuse structures because of responsibilities, insurance and lack of traceability. How to make possible the reuse of structural components in order to reach a low carbon building? The challenge of this work is to find the best structural configuration making the components reuse easier at the EOL. The methodology we are implementing aims to design the structural elements by increasing the BIM parameters (6D, LCA), to attach the mechanical information, material durability, ageing to each object of the digital mock-up. A digital and physical traceability makes it possible to follow the evolution of the element over the years and to feed a database. At the end of its life the database is accessible and searchable for the design of a future building. A development of tools and gateways will then allow from a model of calculation to go to query the database to find an element resulting from the deconstruction that can be reused in the future structure.",10.1088/1755-1315/323/1/012020,0.0
179,"Ranta, V; Aarikka-Stenroos, L; Makinen, SJ",Creating value in the circular economy: A structured multiple-case analysis of business models,Article,,"The circular economy (CE) has gained traction as a pathway towards more sustainable economic growth. The main actions leading towards a CE have been identified as the 3R principles of reduce, reuse, and recycle. However, understanding is lacking regarding how the adoption of CE using the 3R principles generates value and revenue in a business context. Thus, this study structurally examines business models used by CE-driven firms utilizing the fundamental business model components of value proposition, value creation/delivery, and value capture. By developing a detailed framework of business model components, acknowledging the particular features of CE implementation, and conducting a multiple-case study combining the business model approach with the 3R principles, this study analyzes feasible CE business models from multiple industries in Europe, the US, and China. The following five research propositions are derived from the findings of the explorative case analysis: 1) the cost-efficiency of circular operations is the key proponent to successful CE business, 2) take-back services enable the acquisition of particular wastes as resources, but they need to be incentivized through reductions in customers' total waste management costs, 3) circular business models require the focal firm to separately manage multiple positions in the value chain, 4) the take-back system for gaining value through CE can be implemented successfully in multiple ways, and 5) recycling is easier to implement than reducing or reusing due to a smaller impact on the business. These propositions contribute to the circular business model literature by showing how economic value is generated by CE initiatives and providing foundations for theory-testing future research. The propositions also provide guidance for policymakers and managers on supporting and implementing circular business. (C) 2018 Elsevier Ltd. All rights reserved.",10.1016/j.jclepro.2018.08.072,0.0
71,"Hasnain, H; Mohseni, F",Creative ideation and adaptive reuse: a solution to sustainable urban heritage conservation,Proceedings Paper,,"The rapid phenomenon of urbanization in the last century has resulted in abandonment of historic urban centers and still today attracting people to suburbs and newly developed districts. This urban expansion poses a serious threat to historic properties when people opt to move away leaving behind their heritage. The adaptive reuse of heritage is considered to be a dominant strategy for handling this issue bypassing demolition of heritage properties. However, the adaptive reuse cannot only consider the preservation of the heritage as the structural retrofit or functional revitalization but rather it needs to enunciate the image and the creative ideation that reflect upon the future of heritage. Consequently, this paper aims to examine the role of branding as an innovative source of ideation in the implication of adaptive reuse on heritage. In this regards, the case study of Zalando outlet store in Berlin is selected, which is an old building situated in the commercial district of the city in a wide range of styles and heritage buildings from the middle ages. This research uses semi-structured interviews to examine the significance of Brand making in a successful adaptive reuse process. The findings indicate that the importance of the outlet building lies not only in its physical fabric or commercial aspects, but the spirit of the place that lies in the magical essence of big labels as emblems. This underlying essence of place stimulated the adaptation of building in a way that it surpasses the physical and functional aspect of a building and makes it merge in new times and new sustainable development.",10.1088/1755-1315/126/1/012075,0.0
98,"Asman, GE; Kissi, E; Agyekum, K; Baiden, BK; Badu, E",Critical components of Environmentally Sustainable Buildings Design Practices of office buildings in Ghana,Article,,"Sustainable building design practices has in recent times become a topical issue among researchers and practitioners. However, in tropical built environment, particularly office buildings, there is inadequate empirical knowledge on practices that should be considered at the design stage of sustainable buildings. This study examines the critical components of environmentally sustainable building practices at the design stage for office buildings in the tropical built environment. Using quantitative research method five hypotheses were tested. The views of 250 professionals in the building industry were elicited using structured questionnaire. A confirmatory factor analysis (CFA) based on Structural Equation Model (SEM) was used to validate the hypotheses. The findings suggest that the five major components that is energy efficiency and conservation, water efficiency and conservation, material conservation, waste reduction, reuse and recycling and humane adaptation all positively influence sustainable design practices of office buildings in tropical regions, specifically Ghana. This finding suggests the critical components for environmentally sustainable building design practices for tropical regions which other tropical countries can emulate. The finding may be useful for professionals during design stage of projects to preserve the environment and its resources.",10.1016/j.jobe.2019.100925,0.0
255,"Dyson, K; Matthews, J; Love, PED",Critical success factors of adapting heritage buildings: an exploratory study,Article,,"Purpose - The loss of heritage buildings should be avoided as they provide a tangible example of a period of life that is now gone. Adaptive re-use enables buildings to be given a second life, enabling them to live on when they may have been previously underutilized. Changing the capacity, function or performance of underutilized buildings for a different purpose, or to suit new conditions, or making use of pre-existing structural elements has become necessary to preserve heritage buildings. The purpose of this paper is to identify the critical success factors (CSF) for the adaptive re-use of heritage buildings. Design/methodology/approach - Identification of CSF for adaptive re-use can provide asset owners, developers and key stakeholders with the knowledge needed to ensure a project is delivered successfully. Due to a lack of research in the area of CSF for heritage buildings, an exploratory approach was undertaken. Semi-structured interviews were undertaken with stakeholders to solicit their views as to CSFs that lead to the successful adaption of all heritage buildings that had been subjected to re-use program in Perth, Western Australia, were examined. Findings - Four CSFs were identified: research; matching function; function; and design and minimal change. It is proffered that by addressing the CSFs issues associated with latent conditions, building layout and commercial risk and uncertainty can be addressed. Yet, the Building Code of Australia will continue to be the most significant issue for owners/developers and project teams who embrace an adaptive re-use project. Originality/value - To date there has been limited research undertaken with regard to determining the CSF for heritage buildings that have been subjected to adaptive re-use. The work presented in this paper identifies the key CSFs that emerged from the stock of heritage building's in Perth, WA. Further research is required to determine the validity of the CSFs, however, those identified provide a benchmark for further studies in this fertile area.",10.1108/BEPAM-01-2015-0002,0.0
178,"Anantharaman, M",Critical sustainable consumption: a research agenda,Article,,"Sustainability scholarship is increasingly focused on individual behavior change and sustainable consumption as crucial components of engendering more sustainable societies. Practices like bicycling to work, recycling and reusing goods, and eating organic food are heralded as both integral to and generative of larger societal transformations. Scholars have begun to identify the individual and societal conditions that can help enable such practices while also examining social, cultural, and systemic dynamics driving over-consumption, particularly in the developed world. Additionally, questions of social and cultural identity have been interrogated, as the cultural politics of sustainable consumption emerges as a key sub-field in its own right. While more recent work has begun to focus on linking individual environmentalisms with the collective processes of changing social systems, sustainable consumption as an analytical concept has largely lacked any deep engagement with questions of power or politics. Questions of power, legitimacy, authority, and consequently justice remain largely unexamined in this field of research. In this paper, I draw on research examining sustainable consumption in India to present an argument for a new direction in sustainable consumption research that prioritizes a critical perspective and is grounded in critical social theory. I argue that sustainable consumption researchers need to look at relational and structural power within sustainable consumption efforts to see how these efforts challenge or reinforce existing patterns of oppression and marginalization and outline a critical sustainable consumption disposition to permeate sustainable consumption study and practice.",10.1007/s13412-018-0487-4,0.0
6,"Bradford, MA; Ataei, A; Liu, X",Deconstructable flush end plate beam-to-column composite joints: component-based modelling,Proceedings Paper,Component method; composite joint; deconstructable; friction grip; FEM,"Within a paradigm of designing building structures for their end-of-life deconstruction, this paper addresses flush end plate beam-to-column composite joints that may be disassembled and reused elsewhere. The joints consist of steel beams bolted to steel columns, and these are made composite over the joint with precast concrete slabs attached to the top flange of the steel beams with post-tensioned high strength bolted shear connectors installed in clearance holes. Joints of this type experience partial shear connection, and accordingly their design needs to incorporate this effect. Experimental work reported elsewhere by the authors shows that a structural system of this type may indeed be deconstructed, even when loaded beyond the serviceability limit state, and that the moment-rotation response is both robust and ductile. A numerical modelling procedure using ABAQUS software is introduced in the paper, and the results of this are used identify the parameters most influential in the structural response, and to propose equations for the initial stiffness, moment capacity and rotation capacity of a joint. These equations are consistent with the component-based representation of the Eurocode 4 and Australian AS2327 composite structures standard.",,
108,"Diyamandoglu, V; Fortuna, LM",Deconstruction of wood-framed houses: Material recovery and environmental impact,Article,,"Deconstruction is the process of disassembling a physical structure to its components in reverse order to that used during construction with minimum damage so that they maintain their original physical properties and structural integrity. In the United States single family houses are constructed of wood frames. Deconstruction is increasingly considered a viable option to demolition in the removal of such buildings. The study reported herein analysis the reduction in GHG emissions and energy savings of recovering the reusable material for the purpose of resale, as a whole and in increments, to that of terminal disposal (landfilling). The analysis examined the following scenarios: (a) current practice in the US, (b) current practice in the European Union, (c) maximum reuse (all recovered materials will be reused), (d) maximum recycling (all recovered materials will be recycled-no reuse), and (e) soft-stripping reuse (only the material that were collected during soft-stripping will be reused, all else will be recycled), using the Waste Reduction Model. The reduction in greenhouse gas emission in the maximum recycling scenario was the highest observed across all scenarios. Soft-stripped materials saved more energy than recycling and contributed to nearly half of the resale value of salvaged materials. (C) 2015 Elsevier B.V. All rights reserved.",10.1016/j.resconrec.2015.04.006,0.0
153,"Figueira, D; Ashour, A; Yildirim, G; Aldemir, A; Sahmaran, M",Demountable connections of reinforced concrete structures: Review and future developments,Review,,"In the current practice, at the end of life of a reinforced concrete structure, it is destructively demolished and the demolition waste is landfilled or recycled. This approach is clearly wasteful of energy, creating serious environmental pollution and at high cost. However, design for demountability/deconstruction (DID) of reinforced concrete structures would facilitate the future reuse of structural elements at the end of their life, potentially achieving a significant reduction in embodied energy of structures as well as giving the clients the benefit of retaining the value of their assets. In this paper, recent research developments and practical applications of DfD of reinforced concrete structures are reviewed and key technical issues are discussed. The main focus was on connections that should be designed in such a way to allow demounting. The main achievements are outlined, for each type of dry and semi dry connections, along with the aspects that still need to be developed. It is concluded that only semi-dry connections are currently implemented but information available in the literature on dry connections between structural elements is still very scarce. The paper concludes with an outline of some future opportunities and challenges in the application of DfD in concrete construction.",10.1016/j.istruc.2021.09.053,0.0
190,"Kruse, B; Shea, K",Design Library Solution Patterns in SysML for Concept Design and Simulation,Proceedings Paper,,"Object-oriented models in the Systems Modeling Language (SysML) are developed in this paper to support the concept development phase within engineering design. Generic libraries in SysML for functions, according to the functional basis, and structural components, are presented in previous work by the authors. This paper extends this work and proposes the use of multi-solution patterns in SysML that combine a new behavior simulation library together with the previous generic libraries describing functions and components. These patterns capture coherent solutions to known problems that can be reused in concept design with the aim to save modeling effort. Since they are based on solution-neutral functions, they also offer multiple potential solutions at once. The new behavior simulation library and solution patterns are demonstrated in this paper using a 3D printer case study with two different kinematic solutions. (C) 2016 The Authors. Published by Elsevier B.V.",10.1016/j.procir.2016.04.132,0.0
133,"Salvalai, G; Sesana, MM; Brutti, D; Imperadori, M",Design and Performance Analysis of a Lightweight Flexible nZEB,Article,,"Starting from an experimental activity, the paper describes research analysis that has been conducted on a real case construction with the aim to design its adaptation as a nearly zero energy building in three possible alternative scenarios: (i) a lab for students' activities in the Lecco University Campus of Politecnico di Milano; (ii) an Alpine shelter for the implementation of a sustainable mountain tourism in Zermatt; (iii) an emergency shelter for poor communities in Burkina Faso. The use of an easily disassembled and lightweight steel structure coupled with dry-layered technologies allows a tailor-made envelope design, ensuring high thermal comfort, very low energy use, and limited construction times. The three case studies have been designed starting from the same architectural/structural concept. A detailed analysis, by means of finite element method and dynamic building thermal simulations, has been performed to predict the overall performances of each case study. The results show: (i) high replicability of the concept; (ii) high customization of the envelope technologies; (iii) high energy efficiency; and (iv) high thermal comfort of the architecture. The useful energy requirement in all the three analyzed scenarios is minimized and equal to 14.13, 23.88, and 41.83 kWh/m(2)year, respectively, for the students' lab, the Alpine shelter and the emergency shelter. According to this study the energy needs can be covered by renewable energy produced on site, making the architectural concept an interesting modular lightweight solution for a nearly zero energy building with high potential for replicability.",10.3390/su12155986,0.0
9,"Wang, L; Webster, MD; Hajjar, JF",Design for Deconstruction for Sustainable Composite Steel-Concrete Floor Systems,Proceedings Paper,Design for Deconstruction; composite floor system; clamping connector; pushout test; composite beam test,"Conventional steel-concrete composite floor systems utilizing steel headed stud anchors and metal decks are cost-effective and widely used solutions for non-residential multi-story buildings, due in part to their enhanced strength and stiffness relative to non-composite systems. Because these systems use steel headed stud anchors welded onto steel flanges and encased in cast-in-place concrete slabs to achieve composite action, it is not possible to readily deconstruct and reuse the steel beams and concrete slabs. As the building industry is moving towards sustainability, there are clear needs for developing sustainable steel-concrete composite floor systems to facilitate material reuse, minimize consumption of raw materials, and reduce end-of-life building waste. This paper presents the behavior and design strategies for a sustainable steel-concrete composite floor system. In this system, deconstructable clamping connectors are utilized to attach precast concrete planks to steel beams to achieve composite action. The load-slip behavior of the clamping connectors was studied in pushout tests, and the test results showed that the clamping connectors possess similar shear strength to 19 mm diameter shear studs and much greater slip capacity. Four full-scale beam tests were performed to investigate the flexural behavior of the deconstructable composite beams under gravity loading and validate the connector behavior attained from the pushout tests. All the beams behaved in a ductile manner. The flexural strengths of the composite beam specimens closely match the strengths predicted for composite beams by the design provisions of the American Institute of Steel Construction (AISC).",,
18,"Conti, L; Barbari, M; Monti, M","Design of Sustainable Agricultural Buildings. A Case Study of a Wine Cellar in Tuscany, Italy",Article,sustainable-building design; gabion-walls; land-consumption; design-for-deconstruction,"This research concerns the design of an agricultural building with a high degree of sustainability, located in a farm in the south of the Tuscany region, Italy. The building, intended mainly as a wine cellar, offers innovative construction solutions of high deconstructability and has features of low environmental impact, economic competitiveness and constructive simplicity. In particular, the design of the basement cellar involves the use of gabions and stones for the realization of the foundations, the ground retaining walls and all other bearing walls. A different solution is adopted for the external wall which remains entirely above ground. It is also made by gabions, but it is externally covered with a coat of straw bales and is plastered with clay or lime. The roof-bearing structure is made of steel beams and galvanized steel sheets. A layer of fertile soil is arranged on the roof to form a green roof system. This research aims to spread the design criteria of deconstructable buildings, based on the use of natural materials with low environmental and economic impact. Where it is not possible to employ natural materials, reusable or recyclable materials are used.",,
136,"Lee, HW; Tommelein, ID; Ballard, G",Design of an Infrastructure Project Using a Point-Based Methodology,Article,,"Our experience in engineering education and practice indicates that methodologies for architecture, engineering, and construction (AEC) design management are characterized only to a limited extent. In domains other than AEC such methodologies are well-established and contribute to improving design performance. A step towards advancing AEC design management is to characterize design practices and explore the methodologies on which they may be based. In this vein, the authors describe a design practice observed while participating in the development of a design-build-operate-and-maintain (DBOM) proposal for an infrastructure megaproject. The development team's design process followed a point-based methodology, i.e., early selection from a small set of design alternatives. The team was structured as a three-party joint venture, but, as observed, integration of efforts and collaboration among its design engineers and contractors were difficult and infrequent. The point-based design methodology used showed limitations. The authors counterpose methodologies including select-and-reuse or set-based design. Especially the latter is worth adopting in our AEC industry because it has resulted in superior design performance in other domains. By characterizing and documenting a design management methodology used in practice and counterposing alternatives, the authors aim to spur discussion on the teaching and practical application of AEC design management methodologies. DOI: 10.1061/(ASCE)ME.1943-5479.0000103. (C) 2012 American Society of Civil Engineers.",10.1061/(ASCE)ME.1943-5479.0000103,0.0
235,"Ramsburg, L; Chao, A; Segal, EM; Draper, P",Design of discretized acrylic shells with heat-induced form-finding,Proceedings Paper,,"Two Blue Shells is a pavilion built for an exhibition of innovative lightweight structures at the 2019 IASS Annual Symposium in Barcelona. This paper presents the ongoing research process for the proposed design. The pavilion consists of two discretized acrylic plastic shell structures that utilize the response of materials exposed to heat as a generator of form. Adding to the ongoing discourse surrounding the challenge of plastic in the waste stream, Two Blue Shells proposes a novel way to reuse small flat sheets of acrylic scrap to create large doubly-curved shell structures without complex molds or fabrication technology. Digital simulations are informed by small-scale prototypes and are used for analysis and iteration of the full-scale form. Technical considerations include connection design, overall strength and stability, and the influence of discretization on global and local curvature. The frame used to hang the acrylic in the oven is an integral aspect of the project. While the frame must respond to limitations based on available oven sizes, it also provides opportunities to influence the final form through manipulation of the boundary conditions. The design of Two Blue Shells integrates a contemporary material with an acknowledgement of past forms like tiled roofs and shell structures found in and around Barcelona. The methodology presented looks to the past as well as the future to seek design solutions to current environmental challenges.",,
230,"Li, Y; Saitou, K; Kikuchi, N; Skerlos, SJ; Papalambros, PY",Design of heat-activated reversible integral attachments for product-embedded disassembly,Proceedings Paper,,"Disassembly is a fundamental process needed for component reuse and material recycling in all assembled products. Integral attachments, also known as snap fits, are favored fastening means in design for assembly (DFA) methodologies, but not necessarily a favored choice for design for disassembly. In this paper, several protorype designs of a new class of integral attachments are presented, where the snapped joints can be disengaged by, the application of localized heat sources. The design problem of reversible integral attachments is posed as the optimization of compliant mechanisms actuated with localized thermal expansion of materials. The Homogenization Design Method is utilized to obtain an optimal structural topology that realizes a desired deformation of snapped featuers for joint release. The obtained optimal topologies are simplified to emhance the manufacturability for the conventional injection molding technologies. Results of the example designes are verified by finite element analyses.",,
