,Unnamed: 0.1,Unnamed: 0,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Use in Thesis,Priority,Use for Thesis,index
22,30.0,35.0,5VNA48KR,preprint,,"Smeyers, Tijl; Deweerdt, Morgane; Mertens, Marilyn","Reuse Toolkit - The reclamation Audit, A guide to  inventory the reuse potential of construction products before demolition",,,,,,A guide to  inventory the reuse potential of construction products before demolition,,2022-04-21 14:31:12,2022-05-01 13:12:34,,,,,,,,,,,,,,,en,,Manual,,,,,,,"/Users/leonhardschonfelder/Zotero/storage/362P24R4/Smeyers et al. - Reuse Toolkit - The reclamation Audit, A guide to .pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Process of Reuse according to INTERREG / ROTOR,
23,31.0,37.0,X8XWCBU5,journalArticle,2022.0,"Guven, Gursans; Arceo, Aldrick; Bennett, Allison; Tham, Melanie; Olanrewaju, Bolaji; McGrail, Molly; Isin, Kaan; Olson, Alexander W.; Saxe, Shoshanna",A construction classification system database for understanding resource use in building construction,Scientific Data,,2052-4463,10.1038/s41597-022-01141-8,https://www.nature.com/articles/s41597-022-01141-8,"The building sector is a voracious consumer of primary materials. However, the study of building material use and associated impacts is challenged by the paucity of publicly available data in the field and the heterogeneity of data organization and classification between published studies. This paper makes two main contributions. First, we propose and demonstrate a building material data structure adapted from UniFormat and MasterFormat, two widely used construction classification systems in North America. Second, the dataset included provides fine grained material data for 70 buildings in North America. The dataset was developed by collecting design or construction drawings for the studied buildings and performing material takeoffs based on these drawings. The ontology is based on UniFormat and MasterFormat to facilitate interoperability with existing construction management practices, and to suggest a standardized structure for future material intensity studies. The data structure supports investigation into how form and building design are driving material use, opportunities to reduce construction material consumption and better understanding of how materials are used in buildings.",2022-02-09,2022-11-07 13:31:08,2022-11-08 16:32:05,2022-02-16 09:04:56,42,,1.0,9,,Sci Data,,,,,,,,en,2022 The Author(s),,,,www.nature.com,,Number: 1 Publisher: Nature Publishing Group,,/Users/leonhardschonfelder/Zotero/storage/ZWSM6BAG/Guven et al. - 2022 - A construction classification system database for .pdf; /Users/leonhardschonfelder/Zotero/storage/PGGRLGY9/s41597-022-01141-8.html,,Classification of building elements,Civil engineering; Environmental impact; Sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Ontology UniFormat and MasterFormat; Dataset of building material data structure,
24,32.0,41.0,9D4UB7W2,journalArticle,2022.0,"Sprecher, Benjamin; Verhagen, Teun Johannes; Sauer, Marijn Louise; Baars, Michel; Heintz, John; Fishman, Tomer",Material intensity database for the Dutch building stock: Towards Big Data in material stock analysis,Journal of Industrial Ecology,,"1088-1980, 1530-9290",10.1111/jiec.13143,https://onlinelibrary.wiley.com/doi/10.1111/jiec.13143,"Re-use and recycling in the construction sector is essential to keep resource use in check. Data availability about the material contents of buildings is significant challenge for planning future re-use potentials. Compiling material intensity (MI) data is time and resource intensive. Often studies end up with only a handful of datapoints. In order to adequately cover the diversity of buildings and materials found in cities, and accurately assess material stocks at detailed spatial scopes, many more MI datapoints are needed. In this work, we present a database on the material intensity of the Dutch building stock, containing 61 large-scale demolition projects with a total of 781 datapoints, representing more than 306,000 square meters of built floor space. This dataset is representative of the types of buildings being demolished in the Netherlands. Our data were empirically sourced in collaboration with a demolition company that explicitly focuses on re-using and recycling materials and components. The dataset includes both the structural building materials and component materials, and covers a wide range of building types, sizes, and construction years. Compared to the existing literature, this paper adds significantly more datapoints, and more detail to the different types of materials found in demolition streams. This increase in data volume is a necessary step toward enabling big data methods, such as data mining and machine learning. These methods could be used to uncover previously unrecognized patters in material stocks, or more accurately estimate material stocks in locations that have only sparse data available. This article met the requirements for a Gold-Gold JIE data openness badge described at http://jie.click/badges.",2022-02,2022-11-23 10:42:35,2022-11-23 10:42:36,2022-11-23 10:42:35,272-280,,1.0,26,,J of Industrial Ecology,Material intensity database for the Dutch building stock,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/leonhardschonfelder/Zotero/storage/FZXS6DW2/Sprecher et al. - 2022 - Material intensity database for the Dutch building.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Big Data in construction - tbd.,
25,33.0,43.0,8FKGSNK8,document,,,bookletfcrbe-4_waste_product.pdf,,,,,,"This is one of a series of seven booklets that have been produced to serve as a taste of what the FCRBE project aims to achieve. The subjects span the broad spectrum of reuse, covering considerations before, during and after with useful information to guide and inspire working with reclaimed materials. The booklets also highlight environmental benefits, clarify grey areas and frequently asked questions regarding best practices, whilst sparking curiosity for a future where use is reuse.",,2022-11-23 15:33:50,2022-11-27 12:04:38,,,,,,,,,,,,,,,,,,,,,,,,/Users/leonhardschonfelder/Zotero/storage/2JDZT7S2/bookletfcrbe-4_waste_product.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Information on reused elements - maybe also use in Introduction,
26,34.0,44.0,7VKWNXGT,document,,,bookletfcrbe-2_fitness_for_use.pdf,,,,,,"This is one of a series of seven booklets that have been produced to serve as a taste of what the FCRBE project aims to achieve. The subjects span the broad spectrum of reuse, covering considerations before, during and after with useful information to guide and inspire working with reclaimed materials. The booklets also highlight environmental benefits, clarify grey areas and frequently asked questions regarding best practices, whilst sparking curiosity for a future where use is reuse.",,2022-11-23 15:33:51,2022-11-27 12:04:36,,,,,,,,,,,,,,,,,,,,,,,,/Users/leonhardschonfelder/Zotero/storage/NKYXJ3E8/bookletfcrbe-2_fitness_for_use.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,information on reusability by FCRBE,
27,36.0,46.0,4N968DR9,document,,,Reclaimed building products guide,,,,,,A guide to procuring reclaimed building products and materials for use in construction projects,,2022-11-23 15:36:30,2022-11-27 12:03:06,,,,,,,,,,,,,,,,,,,,,,,,/Users/leonhardschonfelder/Zotero/storage/JJG85WQ6/Curr.State_Reclaimed-Building-Products-Guide_WRAP_2008.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Information on reused building elements,
28,37.0,47.0,4URY4UVS,document,,Geerts; Ghyoot; Naval,A guide for facilitating the integration of reclaimed building materials in large-scale projects and public tenders,,,,,,"This manual is intended to facilitate the integration of reclaimed building materials and products in a construction project. It is addressed to public owners, architects, contractors and anyone involved in construction projects. The manual has been developed with largescale projects and public tenders in mind. Its content, however, is perfectly applicable in the context of smaller and private developments. This manual is based on practical cases. We analysed construction projects of different scales and types, all of which have succeeded in integrating batches of reclaimed materials and products. We drew on these examples to develop a set of methods, advice and practical recommendations to help users of this guide achieve similar reuse targets. The manual is divided into two sections: - The first section, a general introduction, explains what reuse is, highlights the benefits of this practice, and lists the main sources of reclaimed products (from p.10 to p.22). - The second section is the core of the document. It develops different approaches to integrating reclaimed building elements in a construction project, throughout the different stages of the project development (from p.24 to p.65). The second section is structured following the general chronology of most project developments. It is based on a continuum ranging from the early definition of the brief to the actual building works. This timeline is punctuated by important steps. Each step marks a milestone in the concretisation of the project. Some of them correspond to the arrival of new actors in the process, notably the design team and contractors. We have focussed on seven steps, corresponding to the chapters of Section 2:",,2022-11-23 15:36:30,2022-11-27 12:02:39,,,,,,,,,,,,,FCRBE,,,,,,,,,,,/Users/leonhardschonfelder/Zotero/storage/5Z4EVFIS/Curr.State_fcrbe_wpt3_d1_1_a_guide_for_the_integration_of_reclaimed_building_materials.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Determine which information are needed to use reclaimed building elements; focus on first section. ,
29,38.0,49.0,IPC6IZHN,document,,,"Review of existing pre-demolition tools, policies, resources for identifying, quantifying and organizing the reclamation of reusable elements.",,,,,,No Abstract,,2022-11-23 15:36:31,2022-11-27 12:04:58,,,,,,,,,,,,,FCRBE,,,,,,,,,,,/Users/leonhardschonfelder/Zotero/storage/TT7HZ5SZ/Ass.Frame_FCRBE..pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,tbd,
30,39.0,50.0,ANWF54K4,document,,,Passports for the Construction Sector,,,,,,"In the construction sector, passports are considered to be important means to achieving a more circular construction sector, as they promote reuse at the material, product, element and building levels. This guide is intended as a step towards the standardisation of passports for the construction sector. Platform CB’23 intends to stimulate the transition to a circular construction economy. The guide is relevant to anyone engaged in circular construction. Passports can be applied anywhere in the construction sector: in the buildings sector as well as in civil and hydraulic engineering (infrastructure). In addition, the guide is of interest to all kinds of parties involved in the construction sector - including clients and contractors. The guide was written for readers with different knowledge levels as regards circularity. However, they are assumed to have a basic knowledge of the construction sector. Specific terms related to circular construction are presented in orange and bold the first time that they are used in the text. The definitions of these terms can be found in the Circular Construction Lexicon (Platform CB’23, 2020a). This guide 2.0 is an updated version of guide 1.0, which was published last year. The introduction explains which parts are new.",,2022-11-23 15:36:36,2022-11-27 12:06:46,,,,,,,,,,,,,Platform CB’23,,,,,,,,,,,/Users/leonhardschonfelder/Zotero/storage/AIMTU6SB/Platform_CB23_Guide_Passports_for_the_construction_sector_2.0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Information for Material Passports,
31,40.0,51.0,44PZ9QAP,journalArticle,2020.0,"van den Berg, Marc; Voordijk, Hans; Adriaanse, Arjen",Recovering building elements for reuse (or not) – Ethnographic insights into selective demolition practices,Journal of Cleaner Production,,9596526,10.1016/j.jclepro.2020.120332,https://linkinghub.elsevier.com/retrieve/pii/S0959652620303796,"The construction industry faces growing socio-environmental pressures to close its material loops. Reuse of building elements can, accordingly, reduce both new production and waste. Before any element can be reused, demolition contractors ﬁrst need to recover it. Previous research has not yet explored why such ﬁrms opt to recover some elements and destruct other ones. This research therefore attempts to understand the (socio-technical) conditions which lead to the recovery of a building element for reuse. Data collection consisted of approximately 250 h of (ethnographic) participant observations during the course of a partial selective demolition project in the Netherlands, complemented with semi-structured interviews and project documentation. An analytic induction method was adopted to analyze the data collected. This resulted in a proposition strongly grounded in the data: a building element will be recovered for reuse only when the demolition contractor: (1) identiﬁes an economic demand for the element; (2) distinguishes appropriate routines to disassemble it; and (3) can control the performance until integration in a new building. In-depth insights and practical strategies are provided for each of the three recovery conditions that this proposition captures. Together, this could guide building practice to promote element reuse and lead to cleaner demolition processes.",2020-05-01 00:00:00,2020-12-24 11:23:38,2022-04-16 21:21:53,2022-04-16 21:17:00,120332,,,256,,Journal of Cleaner Production,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/leonhardschonfelder/Zotero/storage/L5MV6XPU/S0959652620303796.html; /Users/leonhardschonfelder/Zotero/storage/RDRLDPIS/van den Berg et al. - 2020 - Recovering building elements for reuse (or not) – .pdf,,,Circular economy; Building; Demolition; Participant observation; Recovery; Reuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"Information which determine if an object is reusable or not (here from an ethnographic point of view) - can set reuse, reusepractice and need for information and reusability in relation to eachother - REUSABILITY! ",
32,41.0,53.0,XWQ24JP7,journalArticle,,"Nakajima, Shiro; Russell, Mark",Working Commission W115 Construction Materials Stewardship,,,,,,"This report is mainly prepared for the objective No.4. The report is intended to provide an overview of the “Barriers for deconstruction” and “Barriers for reuse and recycle” across the world through a series of country reports. In 2005 the CIB Task Group 39 “Deconstruction” produced a report entitled: “Deconstruction and Materials Reuse, an International Overview” (CIB Publication 300). That report summarized the activities that were being conducted by ten countries regarding deconstruction processes and the design for disassembly. W115 members decided to provide an update on the effectiveness of their deconstruction an 8 material reuse programs with a particular emphasis on the barriers encountered and the means that have been employed to overcome these barriers.",,2022-04-16 21:41:42,2022-11-27 11:32:48,,186,,,,,,,,,,,,,en,,,,,Zotero,,,,/Users/leonhardschonfelder/Zotero/storage/77CHYKC4/Nakajima und Russell - Working Commission W115 Construction Materials Ste.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,tbd - look at conclusion,
33,43.0,55.0,M6UUFI2E,journalArticle,,"Coelho, Ana M Girão; Pimentel, Ricardo; Ungureanu, Viorel; Hradil, Petr; Kesti, Jyrki",European Recommendations for Reuse of Steel Products in Single-Storey Buildings,,,,,,"Using reclaimed structural steel members on a project is an effective strategy to reduce the environmental impact of a building by eliminating the energy required to recycle steelwork into new structural sections. The RFCS-funded project PROGRESS (PROvisions for GREater reuse of Steel Structures) focused on single-storey buildings, and it identified various reuse scenarios, depending on the form of construction. It also showed how these structures can be designed to facilitate reuse of the structure or its primary components. The scope of physical reuse of structural steel is limited to: • Members to be reused should not be subject to localised corrosion or damage, • All members to be reused should come from a building structure first constructed after 1970, which is about the time when the Limit State design became common practice, • All salvaged primary members are rolled steel sections. Welded and built-up members are not included in the scope of this document, • For members to be reused, they must be recovered in as much of their original intact length as possible, although some additional fabrication and preparation work may be required. Functional reusability requirements are set out in this publication but the economic value and environmental benefits of reuse are not covered in detail. This document also addresses the key aspects that designers need to take into account in order to facilitate greater reuse of steel structures and also presents some examples of structural reuse.",,2022-10-30 16:51:47,2022-11-27 11:31:57,,234,,,,,,,,,,,,,en,,,,,Zotero,,,,/Users/leonhardschonfelder/Zotero/storage/BDX6QIGI/Coelho et al. - European Recommendations for Reuse of Steel Produc.pdf,,Masterthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Reuse of Steel elements - information,
34,45.0,60.0,K4HBS96C,journalArticle,2019.0,"Brütting, Jan; De Wolf, Catherine; Fivet, Corentin",The reuse of load-bearing components,IOP Conference Series: Earth and Environmental Science,,1755-1315,10.1088/1755-1315/225/1/012025,https://iopscience.iop.org/article/10.1088/1755-1315/225/1/012025,"Load-bearing systems of buildings are poorly valued when they reach functional obsolescence. Still, they contribute the most to the material weight and embodied impacts of buildings and infrastructures. The reuse of structural components therefore offers great potential to save materials, energy and resources. While historic and contemporary projects highlight the environmental, time or cost benefits of building with reclaimed elements, many technological challenges remain. This paper gives an overview of buildings that efficiently reuse structural components as well as a review of current research efforts addressing structural reuse. The first case study is the design process of an elastic gridshell made from reclaimed skis. This project demonstrates the potential of ensuring structural performance while working with uncharacterized and heterogeneous materials. In general, designing structures from a stock of reclaimed elements entails reversing the conventional structural design process. The synthesis of structures has to follow the availability of elements and their mechanical and geometric properties. Developed tools that facilitate such design from reused elements while minimizing embodied environmental impacts are presented in this paper. A second case study demonstrates the relevance of such tools through a conceptual train station roof made from electric pylon elements. Lastly, some key challenges related to the design of structural systems from reused elements are presented. These research initiatives constitute a first step to understand and support the design of load-bearing systems from reused elements and hence to bring the construction industry closer to circular economy.",2019-02-24 00:00:00,2022-04-16 21:28:03,2022-04-16 21:37:02,2022-04-16 21:28:03,012025,,,225,,IOP Conf. Ser.: Earth Environ. Sci.,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/leonhardschonfelder/Zotero/storage/YID9EFCF/Brütting et al. - 2019 - The reuse of load-bearing components.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Reuse of Load bearing components - Steel beam reuse - information ,
35,46.0,62.0,DIELGA3I,journalArticle,2018.0,"Dunant, Cyrille F.; Drewniok, Michał P.; Sansom, Michael; Corbey, Simon; Cullen, Jonathan M.; Allwood, Julian M.",Options to make steel reuse profitable: An analysis of cost and risk distribution across the UK construction value chain,Journal of Cleaner Production,,09596526,10.1016/j.jclepro.2018.02.141,https://linkinghub.elsevier.com/retrieve/pii/S0959652618304542,"Although steel reuse has been identiﬁed as an effective method to reduce the carbon and energy impact of construction, it is in effect only a marginal practice. A detailed analysis of the costs and risks of reuse in practice in the UK is lacking. We found that although there is a sufﬁcient spread between the price of steel scrap and new steel, this difference cannot be captured by the demolition contractors. Rather, reused steel is somewhat more expensive than new elements, except in certain circumstances such as when the reused elements are available from a nearby site, or when testing elements can be avoided. Further, we show that neither the costs of steel reuse, nor the risks, nor its beneﬁts are spread equitably throughout the construction industry supply chain: most of the substantial and capital-intensive changes required for the widespread adoption of steel reuse are concentrated on steelwork contractors and stockists. Based on this analysis, we suggest helping the emergence of a specialised stockist.",2018-05-01 00:00:00,2022-05-02 13:33:29,2022-05-02 13:33:34,2022-05-02 13:33:29,102-111,,,183,,Journal of Cleaner Production,Options to make steel reuse profitable,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/leonhardschonfelder/Zotero/storage/NWAM998A/Dunant et al. - 2018 - Options to make steel reuse profitable An analysi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Read Conclusion - Helpful for information on steel beam reuse (also barriers?),
36,47.0,64.0,T5QTLF63,report,2019.0,"Massop, Jur",Metals Value Chain Report,,,,,,"A huge industry is involved in mining the raw material, smelting it into billets or bars and processing it to create a finished product ready for use. We’re talking of course, about metal products. Next to “virgin” metal (metal from primary resources, e.g. iron ore), recycled or ‘scrap’ metal is used to create products. Whilst the use of recycled metals saves a lot of energy and processes compared to virgin metals production, the use of virgin metal is still a necessity. This is due to the demand of metal products exceeding the supply of scrap, and because desired composition of metal products is achieved by diluting recycled metal with virgin material. Moving toward using 100% recycled, healthy metals for products will require a more symbiotic and collaborative approach from all players within the field. In this report, the challenges of the metals recycling industry moving towards a circular economy are detailed. Both mechanical and health related issues must be dealt with, if the industry is to move to 100% recyclable and/or more recycled products and materials.",2019-02-28 00:00:00,2022-11-23 15:36:58,2022-11-27 11:37:57,,,,,,,,,,,,,,,,,,,,,,,,/Users/leonhardschonfelder/Zotero/storage/2ZHBFQZT/Metals Value Chain.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,"Look more in depth if reuse is also a topic. If not, discard",
37,48.0,65.0,8H7IA6CZ,document,,"MAQUENHEM, Thibault",Méthodologie de diagnostic et d'évaluation des performances pour le réemploi des éléments d'ossature en acier,,,,,,No Abstract,,2022-11-23 15:37:02,2022-11-27 11:39:49,,,,,,,,,,,,,,,,,,,,,,,,/Users/leonhardschonfelder/Zotero/storage/WYVGHSPM/FBE-ECB-enjeu-A-ossature-V9.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Reuse of Steel components - information (tbd),
38,49.0,67.0,GY9F8XIC,journalArticle,2020.0,"Sanchez, Benjamin; Rausch, Christopher; Haas, Carl; Saari, Rebecca",A selective disassembly multi-objective optimization approach for adaptive reuse of building components,"Resources, Conservation and Recycling",,09213449,10.1016/j.resconrec.2019.104605,https://linkinghub.elsevier.com/retrieve/pii/S0921344919305117,"Adaptive reuse of buildings plays a key role in the transition from a resource-based economy and towards a Circular Economy (CE) in the construction industry. Adaptive reuse has the potential to maximize the residual utility and value of existing assets through green design methods such as selective disassembly planning. Studies in the ﬁeld of selective disassembly are scarce and there is no evidence of established methodologies for the optimization of the environmental and ﬁnancial beneﬁts. A multi-objective analysis is key to obtaining several eﬀective selective disassembly plans for the adaptive reuse of an existing asset through the combination of diﬀerent deconstruction methods. The analysis is carried out in terms of the physical, environmental, and economic constraints of the deconstruction methods per building component. The Sequential Disassembly Planning for Buildings (SDPB) method is used in order to generate the optimized disassembly plans for retrieving target components. At the end, a weighted multi-objective optimization analysis is incorporated to generate the set of noninferior solutions that minimizes environmental impacts and building cost. The results show that diﬀerent complete disassembly plans exist for all the possible combinations. The possible combinations are driven by the deconstruction methods per component, as well as the dismantling interdependence. The method described in this study can be used to improve the project outcomes according to speciﬁc goals and constraints (e.g. environmental, economic, technical). The results of this study improve the decision-making process for adaptive reuse building projects by adding comprehensive quantitative analysis towards sustainable management and conservation of resources.",2020-03,2020-12-24 11:22:43,2022-04-16 21:22:26,2022-04-16 21:16:52,104605,,,154,,"Resources, Conservation and Recycling",,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/leonhardschonfelder/Zotero/storage/AEQF2ST3/Sanchez et al. - 2020 - A selective disassembly multi-objective optimizati.pdf; /Users/leonhardschonfelder/Zotero/storage/KEFL2ZSV/S0921344919305117.html,,,Circular economy; Multi-objective optimization; Adaptive reuse; Building components reuse; Green design; Selective disassembly planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,"Look in Conclusion if information for disassembly and reuse present. Otherwise discard, since focus lies on disassembly optimization.",
39,50.0,69.0,GGH4KCAE,journalArticle,2021.0,"Rakhshan, Kambiz; Morel, Jean-Claude; Daneshkhah, Alireza",A probabilistic predictive model for assessing the economic reusability of load-bearing building components: Developing a Circular Economy framework,Sustainable Production and Consumption,,23525509,10.1016/j.spc.2021.01.031,https://linkinghub.elsevier.com/retrieve/pii/S2352550921000312,"The reuse of load-bearing building components has the potential to promote the circular economy in the building sector. One recent aspect of the efforts to improve reuse rates in buildings is estimating the reusability of the structural elements. This study develops a probabilistic predictive model using advanced supervised machine learning methods to evaluate the economic reusability of the load-bearing building elements. The results of sensitivity analysis and visualization techniques used in this study reveal that the most important economic factor is the need to purchase reused elements early in a project, which could have cash flow implications. The other most important factors are the potential financial risks, the procurement process, and the labour cost. This study unveils that the relationship between variables is not linear, and none of the identified factors could alone determine if an element is reusable or not. This study concludes that the complex interdependencies of factors affecting reuse cause a high level of uncertainty about the feasibility of reusing the load-bearing building structural components from an economic aspect. Nonetheless, this paper reveals that by using the probability theory foundations and combining it with advanced supervised machine learning methods, it is possible to develop tools that could reliably estimate the economic reusability of these elements based on affecting variables. Therefore, the authors suggest utilizing the approach developed in this research to promote the circularity of materials in different subsectors of the construction industry.",2021-07,2022-04-16 21:17:37,2022-11-27 11:42:38,2022-04-16 21:17:37,630-642,,,27,,Sustainable Production and Consumption,A probabilistic predictive model for assessing the economic reusability of load-bearing building components,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/leonhardschonfelder/Zotero/storage/NVJ5629P/Rakhshan et al. - 2021 - A probabilistic predictive model for assessing the.pdf,,Masterthesis; Reusability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Reuse and Reuasability of Load-Bearing elements. Especially look at method and set of information used.,
40,51.0,70.0,6ZXDFZQC,journalArticle,2021.0,"Rakhshan, Kambiz; Morel, Jean-Claude; Daneshkhah, Alireza",Predicting the technical reusability of load-bearing building components: A probabilistic approach towards developing a Circular Economy framework,Journal of Building Engineering,,23527102,10.1016/j.jobe.2021.102791,https://linkinghub.elsevier.com/retrieve/pii/S2352710221006495,"The construction sector is the largest consumer of raw materials and accounts for 25%–40% of the total CO2 emissions globally. Besides, construction activities produce the highest amount of waste among all other sectors. According to the waste hierarchies, reuse is preferred to recycling; however, most of the recovery of construction and demolition wastes happens in the form of recycling and not reuse. Part of the recent efforts to promote the reuse rates includes estimating the reusability of the load-bearing building components to assist the stakeholders in making sound judgements of the reuse potentials at the end-of-life of a building and alleviate the uncertainties and perceived risks. This study aims to develop a probabilistic model using advanced supervised machine learning techniques (including random forest, K-Nearest Neighbours algorithm, Gaussian process, and support vector machine) to predict the reuse potential of structural elements at the end-of-life of a building. For this purpose, using an online questionnaire, this paper seeks the experts’ opinions with actual reuse experience in the building sector to assess the identified barriers by the authors in an earlier study. Furthermore, the results of the survey are used to develop an easy-to-understand learner for assessing the technical reusability of the structural elements at the end-of-life of a building. The results indicate that the most significant factors affecting the reuse of building structural components are design-related including, matching the design of the new building with the strength of the recovered element.",2021-10,2022-04-16 21:17:40,2022-04-16 21:17:40,2022-04-16 21:17:40,102791,,,42,,Journal of Building Engineering,Predicting the technical reusability of load-bearing building components,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/leonhardschonfelder/Zotero/storage/DJDRHZ4T/Rakhshan et al. - 2021 - Predicting the technical reusability of load-beari.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Other approach to reusability of load bearing elements - set of information can be used,
41,52.0,71.0,HGKTANAL,journalArticle,2020.0,"Rakhshan, Kambiz; Morel, Jean-Claude; Alaka, Hafiz; Charef, Rabia",Components reuse in the building sector – A systematic review,Waste Management & Research: The Journal for a Sustainable Circular Economy,,"0734-242X, 1096-3669",10.1177/0734242X20910463,http://journals.sagepub.com/doi/10.1177/0734242X20910463,"Widespread reuse of building components can promote the circularity of materials in the building sector. However, the reuse of building components is not yet a mainstream practise. Although there have been several studies on the factors affecting the reuse of building components, there is no single study that has tried to harmonize the circumstances affecting this intervention. Through a systematic literature review targeting peer-reviewed journal articles, this study intends to identify and stratify factors affecting the reuse of components of the superstructure of a building and eventually delineate correlations between these factors. Factors identified throughout this study are classified into six major categories and 23 sub-categories. Then the inter-dependencies between the barriers are studied by developing the correlation indices between the sub-categories. Results indicate that addressing the economic, social and regulatory barriers should be prioritized. Although the impact of barriers under perception, risk, compliance and market subcategories are very pronounced, the highest inter-dependency among the sub-categories is found between perception and risk. It suggests that the perception of the stakeholders about building components reuse is affected by the potential risks associated with this intervention.",2020-04,2022-04-16 21:27:03,2022-11-08 14:23:25,2022-04-16 21:27:03,347-370,,4.0,38,,Waste Manag Res,,,,,,,,en,,,,,DOI.org (Crossref),,Reuse,,/Users/leonhardschonfelder/OneDrive/02_Uni/80_Papers/Other literature/Components_reuse_in_the_building_sector_A_systematic_review.pdf; /Users/leonhardschonfelder/Zotero/storage/S9SWP7PV/Rakhshan et al. - 2020 - Components reuse in the building sector – A system.pdf; /Users/leonhardschonfelder/Zotero/storage/G3CJN54C/Rakhshan et al. - 2020 - Components reuse in the building sector – A system.pdf,,Reuse; Systematic literature review; Reusability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Reuse of load bearing elements - Barriers and factors explored (systematic literature review),
