,Authors,Title,Year,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Use in Thesis,Priority,Use for Thesis,DOI Link
39,"Debacker, Wim; Manshoven; Peters; Ribeiro; De Weerdt",Circular economy and design for change within the built environment: preparing the transition,,,,,,,,,2.0,Look into the Material Passport IT Platform and BIM-Prototype,
40,"Benachio, Gabriel Luiz Fritz; Freitas, Maria do Carmo Duarte; Tavares, Sergio Fernando",Circular economy in the construction industry: A systematic literature review,,10.1016/j.jclepro.2020.121046,,,,,,,2.0,Introduction - Explanation of CE and role of Reuse,
41,"Sassanelli, Claudio; Rosa, Paolo; Rocca, Roberto; Terzi, Sergio",Circular economy performance assessment methods: A systematic literature review,,10.1016/j.jclepro.2019.05.019,,,,,,,3.0,Introduction - Explanation of CE,
42,"Xing, Ke; Kim, Ki Pyung; Ness, David",Cloud-BIM Enabled Cyber-Physical Data and Service Platforms for Building Component Reuse,,10.3390/su122410329,,,,,,,2.0,Look at connection cloud based and which information are stored - does this correlate with the information needed for reusability and MPs?,
43,"Ali, Wajid; Shafique, Muhammad Usman; Majeed, Muhammad Arslan; Raza, Ali",Comparison between SQL and NoSQL Databases and Their Relationship with Big Data Analytics,,10.9734/ajrcos/2019/v4i230108,,,,,,,1.0,Comparision between SQL and NoSQL. Why NoSQL has been chosen for DB instead of SQL.,
44,"Rakhshan, Kambiz; Morel, Jean-Claude; Alaka, Hafiz; Charef, Rabia",Components reuse in the building sector – A systematic review,,10.1177/0734242X20910463,,,,,,,1.0,Reuse of load bearing elements - Barriers and factors explored (systematic literature review),
45,"Bertin I., Lebrun F., Braham N., Le Roy R.","Construction, deconstruction, reuse of the structural elements: The circular economy to reach zero carbon",2019.0,10.1088/1755-1315/323/1/012020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073000967&doi=10.1088%2f1755-1315%2f323%2f1%2f012020&partnerID=40&md5=b08b68408c474fc2262cacc3ce86e378,"The research work presented aims at setting up an infinite cycle of use of materials by their reuse and answering in particular to the problems of circular economy. Structural work and foundations represent the majority of the embodied energy of a building. The research effort is therefore focused on the structural elements. Reuse is here defined as the reuse of an element without transformation, unlike recycling which induces a new industrial cycle. It is therefore about reducing the consumption of materials and lowering GHG emissions. Today, it is impossible in France to reuse structures because of responsibilities, insurance and lack of traceability. How to make possible the reuse of structural components in order to reach a low carbon building? The challenge of this work is to find the best structural configuration making the components reuse easier at the EOL. The methodology we are implementing aims to design the structural elements by increasing the BIM parameters (6D, LCA), to attach the mechanical information, material durability, ageing to each object of the digital mock-up. A digital and physical traceability makes it possible to follow the evolution of the element over the years and to feed a database. At the end of its life the database is accessible and searchable for the design of a future building. A development of tools and gateways will then allow from a model of calculation to go to query the database to find an element resulting from the deconstruction that can be reused in the future structure. © 2019 IOP Publishing Ltd. All rights reserved.",,Carbon; Database systems; Emission control; Greenhouse gases; Query processing; Structural design; Sustainable development; Circular economy; Low-Carbon Buildings; Material durability; Research efforts; Structural component; Structural configurations; Structural elements; Structural works; Architectural design,Conference Paper,,3.0,Read Conclusion and method. Probably too braod.,
46,"Schevers H., Drogemuller R.",Converting the industry foundation classes to the web ontology language,2005.0,10.1109/SKG.2005.59,https://www.scopus.com/inward/record.uri?eid=2-s2.0-42749104905&doi=10.1109%2fSKG.2005.59&partnerID=40&md5=86294af672b5c48370ba06a59fd38faa,"The upcoming next generation of the internet, often referred to as the Semantic Web, will bring a lot of new technologies, one of which is the Web Ontology Language (OWL). One feature of this language is to support interoperability between software applications, including web services and intelligent agents. Another technology to bring interoperability between software programs is ISO-10303 Standard Exchange of Product data (STEP). The Industry Foundation Classes (IFC) have been developed as a building information model for the building and construction industry using technology from STEP. Converting IFC to OWL can be done on different ways. A unidirectional conversion from an IFC to an OWL has been developed for research purposes. The developed prototype converts not all the IFC data to OWL but supports the search for a more appropriate mapping. As the conversion is not straightforward, reengineering the building model to gain more advantages of functionality offered by OWL has to be investigated. © 2006 IEEE.",,Computer programming languages; Data structures; Intelligent agents; Interoperability; Ontology; Semantic Web; Information model; Standard Exchange of Product data (STEP); Web Ontology Language (OWL); World Wide Web,Conference Paper,,2.0,Connection to Powels? Read Conclusion,
47,"Mulhall, Douglas; Braungart, Michael; Hansen, Katja",Creating buildings with positive impacts,,,,,,,,,3.0,tbd,
48,"Abourezq, Manar; Idrissi, Abdellah",Database-as-a-Service for Big Data: An Overview,,10.14569/IJACSA.2016.070124,,,,,,,3.0,"Databases (in this case for BigData) and cloud DBs. Look at conclusion, maybe out of interest, otherwise discard",
49,"Kanters, Jouri",Design for Deconstruction in the Design Process: State of the Art,,10.3390/buildings8110150,,,,,,,3.0,"Look at part ""reuse potential"" otherwise discard",
50,"Bertin, Ingrid; Feraille, Adélaïde; Laratte, Bertrand; Roy, Robert Le","Design for Reuse (DfReu) applied to buildings; anticipate disassembly for the End-of-Life (EoL), in order to preserve resources.",,,,,,,,,3.0,Look at conclusion. Reuse of building elements,
51,Tweed C.,Developing and using ontologies in practice,2011.0,10.1007/978-0-85729-724-2_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032271332&doi=10.1007%2f978-0-85729-724-2_11&partnerID=40&md5=31ec102f533449f0804d74d5b8f4462f,"The previous sections have presented and described ontologies developed for use in a wide range of applications linked to the urban built environment domain. In many cases these ontologies have been developed through university-based research projects to achieve interoperability between different software systems. The interface, therefore, is between systems. In contrast, this section of the book seeks to explore some of the issues that arise when ontologies are introduced into working organisations. What happens at the user-ontology interface? And how does an ontology impinge on the working practices of an organisation? Although it is beyond the scope of the COST Action C21 to answer such questions, we can begin to consider what shape the answers may take. © Springer-Verlag London Limited 2011.",,,Book Chapter,,3.0,Look at conclusion. More interesting for Work / Zirkular.,
52,"Zhang L., Issa R.R.A.",Development of IFC-based construction industry ontology for information retrieval from IFC models,2014.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912567136&partnerID=40&md5=5dbc7434cf037e0bc1808537d7932f80,"The Industry Foundation Classes (IFC) is the preferred format for addressing the interoperability issues in using Building Information Modeling (BIM) in the information-intensive construction industry. IFC specifies virtual representation of building objects as well as their attributes and relationships. Although IFC is an open standard, its complex nature makes information retrieval from an IFC model difficult. This paper proposes an ontology built with Web Ontology Language (OWL) based on IFC specifications to help the information retrieval process from an IFC model. With simple reasoning build into the ontology, an information retrieval system could query the IFC model in XML format directly. The development of the ontology is reviewed and test cases are designed to validate the ontology. Limitations and future studies are also discussed at the end.",,Architectural design; Construction industry; Information retrieval; Intelligent computing; Building Information Model - BIM; Complex nature; Industry Foundation Classes - IFC; Open Standards; Test case; Virtual representations; Web ontology language; XML format; Search engines,Conference Paper,,2.0,Requirements for database? Link ifcOWL to onthology for CE.,
53,"Jayasinghe, Laddu Bhagya; Waldmann, Daniele",Development of a BIM-Based Web Tool as a Material and Component Bank for a Sustainable Construction Industry,,10.3390/su12051766,,,,,,,1.0,"look at way of storing information (methodology), PHP and MySQL",
54,"Akanbi, Lukman A.; Oyedele, Lukumon O.; Omoteso, Kamil; Bilal, Muhammad; Akinade, Olugbenga O.; Ajayi, Anuoluwapo O.; Davila Delgado, Juan Manuel; Owolabi, Hakeem A.",Disassembly and deconstruction analytics system (D-DAS) for construction in a circular economy,,10.1016/j.jclepro.2019.03.172,,,,,,,3.0,"Look at Data storage layer. Otherwise discard, since the paper is more for newly built buildings",
55,"Straub, Ad",Dutch standard for condition assessment of buildings,,10.1108/02630800910941665,,,,,,,3.0,"standardization of condition assessment of buildings. Tbh - only use if still applicable in Thesis: e.g. look at this when ""standardizing"" in RDF or in the ontology (?)",
56,"Durmisevic, Elma",Dynamic and Circular Buildings by High Transformation and Reuse Capacity - Elma Durmisevic,,,,,,,,,1.0,Reusability,
57,"Pauwels P., Terkaj W.",EXPRESS to OWL for construction industry: Towards a recommendable and usable ifcOWL ontology,2016.0,10.1016/j.autcon.2015.12.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952362213&doi=10.1016%2fj.autcon.2015.12.003&partnerID=40&md5=7b68d6f1ef26264826834638644175ab,"An increasing number of information management and information exchange applications in construction industry is relying on semantic web technologies or tools from the Linked Open Data (LOD) domain to support data interoperability, flexible data exchange, distributed data management and the development of reusable tools. These goals tend to be overlapped with the purposes of the Industry Foundation Classes (IFC), which is a standard for the construction industry defined through an EXPRESS schema. A connecting point between semantic web technologies and the IFC standard would be represented by an agreed Web Ontology Language (OWL) ontology for IFC (termed ifcOWL) that allows to (1) keep on using the well-established IFC standard for representing construction data, (2) exploit the enablers of semantic web technologies in terms of data distribution, extensibility of the data model, querying, and reasoning, and (3) re-use general purpose software implementations for data storage, consistency checking and knowledge inference. Therefore, in this paper we will look into existing efforts in obtaining an ifcOWL ontology from the EXPRESS schemas of IFC and analyse which features would be required in a usable and recommendable ifcOWL ontology. In making this analysis, we present our implementations of an EXPRESS-to-OWL converter and the key features of the resulting ifcOWL ontology. © 2015 Elsevier B.V. All rights reserved.",Building; Construction; Industry Foundation Classes (IFC); Information technology; Resource Description Framework (RDF); Semantic web; Web Ontology Language (OWL),Birds; Buildings; Computational linguistics; Computer software reusability; Construction; Construction industry; Digital storage; Electronic data interchange; Information management; Information technology; Ontology; World Wide Web; Distributed data managements; General purpose software; Industry Foundation Classes - IFC; Information exchanges; Linked open data (LOD); Resource description framework; Semantic Web technology; Web ontology language; Semantic Web,Article,,1.0,"IFc and ontology - necessity to link ifc, semantic web technologies and other applications",
58,"Fadai A., Stephan D.",Ecological performance of reusable load-bearing constructions,2022.0,10.1088/1755-1315/1078/1/012123,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139134436&doi=10.1088%2f1755-1315%2f1078%2f1%2f012123&partnerID=40&md5=6060a19bb941edac559d7c8373396e9b,"This study provides an overview of sustainable reusable load-bearing constructions as a contribution to the debate over whether building construction provides the building industry with the best and most environmentally friendly qualities. By contrasting their building-specific features, it demonstrates the benefits and drawbacks of particular structural elements and envelope solutions and ecological aspects using various system boundaries of life-cycle assessment (LCA). Following a careful consideration of ecological factors and sustainable circular economy criteria, a structural component that is sustainably optimized is defined. This component should be chosen based on external conditions. By selecting environmentally friendly building materials and proper connecting procedures that enable separability, resource-efficient and sustainable buildings can be achieved. Both the selection of load-bearing elements and the necessary insulating material have a significant impact on the ecological performance and reusability options of the components. The elements of homogeneity, separability, and pollutantfreeness play a significant influence in the reuse process, namely in terms of details and construction type in general, as well as the ways of reusing and recycling them. Sustainable solutions for load-bearing building components can be created by simultaneously investigating environmentally friendly building materials and the structure of the components. This paper illustrates how the natural resources can be used both optimally and sustainably. It presents a conceptual framework for scenario development of the LCA of load-bearing structures, their effect on the design and decision-making process. There is a potential of increasing total resource efficiency at the building level with a suitable combination of the material components employed at the component level. Because of this, the overall energy efficiency and its consequent ecological impacts are the main topics of this study. © 2022 Institute of Physics Publishing. All rights reserved.",Deconstruction; Recycling; Reduce; Resource Efficiency; Reusable Construction; Reuse; Structural Components; Sustainable Architecture,,Conference Paper,,3.0,Might help to underline why using steel? Due to it's environmental footprint.,
59,"Akbarnezhad, A.; Ong, K.C.G.; Chandra, L.R.",Economic and environmental assessment of deconstruction strategies using building information modeling,,10.1016/j.autcon.2013.10.017,,,,,,,2.0,Look into conclusion - used for existing or new building?,
60,"Pauwels P., Krijnen T., Terkaj W., Beetz J.",Enhancing the ifcOWL ontology with an alternative representation for geometric data,2017.0,10.1016/j.autcon.2017.03.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017365533&doi=10.1016%2fj.autcon.2017.03.001&partnerID=40&md5=e0baaa1cdebd7436e114ace83089d39f,"Over the past few years, several suggestions have been made of how to convert an EXPRESS schema into an OWL ontology. The conversion from EXPRESS to OWL is of particular use to the architectural design and construction industry, because one of the key data models in this domain, namely the Industry Foundation Classes (IFC), is represented using the EXPRESS information modelling language. These conversion efforts have by now resulted in a recommended ifcOWL ontology that stays semantically close to the EXPRESS schema. Two major improvements could be made in addition to this ifcOWL basis. First, the ontology could be split into diverse modules, making it easier to use subsets of the entire ontology. Second, geometric aggregated data (e.g. lists of coordinates) could be serialised into alternative, less complex semantic structures. The purpose of both improvements is to make ifcOWL data smaller in size and complexity. In this article, we focus entirely on the second topic, namely the optimization of geometric data in the semantic representation. We outline and discuss the diverse available options in optimizing the data representations used. We quantify the impact of these measures on the ifcOWL ontology and instance model size. We conclude with an explicit recommendation and give an indication of how this recommendation might be implemented in combination with the already available ifcOWL ontology. © 2017 Elsevier B.V.",BIM; Data exchange; Geometry; IFC; Linked data; OWL,Architectural design; Birds; Construction industry; Electronic data interchange; Geometry; Modeling languages; Semantics; Aggregated datum; Complex semantic structures; Data representations; Design and construction; Industry Foundation Classes - IFC; Information modelling; Linked datum; Semantic representation; Ontology,Article,,3.0,"IFC and ontologies - only necessary to read if ""Express to OWL construction industry: Towards a recommendable and usable ifcOWL ontology"" is useful. ",
61,"Hoxha E., Fivet C.",Environmental benefits when reusing load-bearing components in office buildings: A case study,2018.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086590390&partnerID=40&md5=a285c6b50f3a669f0ef6b238c8802148,"This case study applies life-cycle assessment methods to the preliminary design of an office building in order to quantify the benefits achieved when reusing its load-bearing components. Results show that the production of the load-bearing system would account for 40% of the global warming potential indicator. The slabs are responsible for 65% of the environmental impacts among all structural elements and should be considered for reuse first. Compared to traditional constructions built from first-use material, a fictitious reuse of undamaged load-bearing components over three consecutive use cycles would reduce the global warming potential indicator by 25%. The global warming potential of reuse is eventually computed according to three repartition methods, highlighting the need to separate the life-cycle footprints related to production, use, and end-of-life more systematically. © PLEA 2018.All rights reserved.",Building life cycle assessment; Net zero energy building; Reuse,Environmental impact; Global warming; Office buildings; Environmental benefits; Global warming potential; Life Cycle Assessment (LCA); Load-bearing components; Load-bearing systems; Preliminary design; Structural elements; Traditional constructions; Life cycle,Conference Paper,,3.0,Introduction and Context - underline why important to reuse strucutral elements (in terms of CO2-savings),
62,"Zygomalas I., Baniotopoulos C.",Environmental impact assessment of end-of-life scenarios for steel buildings,2016.0,10.1080/19648189.2015.1036125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955332802&doi=10.1080%2f19648189.2015.1036125&partnerID=40&md5=e7dfb3ea37addcc30fc5b65bfad08b8d,"Environmental sustainability requires all business sectors to decrease the environmental impact associated with the delivery of their services and products. An efficient response from the building sector requires research aimed at the minimisation of the environmental impact of buildings throughout their life cycle, from construction to demolition. The end of a buildings service life can critically influence the total environmental impact, particularly with building technologies such as steel construction. The purpose of the current research was the assessment of the environmental impact caused by different end-of-life scenarios as can be applied to steel buildings. An existing residential steel building is used for the calculations, while the results allow for the comparison between the different end scenarios concerning the main structural materials used, namely the structural steel. Conclusions drawn include the formation of a clear perspective on the environmental impact benefits that can be achieved at the end of a steel buildings life cycle and the positive effects of the steel construction technology as applied to building projects in terms of environmental sustainability. The increased potential of the reuse and relocation scenarios in terms of environmental sustainability are also highlighted. © 2015 Taylor & Francis.",end scenarios; environmental impact assessment; life cycle; life cycle assessment (LCA); steel buildings; structural steel,Building materials; Buildings; Construction; Environmental impact assessments; Environmental technology; Life cycle; Steel construction; Sustainable development; Building projects; Building technologies; Construction technologies; end scenarios; Environmental sustainability; Life Cycle Assessment (LCA); Steel buildings; Structural steels; Environmental impact,Article,,3.0,Introduction and Context - underline why important to reuse structural elements (here steel),
63,"Coelho, Ana M Girão; Pimentel, Ricardo; Ungureanu, Viorel; Hradil, Petr; Kesti, Jyrki",European Recommendations for Reuse of Steel Products in Single-Storey Buildings,,,,,,,,,1.0,Reuse of Steel elements - information,
64,,Evaluating reuse potential Material profiles - re-use vision for project workflow,,,,,,,,,2.0,Reusability,
65,Gómez-Pérez A.,Evaluation of ontologies,2001.0,10.1002/1098-111X(200103)16:3<391::AID-INT1014>3.0.CO;2-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035278980&doi=10.1002%2f1098-111X%28200103%2916%3a3%3c391%3a%3aAID-INT1014%3e3.0.CO%3b2-2&partnerID=40&md5=af50901aa7996cd735d9656357e92bec,"The evaluation of ontologies is an emerging field. At present, there is an absence of a deep core of preliminary ideas and guidelines for evaluating ontologies. This paper presents a brief summary of previous work done on evaluating ontologies and the criteria (consistency, completeness, conciseness, expandability, and sensitiveness) used to evaluate and to assess ontologies. It also addresses the possible types of errors made when domain knowledge is structured in taxonomies in an ontology and in knowledge bases: circularity errors, exhaustive and nonexhaustive class partition errors, redundancy errors, grammatical errors, semantic errors, and incompleteness errors. It also describes the process followed to evaluate the standard-units ontology already published at the Ontology Server.",,Computational complexity; Computational linguistics; Computer programming languages; Errors; Knowledge engineering; Knowledge sharing; Ontology; Ontology server; Knowledge based systems,Article,,2.0,"Use to test ontologies and own ontology, if developed. ",
66,"Kamsu-Foguem B., Abanda F.H.",Experience modeling with graphs encoded knowledge for construction industry,2015.0,10.1016/j.compind.2015.02.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928492020&doi=10.1016%2fj.compind.2015.02.004&partnerID=40&md5=93eba9dbafb3562b50d0ea18aafce4b9,"The Architecture, Engineering and Construction (AEC) industry is becoming increasingly knowledge intensive. Knowledge management has been hailed as an enabler for tapping this knowledge to improve efficiency in the AEC industry. In this study, the main concepts and benefits of knowledge management, relationships between knowledge management and continuous improvement have been examined. Furthermore, emphasis has been laid on knowledge management through experience feedback processes which constitute valuable assets for the AEC industry. This is done through the employment of ontologies and graph-based reasoning operations in eliciting and visualizing knowledge concepts in the AEC domain. The proposed approach which consists of two main aspects provides the opportunity to examine the conceptual and ontological knowledge models with associated reasoning. In the first, the concepts of knowledge management, their significance and application in the AEC field are discussed. The second deals with a methodological framework for the modeling and reasoning in the domain ontology. To facilitate automation, an ontology graph-based editor, Conceptual Graphs User Interface (CoGui) was used to model knowledge and encoded reasoning in the knowledge base. CoGui encodes knowledge as conceptual graphs and reasoning as graph operations that can be visualized in a logically precise way, based on domain ontologies. It emerged that CoGui could be very useful in acquiring information that can be used in collaboration with others to continuously improve information sharing and re-use. A French AEC company located in the Southwest region was employed as a case study in illustrating knowledge modeling through the experience feedback process. For each phase of experience feedback, actions that were implemented in the company are discussed. © 2015 Elsevier B.V. All rights reserved.",AEC industry; Conceptual graphs; Domain ontology; Knowledge formalization; Visual reasoning,Construction industry; Graphic methods; Knowledge based systems; Ontology; User interfaces; AEC industry; Conceptual graph; Domain ontologies; Knowledge formalizations; Visual reasoning; Knowledge management,Article,,3.0,"Graph based knowledge representation - look at conlcusion, method. Connection to Ontologies and GraphDB?",
67,"Costa R., Lima C., Sarraipa J., Jardim-Gonçalves R.",Facilitating knowledge sharing and reuse in building and construction domain: An ontology-based approach,2013.0,10.1007/s10845-013-0856-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027945652&doi=10.1007%2fs10845-013-0856-5&partnerID=40&md5=a8a9a662740f10cda8ff32f85a989a83,"This paper brings a contribution focused on collaborative engineering projects where knowledge plays a key role in the process. Collaboration is the arena, engineering projects are the target, knowledge is the currency used to provide harmony into the arena since it can potentially support innovation and, hence, a successful collaboration. The building and construction domain is challenged with significant problems for exchanging, sharing and integrating information between actors. For example, semantic gaps or lack of meaning definition at the conceptual and technical level, are problems fundamentally created through the employment of representations to map the ‘world’ into models in an endeavour to anticipate different actors’ views, vocabulary, and objectives. One of the primary research challenges addressed in this work is the process of formalization and representation of document content, where most existing approaches are limited in their capability and only take into account the explicit, word-based information in the document. The research described in this paper explores how traditional knowledge representations can be enriched by incorporation of implicit information derived from the complex relationships (the Semantic Associations) modelled by domain ontologies combined with the information presented in documents, thereby providing a baseline for facilitating knowledge interpretation and sharing between humans and machines. The paper introduces a novel conceptual framework for representation of knowledge sources, where each knowledge source is semantically represented (within its domain of use) by a Semantic Vector. This work contributes to the enrichment of Semantic Vectors, using the classical vector space model approach extended with ontological support, employing ontology concepts and their relations in the enrichment process. The test bed for the assessment of the approach is the Building and Construction industry, using an appropriateB&CdomainOntology. Preliminary results were collected using a clustering algorithm for document classification, which indicates that the proposed approach does improve the precision and recall of classifications. Future work and open issues are also discussed. © Springer Science+Business Media New York 2013.",Knowledge sharing; Ontology engineering; Semantic interoperability; Unsupervised document classification; Vector space models,Clustering algorithms; Construction; Construction industry; Data mining; Engineering research; Information management; Information retrieval systems; Knowledge management; Knowledge representation; Ontology; Semantics; Vectors; Document Classification; Knowledge-sharing; Ontology engineering; Semantic interoperability; Vector space models; Vector spaces,Article,,3.0,"Look at knowledge formalization - if not, discard",
68,"Fierro G., Koh J., Nagare S., Zang X., Agarwal Y., Gupta R.K., Culler D.E.",Formalizing Tag-Based Metadata With the Brick Ontology,2020.0,10.3389/fbuil.2020.558034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092310442&doi=10.3389%2ffbuil.2020.558034&partnerID=40&md5=1481596d9f9fc9b06d102c1fad1111c8,"Current efforts establishing semantic metadata standards for the built environment span academia, industry and standards bodies. For these standards to be effective, they must be clearly defined and easily extensible, encourage consistency in their usage, and integrate cleanly with existing industrial standards, such as BACnet. There is a natural tension between informal tag-based systems that rely upon idiom and convention for meaning, and formal ontologies amenable to automated tooling. We present a qualitative analysis of Project Haystack, a popular tagging system for building metadata, and identify a family of inherent interpretability and consistency issues in the tagging model that stem from its lack of a formal definition. To address these issues, we present the design and implementation of the Brick+ ontology, a drop-in replacement for Brick with clear formal semantics that enables the inference of a valid Brick model from an informal Haystack model, and demonstrate this inference across five Haystack models. © Copyright © 2020 Fierro, Koh, Nagare, Zang, Agarwal, Gupta and Culler.",Brick; building management; metadata; ontologies; OWL; Project Haystack; RDF; smart buildings,,Article,,3.0,"Look at BACnet, BRICK and BRICK+. Read conclusion, discard. ",
69,"Ramaprasad A., Prakash A.N.",Fostering knowledge sharing in project management,2009.0,10.1109/HICSS.2009.222,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650760329&doi=10.1109%2fHICSS.2009.222&partnerID=40&md5=0a0fe3fe218909428f580be44bea3787,"We present an ontological analysis of the problem of fostering knowledge sharing in project management. The ontology has five dimensions derived by parsing the problem statement, namely: (a) fostering methods, (b) fostering factors, (c) fostering functions, (d) knowledge types, and (e) knowledge sharing methods. Each dimension is a taxonomy of discrete categories. The exhaustive set of combinations of categories across the five dimensions, together with appropriate connecting words and phrases, constitutes a closed description of the problem. We map (a) the extant literature on knowledge sharing, and (b) the extensive experience of one of the authors in construction project management, to these combinations to synthesize (a) the current state-of-the-knowledge on the topic, (b) the gaps in it, and (c) an agenda for further research. The method is systematic, logical, repeatable, and extensible. © 2009 IEEE.",,Construction project managements; Knowledge types; Knowledge-sharing; Ontological analysis; Problem statements; Construction industry; Ontology; Taxonomies; Project management,Conference Paper,,2.0,Look at (a) extant literature on knowledge sharing - find source for formalization of knowledge?,
70,,Framework for Material Passports - Extract from an internal BAMB Report - MPP,,,,,,,,,2.0,Challenges and Requirements for MPP (Material Passport Plattform). Look at information needed for MPs and why the MPP failed - proof of need for other approach?,
71,"Kim S., Kim S.-A.",Framework for designing sustainable structures through steel beam reuse,2020.0,10.3390/su12229494,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096054530&doi=10.3390%2fsu12229494&partnerID=40&md5=d9841cfa83eddaa3a6f3de3d54074dda,"The architecture, engineering, and construction sector requires carbon-intensive materials, such as steel, in the construction process and generates a large amount of waste in the life cycle. This causes global warming and waste problems. The demand for the reuse of construction materials is increasing, although it is not the convention, to reduce the environmental impact. Although the sustainable effect of the reuse of materials has been proven in several studies, materials are not always reused in practice, owing to the lack of an information system for reusable materials and the economic uncertainty. In this study, we propose a framework for designing structures using reusable steel beams. The design framework consists of a material bank and a design support tool. The material bank provides information on reusable materials based on the building information modeling. The design support tool generates efficient material procurement plans and provides information about the environmental and economic impact of the project. In a case study used to verify the framework, CO2 emissions were reduced by up to 77% through material reuse, which was consistent with the results of previous studies. However, owing to the cost of processing reusable materials, the overall cost was found to increase by up to about 40%. Therefore, an economic analysis over the entire life cycle when using reusable materials needs to be done. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Building information modeling; Design for reuse; Life cycle assessment; Life cycle cost; Material bank; Reuse,carbon emission; construction material; economic analysis; economic impact; environmental impact; global warming; life cycle analysis; recycling; steel; sustainability; uncertainty analysis,Article,,2.0,"Reuse of steel elements, Context Switzerland. Read conclusion ",
72,"Zhang, Hong-Chao; Kuo, Tsai",Graph-based approach to disassembly model for end-of-life product recycling,,10.1109/IEMT.1996.559739,,,,,,,1.0,Look at database and data management,
73,"Henrotay, C.",How do current policies support a transition towards a circular economy in the built environment?,,,,,,,,,3.0,Introduction - Regulations in EU context on Reuse and CE,
74,"Zhang L., Issa R.R.A.",IFC-based construction industry ontology and semantic web services framework,2011.0,10.1061/41182(416)81,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053167665&doi=10.1061%2f41182%28416%2981&partnerID=40&md5=5bd35c8cca834737260a9270f60ef8f6,"A construction project is a multi-disciplinary team effort combining inputs from various domains, for which interoperability is of great importance. Currently existing data exchange problems between different software applications is adversely impacting the overall productivity of the Architecture, Engineering and Construction (AEC) industry. The use of Industry Foundation Classes (IFC) has been proposed to help address the lack of interoperability throughout construction industry. But the IFC specification itself is too complicated for normal users without special training. This paper proposes a semantic Web Services framework utilizing IFC-based industry ontology to address the interoperability problem. First, the possibility of building an IFC-based construction industry ontology is reviewed. Then, a framework to build semantic Web Services on this ontology is suggested. Both a core service and an assistant service is included. The framework could be easily expanded as long as the same Web Services model and the common ontology is observed. Once implemented, the framework could be utilized by any IFC-supported BIM applications, as well as personnel without extensive knowledge of IFC specifications, for more precise, consistent and up-to-date project information retrieval. This approach is expected to further the effort of IFC and enhance and improve interoperability in the AEC industry without requiring extremely technologically savvy users. © 2011 ASCE.",Construction industry; Information management; Internet,"AEC industry; Architecture , engineering and construction industries; Construction projects; Industry Foundation Classes - IFC; Multi-disciplinary teams; Software applications; Architectural design; Civil engineering; Construction industry; Electronic data interchange; Information management; Information retrieval; Internet; Interoperability; Ontology; Semantic Web; Specifications; Web services",Conference Paper,,3.0,Interoperability of IFC-ontology. Read conlcusion. Maybe discard,
75,,"INTERREG - Digital products, services and tools supporting the recovery of building materials sourced from deconstruction operations",,,,,,,,,2.0,Introduction - Context of digitization and Reuse,
76,Ekholm A.,ISO 12006-2 and IFC - Prerequisites for coordination of standards for classification and interoperability,2005.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-26844580927&partnerID=40&md5=43bca29cc462b87f94bb94b5e9ef2411,"There are two major candidates for Core Ontologies for the construction and facilities management sector, the ISO 12006-2 Framework for classification of information, and the Industry Foundation Classes, IFC. ISO 12006-2 has been developed to harmonize different national and regional classification systems. It is applied world wide in the development of classification systems for everyday use in the construction industry. The IFCs are intended to enable effective information sharing within the AEC/FM industry, but are still mainly at a prototype stage of development. The standards have similar objectives but show fundamental differences in semantics and structure. This work compares the standards and points out similarities and differences, firstly in order to understand their structure, and secondly to initiate a discussion about the need and the possibility to coordinate them. An integration of IFC with ISO 12006-2 would facilitate and speed up the application in everyday practise of object-based information management. According to the documentation, the starting point of IFC was to reject classification, and therefore integration with ISO 12006-2 would require a major shift of approach. Development of a common meta model, a generic domain model, and a coordinated domain framework are considered necessary tasks.",Construction classification; IFC; Interoperability; ISO 12006-2; Onstruction ontology,,Review,,3.0,Need to say why IFC and not ISO12006-2 used for integration/ use for ontology? ,
