,Unnamed: 0.1,Unnamed: 0,Authors,Title,Year,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Type,Article Title,Keywords Plus,Publication Date,Publication Year,DOI Link,Use in Thesis,Priority,Use for Thesis
47,327,272,"Wang G., He G., Bian L.",Ontology-based interorganizational knowledge management in sustainable construction project,2011.0,10.4028/www.scientific.net/AMR.243-249.6339,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958048907&doi=10.4028%2fwww.scientific.net%2fAMR.243-249.6339&partnerID=40&md5=61b94c1dbbc6b4f71a67fa11ea8fe7b0,"Due to the great negative impact, the construction industry needs to undergo a paradigm shift from traditional construction to sustainable construction. To reach the goal of sustainable development, the construction industry needs to intensify its efforts to move to a knowledge intensive mode. Based on the analysis of e-Cognos and the concept of ontology, this paper proposes that e-Cognos ontology can be applied in the development of sustainable construction process ontology, which is a key part of knowledge management system (KMS). Following this, the application process of ontology-based KMS is analyzed using IDEF0 modeling method. Finally, this paper analyzes interorganizational collaboration model in sustainable project. © (2011) Trans Tech Publications.",IDEF0; Knowledge management; Ontology; Sustainable construction,Application process; IDEF0; Interorganizational collaboration; Key parts; Knowledge management system; Modeling method; Negative impacts; Ontology-based; Paradigm shifts; Sustainable construction; Sustainable project; Building materials; Civil engineering; Construction equipment; Construction industry; Knowledge based systems; Knowledge management; Ontology; Project management,Conference Paper,,,,,,,,2,Sustainable Construction Ontology - look at conclusion
49,332,226,"Zhang L., Issa R.R.A.",Ontology-based partial building information model extraction,2013.0,10.1061/(ASCE)CP.1943-5487.0000277,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886505825&doi=10.1061%2f%28ASCE%29CP.1943-5487.0000277&partnerID=40&md5=b9a8c8ddfa9c19adfe8fc230f9960bfa,"The current application of building information modeling (BIM) in the construction industry is generally focused on using the complete building information model during the life cycle of the project. With more information being added to the model, the size of the model file and the difficulty to manipulate the model increase. However, different use scenarios may only require access to certain specific information stored in the model. In contrast with the ample research of ontology applications in construction knowledge management, research of ontology in construction modeling has been limited. Hence, the purpose of this study is to use ontology in the extraction of a partial building information model from the original complete model. The building information models covered in this study are in the Industry Foundation Classes (IFC) format, which is a widely supported open BIM standard. An ontology TBox is developed according to the existing IFC schema specifications. For each specific IFC model, an ontology ABox is generated at run time, combining the ontology TBox and the IFC instances in the model. The ABox works as an index in the partial model extraction algorithm. A prototype Java program based on the algorithm was developed to demonstrate and validate the algorithm using both a sample model and an IFC model from a real building. The results indicated that the use of ontology provides a valid way to deal with the technical complexity of IFC models. © 2013 American Society of Civil Engineers.",Building information modeling (BIM); Extraction algorithm; Industry Foundation Classes (IFC); Ontology; Partial model,Building Information Model - BIM; Construction knowledge managements; Extraction algorithms; Industry Foundation Classes - IFC; Ontology applications; Partial modeling; Specific information; Technical complexity; Algorithms; Buildings; Computer software; Construction industry; Extraction; Java programming language; Knowledge management; Ontology; Architectural design,Conference Paper,,,,,,,,1,Difference between ontology for construction knowledge management and ontology for construction modeling. Look at the differentiation
50,344,175,"Zhou Z., Goh Y.M., Shen L.",Overview and Analysis of Ontology Studies Supporting Development of the Construction Industry,2016.0,10.1061/(ASCE)CP.1943-5487.0000594,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992217086&doi=10.1061%2f%28ASCE%29CP.1943-5487.0000594&partnerID=40&md5=5ec5f002e31865699146067289d621d8,"Being information-intensive, the construction industry has the feature of multiagents, including multiparticipants from different disciplines, multiprocesses with a long-span timeline, and multidocuments generated by various systems. The multistakeholder context of the construction industry creates problems such as poor information interoperability and low productivity arising from difficulties in information reuse. Many researchers have explored the use of ontology to address these issues. This study aims to review ontology research to explore its trends, gaps, and opportunities in the construction industry. A systematic process employing three-phase search method, objective analysis and subjective analysis, helps to provide enough potential articles related to construction ontology research, and to reduce arbitrariness and subjectivity involved in research topic analysis. As a result, three main research topics aligned with the ontology development lifecycle were derived as follows: information integration based on ontology, ontology building, and ontology application. In addition, research gaps and the corresponding research agenda were identified. This detailed review provides the basis for further studies on the use of ontology in the construction industry. The research trends and gaps can serve as motivation for researchers and practitioners to work on the next generation of ontology studies to support the development of the construction industry. © 2016 American Society of Civil Engineers.",Cluster analysis; Construction industry; Information interoperability; Knowledge representation; Ontology; Semantic web; Word cloud,Cluster analysis; Construction industry; Interoperability; Knowledge representation; Ontology; Semantic Web; Information integration; Information interoperability; Information re use; Ontology applications; Ontology development; Subjective analysis; Systematic process; Word clouds; Information use,Article,,,,,,,,1,Overview over ontologies in the construction industry
52,362,179,"Pauwels P., De Farias T.M., Zhang C., Roxin A., Beetz J., Roo J.D., Nicolle C.",Querying and reasoning over large scale building data sets: An outline of a performance benchmark,2016.0,10.1145/2928294.2928303,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044624002&doi=10.1145%2f2928294.2928303&partnerID=40&md5=1edaee36a482d8f3c13745c28eb65c5a,"The architectural design and construction domains work on a daily basis with massive amounts of data. Properly managing, exchanging and exploiting these data is an ever ongoing challenge in this domain. This has resulted in large semantic RDF graphs that are to be combined with a significant number of other data sets (building product catalogues, regulation data, geometric point cloud data, simulation data, sensor data), thus making an already huge dataset even larger. Making these big data available at high performance rates and speeds and into the correct (intuitive) formats is therefore an incredibly high challenge in this domain. Yet, hardly any benchmark is available for this industry that (1) gives an overview of the kind of data typically handled in this domain; and (2) that lists the query and reasoning performance results in handling these data. In this article, we therefore present a set of available sample data that explicates the scale of the situation, and we additionally perform a query and reasoning performance benchmark. This results not only in an initial set of quantitative performance results, but also in recommendations in implementing a web-based system relying heavily on large semantic data. As such, we propose an initial benchmark through which new upcoming data management proposals in the architectural design and construction domains can be measured. © 2016 ACM.",Benchmark; Big data; Building information modeling; Built environment; IFC; OWL; Reasoning; Semantic web,Architectural design; Benchmarking; Data handling; Information management; Semantic Web; Building Information Model - BIM; Building products; Built environment; Design and construction; Large scale buildings; Point cloud data; Reasoning; Reasoning performance; Big data,Conference Paper,,,,,,,,2,V as Variety - paper looks at different data handled in CI BigData. Especially look at '(1) gives an overview of the kind of data typically handled in this domain'
53,363,117,"Werbrouck J.M., Senthilvel M., Beetz J., Pauwels P.",Querying heterogeneous linked building data with context-expanded GraphQL queries?,2019.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068806275&partnerID=40&md5=2128318c30b25e467ca0eb415fb1e9fa,"Linked Data in the construction industry is a topic gaining serious interest over the last years. However, this interest remains largely academic and has not sparked much adoption of web technologies in the field. To nourish adoption of Linked Data in practice, access to the data has to be made more easy. SPARQL, the recommended RDF query language, has proven very powerful for retrieving and updating RDF datasets. However, due to its verbosity and complexity, it is often considered a threshold for developers to implement in their tools. In this paper, we compare SPARQL with Linked Data querying languages that extend the GraphQL syntax, in context of querying building datasets: HyperGraphQL and GraphQL-LD. Since it went open source in 2015, GraphQL has been adopted by a large community of developers, partly due to its elegance and conciseness. As a use case, the queries are performed on an RDF-based multi-model that relies on the recent ISO standard ICDD (ISO 21597). ICDD interlinks information on a sub-document identifier level, based on OWL. It is aimed at the industry in that it adds a layer of Linked Data to documentation formats that are still widely used in practice: IFC, spreadsheets, imagery etc. Therefore, it is considered a tuned use case for comparing these different RDF query languages. © 2019 CEUR-WS. All rights reserved.",GraphQL; ICDD; Linked Data; SPARQL,Construction industry; Data handling; ISO Standards; Query languages; Data querying; Document identifiers; GraphQL; ICDD; Open sources; RDF query language; SPARQL; Web technologies; Linked data,Conference Paper,,,,,,,,1,Overview on SPARQL and GRAPHQL - skim for information about SPARQL (RDF Query language). Furthermore useful for background information about the DBMS
58,389,373,"Lai Y.-C., Carlsen M., Christiansson P., Svidt K.",Semantic-Web Supported Knowledge Management System: An Approach to Enhance Collaborative Building Design,2003.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642328307&partnerID=40&md5=eb9b39fdffe979c380107796acfeb7bb,"This paper focuses on a lightweight ontology-based knowledge management system, which is a main component of IT-CODE, a Semantic Web based virtual workspace for enhancing the collaboration at an early building design stage. Technologies with respect to de facto standards that are proposed by industry group W3C are implemented to develop this knowledge management system. Resource Description Framework (RDF) associated with its Schema (RDFS) is selected as ontology language of the system. RDF(S) with its embedded reasoning techniques provides a rich set of constructs to facilitate the generation of ontologies so that the annotated information can be machine readable. Initiatives taken in the building industry for the evolution of the Semantic Web will be overviewed in this paper. Potential benefits offered by the RDF(S)-based knowledge management system to the building industry will be explained. Approaches of how the knowledge is represented in RDF-based ontology, is shared and retrieved among actors participating in the early design phase of a building project will also be described and illustrated. The paper will conclude with a description of how the early design phase may benefit from IT-CODE and its innovative knowledge management system.",Collaborative design; Knowledge management system; Ontologies; RDF(S); Semantic-web,Computer supported cooperative work; Information science; Problem solving; Product development; Semantics; Societies and institutions; World Wide Web; Collaborative design; Knowledge management system; Ontologies; Semantic-web; Knowledge based systems,Conference Paper,,,,,,,,2,Source for RDF(S) - look at this section to get overview
61,398,187,"Pauwels P., Roxin A.",SimpleBIM: From full ifcOWL graphs to simplified building graphs,2016.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016569276&partnerID=40&md5=ba272c0308076f22be93d317a2413570,"Recent research in semantic web technologies for the built environment has resulted in several proposals to further improve information exchange among stakeholders from the domain. Most notable is the production of several OWL ontologies that allow to capture building data in RDF graphs. For example, an ifcOWL ontology allows to capture IFC data in an RDF graph. As the building data is now available in a semantic graph with an explicit formal basis, it can be restructured and simplified so that it more easily matches the different requirements associated with practical use case scenarios. In this paper, we investigate several proposals and technological approaches to simplify ifcOWL building data, thus addressing the needs of specific industrial use cases. © 2016 Taylor & Francis Group.",,Ontology; Process engineering; Built environment; Industrial use case; Information exchanges; OWL ontologies; Practical use; Recent researches; Semantic graphs; Semantic Web technology; Semantic Web,Conference Paper,,,,,,,,3,link to ifcOWL - use if the ifcOWL-paper is included in Research
64,407,145,"Böger L., Huhnt W., Wernik S.",Standardized names for object types and attributes as basis for cooperation between planning and building,2018.0,10.1007/978-3-319-91638-5_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048971333&doi=10.1007%2f978-3-319-91638-5_17&partnerID=40&md5=c3a01902b12cfa689014bb82465891c3,"When using Building Information Modeling (BIM), it is expected to increase interorganizational collaboration in the construction industry. To reach this goal, it is necessary to use open standards for model exchange such as the Industry Foundation Classes (IFC). The non-profit organization buildingSMART defines this standard. IFC provides object types and attributes, which describe properties of objects. The IFC standard do not address possible values for attributes; but beside coordinated names for object types and attributes, coordinated values for attributes are required. This is necessary for the evaluation of digital models for different purposes. Several approaches in the fields of ontology and classification systems address this issue. However, at present time there is no clear distinction between prerequisites that modeled objects have to fulfill and products, which satisfy these requirements. Suppliers or construction companies at the interface between planning and construction propose products for the modelled requirements of the planning process. This paper describes an approach that bases on a dictionary, which provides standardized object types, attributes and values. A project database and a database with products, called supplier database, use this dictionary as a basis. Resulting from the modeling phase, the project database is ultimately mapped with the supplier database to propose products that fulfill the requirements. The approach presented in this paper can be regarded as a next step in using a standard that already exists: the buildingSMART Data Dictionary. © Springer International Publishing AG, part of Springer Nature 2018.",Building Information Modeling (BIM); BuildingSMART Data Dictionary (bSDD); Industry Foundation Classes (IFC),Construction industry; Database systems; Information theory; Intelligent computing; Building Information Model - BIM; BuildingSMART Data Dictionary (bSDD); Classification system; Construction companies; Industry Foundation Classes - IFC; Interorganizational collaboration; Non profit organizations; Project database; Architectural design,Conference Paper,,,,,,,,3,"Look into BuildingSMART Data dictionnary - acutally more relevant for Zirkular, than for thesis"
65,408,126,Beetz J.,"Structured vocabularies in construction: Classifications, taxonomies and ontologies",2018.0,10.1007/978-3-319-92862-3_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063562206&doi=10.1007%2f978-3-319-92862-3_8&partnerID=40&md5=a7b4259656153f687ff2d1e4fe3c190a,"Structured vocabularies are an important means of defining and structuring the meaning of concepts and terms used in the building industry to ensure their consistent use by all stakeholders over the life cycle of a construction. In their traditional form as text documents and tables they are designed for use by domain experts to facilitate the creation and use of unambiguous specifications, requirement documents and mutual agreements. In their digital, machine-readable form, they can be used in a Building Information Modeling context for the semantic annotation of model objects to further enhance exchange and interoperability in data exchange scenarios. This chapter introduces the fundamental concepts, application areas and technical implementations of such terminologies and structured vocabularies. © Springer International Publishing AG, part of Springer Nature 2018. All rights reserved.",,Construction industry; Electronic data interchange; Semantics; Application area; Building industry; Building Information Model - BIM; Domain experts; Fundamental concepts; Machine readable form; Semantic annotations; Technical implementation; Life cycle,Book Chapter,,,,,,,,1,"Basis to understand classifications, taxonomies and ontologies in the construction industry"
67,412,264,"Rezgui Y., Marks A.",Sustainable construction ontology development using information retrieval techniques,2011.0,10.1061/41182(416)18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053154060&doi=10.1061%2f41182%28416%2918&partnerID=40&md5=39f43a68da79555a49e823234d0edd85,"The paper describes the ""SCrIPt"" methodology used to develop a sustainable construction domain ontology, taking into account the wealth of existing semantic resources in the construction sector. The latter range from construction taxonomies (e.g. IFCs) to energy calculation tools' internal data structures (i.e. conceptual database schema). The paper argues that taxonomies provide an ideal backbone for any ontology project. Equally, textual documents have an important role in sharing and conveying knowledge and understanding. Therefore, a construction industry standard taxonomy is used to provide the seeds of the ontology, enriched and expanded with additional concepts extracted from large construction sustainability and energy oriented document bases using information retrieval (tf-idf and Metric Clusters) techniques. The SCrIPt ontology will be used as the semantic engine for a Sustainability Construction Platform, commissioned by the Welsh Assembly Government in the UK. © 2011 ASCE.",Construction management; Information management; Sustainable development; United Kingdom,Construction management; Construction sectors; Database schemas; Domain ontologies; Energy calculation; Ontology development; Semantic resources; Sustainable construction; Textual documents; United kingdom; Welsh Assembly; Civil engineering; Construction industry; Data structures; Information management; Information retrieval; Information use; Project management; Semantics; Sustainable development; Taxonomies; Ontology,Conference Paper,,,,,,,,1,Overview over ontologies in Construction Industry + sustainable construction ontology - check if CE included! 
68,414,10,"Pacheco-López A., Somoza-Tornos A., Graells M., Espuña A.",Synthesis and assessment of waste-to-resource routes for circular economy,2021.0,10.1016/j.compchemeng.2021.107439,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110535453&doi=10.1016%2fj.compchemeng.2021.107439&partnerID=40&md5=c17e5f7ebe42ff294b2cdf23e8a9ace4,"The benefits of the circular economy have been proven during the past two decades, but its application poses some challenges. In particular, the increasing number of potential waste-to-resource processing alternatives obstructs the identification of the most promising ones, besides the lack of efficient knowledge management tools and standardized assessment procedures. This contribution presents a systematic way to generate and assess new processing paths including waste-to-resource technologies, based on the use of a predefined ontological framework. An ontology is filled with transformation processes; then, several alternative paths are generated and assessed, according to a potentially available waste. The resulting list is classified according to pre-established parameters, thus presenting which are the potentially best alternatives to close the material loops and recover chemical resources. The proposed method is tested through the generation and evaluation of different routes for the treatment of plastic waste materials, with a special focus on chemical recycling. © 2021",Chemical recycling; Circular economy; Material upcycling; Ontologies; Plastic waste treatment; Waste-to-resource,Knowledge management; Ontology; Plastic recycling; Assessment procedure; Chemical recycling; Circular economy; ITS applications; Knowledge management tool; Material upcycling; Ontology's; Plastic waste treatment; Potential wastes; Waste-to-resource; Waste treatment,Article,,,,,,,,2,To make case about Ontologie for Inventories for Reuse-Purposes and in Circular Economy
70,443,24,"Elshani D., Wortmann T., Staab S.",Towards Better Co-Design with Disciplinary Ontologies: Review and Evaluation of Data Interoperability in the AEC Industry,2022.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139385786&partnerID=40&md5=de7c352df6a3a6e9dcf7851a36352399,"In the building industry, disciplines have specific requirements for capturing, storing and representing information. As a result, one physical object yields several disciplinary representations, allowing designers to describe design options discipline-specifically and thus explore design differently. In a co-design approach, data from disciplines must be integrated and interoperable. But in current practice, interoperability problems between different software often hinders data integration. This paper presents a review and evaluation of interoperability paradigms in centralized, decentralized, and federated data, and it gives AEC application examples for each approach. It discusses data schemas (e.g. IFC) and interoperability tools (e.g. Speckle, BHoM). It also relates the interoperability tools to semantic web standards that are used to share information. It argues the advantages of federated data interoperability and suggests using design tools that employ such a mechanism. Furthermore, this paper suggests developing modular disciplinary ontologies to support collaborative design tools. Such federated interoperability, supported by modular disciplinary ontologies, can provide a solid ground to share and exchange data flexibly. © 2022 Copyright for this paper by its authors.",alignment; Building Information Modelling (BIM); Co-Design; Data mapping; Interoperability; Knowledge representation; Ontologies,Architectural design; Construction industry; Data integration; Interoperability; Ontology; AEC industry; Building industry; Building information modeling; Building Information Modelling; Co-designs; Data interoperability; Data mappings; Knowledge-representation; Modulars; Ontology's; Knowledge representation,Conference Paper,,,,,,,,2,Look at interoperability - definition and how it is seen in this paper
72,452,301,"Abanda F.H., Tah J.H.M.",Towards developing a sustainable building technology ontology,2008.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861065835&partnerID=40&md5=7da38496a88297af9452aa1af539e8d3,"Construction has a significant effect on human quality of life in the context of sustainable development. The UK government has long recognised this and is taking the lead towards a more sustainable approach to construction processes. Success towards a more sustainable construction can be achieved if the stakeholders are informed of the new technologies, innovations and knowledge emerging in the sector. Unfortunately, researchers and practitioners have pin-pointed some limitations with the current approaches in the management of knowledge within the construction sector. Interestingly, Semantic Web technologies, the next generation of the Web technologies, can be used to overcome these limitations. Semantic web technologies can considerably improve information representation, sharing and re-use. This paper investigates the extent to which Semantic Web technologies could be used in representing knowledge on emerging sustainable building technologies. This is done by reviewing the current state-of-the art of sustainable technologies in the UK construction industry. Furthermore, it examines the development of an ontology-driven knowledge base and its usage in the development of a semantic web application.",Ontology-driven knowledge base; Semantic web technology; Sustainability development,Construction process; Construction sectors; Information representation; Knowledge base; Quality of life; Semantic web applications; Semantic Web technology; State of the art; Sustainable building; Sustainable construction; Sustainable technology; UK construction industry; Web technologies; Construction industry; Intelligent buildings; Knowledge based systems; Project management; Research; Sustainable development; Technology,Conference Paper,,,,,,,,2,Look at definition of semanitc web technologies and what they are 
74,460,0,"Eray E., Sanchez B., Haas C.",Usage of interface management system in adaptive reuse of buildings,2019.0,10.3390/buildings9050105,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071694534&doi=10.3390%2fbuildings9050105&partnerID=40&md5=5d8be821c28ae1614156969f64cf1a69,"Adaptive reuse of buildings is considered a superior alternative for new construction in terms of sustainability and a disruptive practice in the current capital project delivery model for the renewal of today's built environment. In comparison to green-field construction projects, adaptive reuse projects require distinct stages, definition of interfaces, decision gates, and planning methods in order to secure the success of the building project. Unfortunately, little research has been done regarding establishing feasible systems for the planning, assessment, and management of adaptive reuse projects, leading to underperforming building projects outcomes. Interface management (IM) can improve renovation projects outcomes by defining appropriate ways to identify, record, monitor, and track project interfaces. IM has the potential of bringing cost and time benefits during adaptive reuse projects execution. The aim of this study is to develop a reference framework for implementing IM for adaptive reuse projects. First, the inefficiencies of redevelopment projects are explained inside of a circular economy (CE) context. Second, an ontology of IM for adaptive reuse projects is defined based on the current barriers to adaptive reuse and the most common interface problems in construction projects. Third, the defined ontology is expanded through a case study by showing examples of adaptive reuse barriers on a case project, and how IM could have been part of the solution for these problems. Finally, this study concludes with the suggestions on interface management systems (IMS) implementation for future adaptive reuse projects. © 2019 by the authors.",Adaptive reuse of buildings; Barriers in adaptive reuse projects; Circular economy; Interface management system; Interface problems in construction projects,,Article,,,,,,,,1,IMPORTANT - Paper about Ontology for adaptive reuse. READ! 
76,470,208,Törmä S.,Web of building data - Integrating IFC with the web of data,2015.0,10.1201/b17396-27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907360627&doi=10.1201%2fb17396-27&partnerID=40&md5=529539cd518f1f9da66e764795d0d9e1,"Massive amount of data is created about built environment: building codes, urban plans, infrastructure data, catalogs of building materials/components, building information and facility management models, indoor maps, sensor data streams, etc. But how could different parties efficiently use data produced by others? IFC standard has provided a common ontology across BIM models but so far there has not been a realistic overall paradigm for management of interrelated building data. Web of Data technologies - Semantic Web/Linked Data - can be used to interlink distributed building-related data with connections to activities, social networks, and business operations in buildings. IFC and Web of Data can have complementary roles in cross-model linking. IFC provides the ontology, detailed geometry, and existing export functions.Web of Data enables publishing, accessing, querying, and linking of data, and description of datasets. We discuss how to combine these technologies and what challenges remain. © 2015 Taylor & Francis Group.",,Architectural design; Building codes; Office buildings; Ontology; Process engineering; Social sciences computing; Built environment; Business operation; Cross model; Facility management; Ifc standards; In-buildings; Sensor data; Web of datum; Data integration,Conference Paper,,,,,,,,3,Look at IFC ontology and Web of data - definitions
